time,Minnesota,pts.away,score,pts.home,Detroit
4:14.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Crawford),2,94-112,,
3:59.0,,,94-112,,Personal foul by T. Harris (drawn by J. Crawford)
3:59.0,,,94-112,,Turnover by T. Harris (turnover)
3:44.0,A. Wiggins makes 3-pt shot from 27 ft (assist by T. Gibson),3,97-112,,
3:43.0,,,97-112,,Detroit full timeout
3:28.0,Personal foul by J. Teague (drawn by R. Jackson),,97-112,,
3:16.0,,,97-112,,R. Jackson misses 2-pt shot from 16 ft
3:11.0,,,97-112,,Offensive rebound by R. Jackson
3:00.0,,,97-112,,S. Johnson misses 3-pt shot from 23 ft
2:54.0,Defensive rebound by J. Crawford,,97-112,,
2:49.0,J. Teague makes 2-pt shot from 3 ft,2,99-112,,
2:22.0,,,99-115,3,R. Jackson makes 3-pt shot from 25 ft
2:07.0,Turnover by T. Gibson (lost ball; steal by T. Harris),,99-115,,
2:03.0,,,99-117,2,T. Harris makes 2-pt shot from 1 ft (assist by A. Bradley)
2:02.0,Minnesota full timeout,,99-117,,
2:02.0,A. Brooks enters the game for A. Wiggins,,99-117,,
2:02.0,C. Aldrich enters the game for K. Towns,,99-117,,
2:02.0,M. Georges-Hunt enters the game for J. Teague,,99-117,,
2:02.0,S. Muhammad enters the game for T. Gibson,,99-117,,
2:02.0,N. Bjelica enters the game for J. Crawford,,99-117,,
1:50.0,C. Aldrich misses 2-pt shot from 1 ft,,99-117,,
1:47.0,,,99-117,,Defensive rebound by A. Drummond
1:45.0,,,99-119,2,S. Johnson makes 2-pt shot at rim (assist by A. Drummond)
1:34.0,A. Brooks misses 3-pt shot from 30 ft,,99-119,,
1:31.0,Offensive rebound by N. Bjelica,,99-119,,
1:31.0,N. Bjelica makes 2-pt shot from 1 ft,2,101-119,,
1:31.0,,,101-119,,L. Kennard enters the game for A. Drummond
1:31.0,,,101-119,,E. Moreland enters the game for T. Harris
1:31.0,,,101-119,,H. Ellenson enters the game for A. Bradley
1:31.0,,,101-119,,L. Galloway enters the game for R. Jackson
1:13.0,,,101-119,,S. Johnson misses 2-pt shot from 17 ft
1:08.0,Defensive rebound by A. Brooks,,101-119,,
0:52.0,S. Muhammad misses 2-pt shot from 7 ft,,101-119,,
0:51.0,,,101-119,,Defensive rebound by L. Kennard
0:31.0,,,101-122,3,H. Ellenson makes 3-pt shot from 24 ft (assist by L. Kennard)
0:09.0,N. Bjelica misses 2-pt shot from 3 ft,,101-122,,
0:06.0,,,101-122,,Defensive rebound by S. Johnson
