time,Portland,pts.away,score,pts.home,Atlanta
4:51.0,,,80-94,2,D. Schroder makes 2-pt shot from 1 ft (assist by K. Bazemore)
4:51.0,,,80-94,,Shooting foul by A. Aminu (drawn by D. Schroder)
4:51.0,S. Napier enters the game for P. Connaughton,,80-94,,
4:51.0,,,80-95,1,D. Schroder makes free throw 1 of 1
4:38.0,S. Napier makes 2-pt shot from 1 ft (assist by J. Nurkic),2,82-95,,
4:38.0,Shooting foul by K. Bazemore (drawn by S. Napier),,82-95,,
4:38.0,S. Napier makes free throw 1 of 1,1,83-95,,
4:18.0,,,83-97,2,D. Schroder makes 2-pt shot from 1 ft
4:07.0,A. Aminu misses 3-pt shot from 25 ft,,83-97,,
4:04.0,,,83-97,,Defensive rebound by T. Waller-Prince
3:54.0,,,83-99,2,D. Schroder makes 2-pt shot from 1 ft
3:42.0,S. Napier misses 2-pt shot from 1 ft (block by E. Ilyasova),,83-99,,
3:39.0,,,83-99,,Defensive rebound by T. Waller-Prince
3:33.0,,,83-101,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by D. Schroder)
3:32.0,Portland full timeout,,83-101,,
3:32.0,P. Connaughton enters the game for E. Turner,,83-101,,
3:32.0,J. Layman enters the game for C. McCollum,,83-101,,
3:32.0,N. Vonleh enters the game for A. Aminu,,83-101,,
3:32.0,Z. Collins enters the game for J. Nurkic,,83-101,,
3:14.0,Turnover by P. Connaughton (bad pass; steal by K. Bazemore),,83-101,,
2:57.0,,,83-101,,E. Ilyasova misses 2-pt shot from 21 ft
2:54.0,Defensive rebound by S. Napier,,83-101,,
2:48.0,S. Napier makes 2-pt shot from 16 ft,2,85-101,,
2:27.0,,,85-101,,D. Schroder misses 2-pt shot at rim
2:24.0,Defensive rebound by N. Vonleh,,85-101,,
2:03.0,S. Napier misses 2-pt shot at rim (block by K. Bazemore),,85-101,,
1:59.0,,,85-101,,Defensive rebound by E. Ilyasova
1:48.0,,,85-104,3,T. Cavanaugh makes 3-pt shot from 24 ft (assist by T. Waller-Prince)
1:42.0,,,85-104,,Personal take foul by K. Bazemore (drawn by P. Connaughton)
1:42.0,P. Connaughton makes free throw 1 of 2,1,86-104,,
1:42.0,,,86-104,,T. Dorsey enters the game for E. Ilyasova
1:42.0,,,86-104,,M. Delaney enters the game for T. Waller-Prince
1:42.0,,,86-104,,J. Collins enters the game for D. Schroder
1:42.0,,,86-104,,I. Taylor enters the game for K. Bazemore
1:42.0,P. Connaughton makes free throw 2 of 2,1,87-104,,
1:33.0,,,87-104,,T. Dorsey misses 2-pt shot from 1 ft
1:28.0,Defensive rebound by S. Napier,,87-104,,
1:21.0,Z. Collins misses 2-pt shot from 16 ft,,87-104,,
1:19.0,,,87-104,,Defensive rebound by I. Taylor
1:03.0,,,87-104,,I. Taylor misses 2-pt shot from 13 ft
0:58.0,,,87-104,,Offensive rebound by I. Taylor
0:47.0,,,87-104,,T. Dorsey misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by S. Napier,,87-104,,
0:39.0,N. Vonleh makes 2-pt shot from 1 ft (assist by S. Napier),2,89-104,,
0:25.0,,,89-104,,M. Delaney misses 2-pt shot from 21 ft
0:20.0,,,89-104,,Offensive rebound by J. Collins
