time,Miami,pts.away,score,pts.home,Denver
1:26.0,Jump ball: N. Jokic vs. H. Whiteside (W. Chandler gains possession),,,,Jump ball: N. Jokic vs. H. Whiteside (W. Chandler gains possession)
1:26.0,Turnover by H. Whiteside (lost ball; steal by N. Jokic),,91-90,,
1:11.0,,,91-90,,N. Jokic misses 3-pt shot from 24 ft
1:09.0,,,91-90,,Offensive rebound by P. Millsap
0:56.0,,,91-90,,W. Barton misses 2-pt shot from 3 ft
0:56.0,,,91-90,,Offensive rebound by Team
0:56.0,Violation by H. Whiteside (kicked ball),,91-90,,
0:47.0,,,91-92,2,G. Harris makes 2-pt shot from 10 ft
0:47.0,Miami full timeout,,91-92,,
0:47.0,,,91-92,,M. Plumlee enters the game for N. Jokic
0:30.0,D. Waiters makes 2-pt shot from 2 ft,2,93-92,,
0:30.0,,,93-92,,Denver full timeout
0:30.0,,,93-92,,N. Jokic enters the game for M. Plumlee
0:30.0,T. Johnson enters the game for G. Dragic,,93-92,,
0:26.0,,,93-92,,Shooting foul by J. Johnson (drawn by P. Millsap)
0:26.0,,,93-92,,P. Millsap misses free throw 1 of 2
0:26.0,,,93-92,,Offensive rebound by Team
0:26.0,G. Dragic enters the game for T. Johnson,,93-92,,
0:26.0,,,93-92,,P. Millsap misses free throw 2 of 2
0:24.0,Defensive rebound by J. Johnson,,93-92,,
0:24.0,Miami full timeout,,93-92,,
0:24.0,,,93-92,,Personal foul by N. Jokic (drawn by J. Johnson)
0:24.0,,,93-92,,M. Plumlee enters the game for N. Jokic
0:24.0,W. Ellington enters the game for J. Johnson,,93-92,,
0:24.0,T. Johnson enters the game for H. Whiteside,,93-92,,
0:23.0,,,93-92,,Personal take foul by W. Chandler (drawn by G. Dragic)
0:23.0,G. Dragic makes free throw 2 of 2,1,94-92,,
0:23.0,G. Dragic misses free throw 1 of 2,,94-92,,
0:23.0,Offensive rebound by Team,,94-92,,
0:23.0,J. Johnson enters the game for W. Ellington,,94-92,,
0:11.0,,,94-92,,Shooting foul by J. Johnson (drawn by P. Millsap)
0:11.0,H. Whiteside enters the game for T. Johnson,,94-92,,
0:11.0,B. Adebayo enters the game for J. Johnson,,94-92,,
0:11.0,,,94-93,1,P. Millsap makes free throw 1 of 3
0:11.0,,,94-94,1,P. Millsap makes free throw 2 of 3
0:11.0,,,94-95,1,P. Millsap makes free throw 3 of 3
0:11.0,Miami full timeout,,94-95,,
0:11.0,,,94-95,,E. Mudiay enters the game for M. Plumlee
0:11.0,T. Johnson enters the game for B. Adebayo,,94-95,,
0:00.0,D. Waiters misses 2-pt shot from 22 ft,,94-95,,
0:00.0,Offensive rebound by Team,,94-95,,
