time,Brooklyn,pts.away,score,pts.home,Sacramento
2:15.0,,,95-94,,B. Bogdanovic misses 2-pt shot from 7 ft
2:14.0,,,95-94,,Offensive rebound by S. Labissiere
2:14.0,,,95-94,,S. Labissiere misses 2-pt shot from 5 ft
2:14.0,,,95-94,,Offensive rebound by S. Labissiere
2:13.0,Personal foul by D. Carroll (drawn by S. Labissiere),,95-94,,
2:08.0,,,95-96,2,B. Hield makes 2-pt shot from 18 ft
1:43.0,Turnover by D. Russell (lost ball; steal by S. Labissiere),,95-96,,
1:40.0,,,95-98,2,B. Hield makes 2-pt shot from 5 ft
1:27.0,S. Dinwiddie misses 2-pt shot from 12 ft,,95-98,,
1:27.0,,,95-98,,Defensive rebound by Team
1:12.0,,,95-98,,Turnover by D. Fox (bad pass; steal by D. Carroll)
1:06.0,Turnover by D. Russell (bad pass),,95-98,,
0:51.0,,,95-98,,B. Hield misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by D. Carroll,,95-98,,
0:37.0,Brooklyn full timeout,,95-98,,
0:30.0,D. Carroll makes 3-pt shot from 26 ft (assist by A. Crabbe),3,98-98,,
0:29.0,,,98-98,,Sacramento full timeout
0:29.0,R. Hollis-Jefferson enters the game for D. Russell,,98-98,,
0:10.0,,,98-98,,D. Fox misses 2-pt shot from 6 ft (block by J. Allen)
0:09.0,Defensive rebound by J. Allen,,98-98,,
0:09.0,Brooklyn full timeout,,98-98,,
0:09.0,D. Russell enters the game for R. Hollis-Jefferson,,98-98,,
0:06.0,Shooting foul by B. Hield (drawn by S. Dinwiddie),,98-98,,
0:06.0,S. Dinwiddie makes free throw 1 of 2,1,99-98,,
0:06.0,R. Hollis-Jefferson enters the game for D. Russell,,99-98,,
0:06.0,S. Dinwiddie makes free throw 2 of 2,1,100-98,,
0:06.0,,,100-98,,Sacramento full timeout
0:00.0,,,100-100,2,D. Fox makes 2-pt shot from 8 ft (assist by W. Cauley-Stein)
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: S. Labissiere vs. J. Allen ( gains possession),,,,Jump ball: S. Labissiere vs. J. Allen ( gains possession)
4:42.0,,,100-100,,Turnover by D. Fox (bad pass)
4:25.0,A. Crabbe misses 2-pt shot from 6 ft (block by D. Fox),,100-100,,
4:24.0,Offensive rebound by Team,,100-100,,
4:18.0,D. Carroll makes 2-pt shot from 16 ft,2,102-100,,
4:06.0,,,102-102,2,D. Fox makes 2-pt shot from 13 ft
3:39.0,D. Russell misses 3-pt shot from 26 ft (block by W. Cauley-Stein),,102-102,,
3:39.0,Offensive rebound by Team,,102-102,,
3:39.0,Turnover by Team (shot clock),,102-102,,
3:20.0,,,102-105,3,B. Hield makes 3-pt shot from 26 ft (assist by W. Cauley-Stein)
3:07.0,A. Crabbe makes 3-pt shot from 25 ft,3,105-105,,
3:00.0,,,105-105,,Sacramento full timeout
2:51.0,,,105-108,3,B. Bogdanovic makes 3-pt shot from 25 ft
2:31.0,S. Dinwiddie misses 3-pt shot from 25 ft,,105-108,,
2:30.0,Offensive rebound by J. Allen,,105-108,,
2:29.0,Shooting foul by W. Cauley-Stein (drawn by J. Allen),,105-108,,
2:29.0,J. Allen misses free throw 1 of 2,,105-108,,
2:29.0,Offensive rebound by Team,,105-108,,
2:29.0,J. Allen makes free throw 2 of 2,1,106-108,,
2:13.0,,,106-108,,B. Hield misses 2-pt shot from 17 ft
2:12.0,Defensive rebound by D. Carroll,,106-108,,
1:49.0,D. Russell makes 3-pt shot from 25 ft,3,109-108,,
1:44.0,,,109-110,2,D. Fox makes 2-pt shot from 9 ft
1:42.0,Brooklyn full timeout,,109-110,,
1:22.0,S. Dinwiddie makes 2-pt shot from 7 ft,2,111-110,,
1:06.0,,,111-112,2,B. Bogdanovic makes 2-pt shot from 10 ft
0:55.0,Offensive charge foul by J. Allen (drawn by D. Fox),,111-112,,
0:55.0,Turnover by J. Allen (offensive foul),,111-112,,
0:42.0,,,111-112,,Turnover by S. Labissiere (lost ball; steal by A. Crabbe)
0:16.0,S. Dinwiddie misses 3-pt shot from 25 ft,,111-112,,
0:14.0,,,111-112,,Defensive rebound by D. Fox
0:14.0,Loose ball foul by D. Carroll (drawn by D. Fox),,111-112,,
0:13.0,Personal take foul by J. Allen (drawn by B. Hield),,111-112,,
0:13.0,,,111-113,1,B. Hield makes free throw 1 of 2
0:13.0,,,111-114,1,B. Hield makes free throw 2 of 2
0:13.0,Brooklyn full timeout,,111-114,,
0:10.0,D. Russell misses 3-pt shot from 25 ft,,111-114,,
0:08.0,,,111-114,,Defensive rebound by B. Bogdanovic
0:08.0,Personal foul by A. Crabbe (drawn by B. Bogdanovic),,111-114,,
0:08.0,,,111-115,1,B. Bogdanovic makes free throw 1 of 2
0:08.0,,,111-116,1,B. Bogdanovic makes free throw 2 of 2
0:05.0,Turnover by J. Allen (bad pass; steal by B. Hield),,111-116,,
