time,Sacramento,pts.away,score,pts.home,Chicago
0:11.0,,,106-101,,Defensive rebound by L. Markkanen
0:08.0,,,106-101,,Shooting foul by G. Temple (drawn by J. Grant)
0:08.0,,,106-101,,J. Grant misses free throw 1 of 3
0:08.0,,,106-101,,Offensive rebound by Team
0:08.0,,,106-102,1,J. Grant makes free throw 2 of 3
0:08.0,,,106-102,,P. Zipser enters the game for R. Lopez
0:08.0,,,106-103,1,J. Grant makes free throw 3 of 3
0:04.0,,,106-103,,Personal take foul by J. Grant (drawn by B. Bogdanovic)
0:04.0,B. Bogdanovic makes free throw 1 of 2,1,107-103,,
0:04.0,,,107-103,,R. Lopez enters the game for P. Zipser
0:04.0,B. Bogdanovic misses free throw 2 of 2,,107-103,,
0:02.0,,,107-103,,Defensive rebound by R. Lopez
0:00.0,,,107-106,3,J. Grant makes 3-pt shot from 26 ft (assist by R. Lopez)
