time,Sacramento,pts.away,score,pts.home,Charlotte
4:29.0,Personal foul by B. Hield (drawn by D. Howard),,92-101,,
4:08.0,,,92-101,,J. Lamb misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by W. Cauley-Stein,,92-101,,
3:48.0,W. Cauley-Stein misses 2-pt shot from 3 ft (block by M. Williams),,92-101,,
3:45.0,Offensive rebound by W. Cauley-Stein,,92-101,,
3:42.0,W. Cauley-Stein misses 2-pt shot from 16 ft,,92-101,,
3:42.0,Offensive rebound by Team,,92-101,,
3:42.0,Turnover by Team (shot clock),,92-101,,
3:23.0,,,92-101,,K. Walker misses 3-pt shot from 26 ft
3:18.0,Defensive rebound by B. Hield,,92-101,,
3:13.0,B. Hield makes 2-pt shot from 15 ft,2,94-101,,
2:54.0,,,94-101,,N. Batum misses 2-pt shot from 6 ft
2:52.0,Defensive rebound by W. Cauley-Stein,,94-101,,
2:45.0,W. Cauley-Stein misses 2-pt shot from 19 ft,,94-101,,
2:41.0,,,94-101,,Defensive rebound by N. Batum
2:28.0,,,94-103,2,K. Walker makes 2-pt shot from 16 ft
2:19.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by D. Fox),2,96-103,,
1:59.0,,,96-103,,Shooting foul by W. Cauley-Stein (drawn by K. Walker)
1:59.0,,,96-104,1,K. Walker makes free throw 1 of 2
1:59.0,,,96-105,1,K. Walker makes free throw 2 of 2
1:45.0,B. Hield makes 3-pt shot from 27 ft (assist by S. Labissiere),3,99-105,,
1:33.0,,,99-105,,Turnover by K. Walker (out of bounds lost ball)
1:25.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Fox),3,102-105,,
1:13.0,,,102-105,,K. Walker misses 2-pt shot from 18 ft
1:12.0,,,102-105,,Offensive rebound by Team
1:12.0,Loose ball foul by D. Fox (drawn by D. Howard),,102-105,,
1:12.0,,,102-106,1,D. Howard makes free throw 1 of 2
1:12.0,,,102-107,1,D. Howard makes free throw 2 of 2
1:03.0,B. Hield misses 3-pt shot from 26 ft,,102-107,,
1:03.0,,,102-107,,Defensive rebound by Team
0:40.0,,,102-107,,N. Batum misses 2-pt shot from 21 ft
0:40.0,,,102-107,,Offensive rebound by D. Howard
0:40.0,,,102-109,2,D. Howard makes 2-pt shot at rim
0:40.0,Violation by W. Cauley-Stein (def goaltending),,102-109,,
0:40.0,Sacramento full timeout,,102-109,,
0:32.0,D. Fox misses 3-pt shot from 25 ft (block by J. Lamb),,102-109,,
0:26.0,Offensive rebound by S. Labissiere,,102-109,,
0:23.0,S. Labissiere misses 2-pt shot from 7 ft,,102-109,,
0:23.0,,,102-109,,Defensive rebound by N. Batum
0:23.0,Personal take foul by B. Hield (drawn by K. Walker),,102-109,,
0:23.0,,,102-110,1,K. Walker makes free throw 1 of 2
0:23.0,,,102-111,1,K. Walker makes free throw 2 of 2
0:23.0,Violation by D. Fox (lane),,102-111,,
0:23.0,Sacramento full timeout,,102-111,,
0:23.0,J. Jackson enters the game for B. Hield,,102-111,,
0:19.0,S. Labissiere makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,104-111,,
0:14.0,Personal take foul by S. Labissiere (drawn by K. Walker),,104-111,,
0:14.0,,,104-111,,K. Walker misses free throw 1 of 2
0:14.0,,,104-111,,Offensive rebound by Team
0:14.0,,,104-112,1,K. Walker makes free throw 2 of 2
0:07.0,S. Labissiere makes 3-pt shot from 27 ft (assist by B. Bogdanovic),3,107-112,,
