time,Miami,pts.away,score,pts.home,Memphis
1:39.0,,,101-77,,Offensive rebound by Team
1:39.0,,,101-78,1,D. Davis makes free throw 2 of 2
1:25.0,Turnover by T. Johnson (bad pass),,101-78,,
1:12.0,,,101-78,,I. Rabb misses 2-pt shot from 9 ft
1:08.0,Defensive rebound by J. Mickey,,101-78,,
0:53.0,T. Johnson makes 3-pt shot from 24 ft (assist by U. Haslem),3,104-78,,
0:38.0,,,104-78,,J. Martin misses 2-pt shot from 20 ft
0:38.0,,,104-78,,Offensive rebound by Team
0:26.0,,,104-80,2,V. Hunter makes 2-pt shot from 1 ft (assist by I. Rabb)
0:05.0,W. Ellington makes 3-pt shot from 26 ft (assist by U. Haslem),3,107-80,,
0:00.0,,,107-82,2,A. Harrison makes 2-pt shot from 1 ft
