time,Detroit,pts.away,score,pts.home,Toronto
3:34.0,Turnover by Team (shot clock),,83-90,,
3:14.0,,,83-90,,Turnover by J. Valanciunas (bad pass; steal by L. Galloway)
3:01.0,A. Bradley misses 2-pt shot from 2 ft (block by D. Wright),,83-90,,
2:58.0,,,83-90,,Defensive rebound by C. Miles
2:58.0,Personal foul by L. Galloway (drawn by K. Lowry),,83-90,,
2:34.0,,,83-90,,D. Wright misses 3-pt shot from 25 ft
2:31.0,,,83-90,,Offensive rebound by C. Miles
2:23.0,Personal block foul by L. Galloway (drawn by J. Valanciunas),,83-90,,
2:23.0,,,83-91,1,J. Valanciunas makes free throw 1 of 2
2:23.0,,,83-92,1,J. Valanciunas makes free throw 2 of 2
2:05.0,Turnover by A. Bradley (bad pass; steal by K. Lowry),,83-92,,
2:00.0,,,83-92,,K. Lowry misses 2-pt shot at rim
1:59.0,,,83-92,,Offensive rebound by K. Lowry
1:56.0,,,83-92,,D. DeRozan misses 2-pt shot from 18 ft
1:53.0,Defensive rebound by I. Smith,,83-92,,
1:48.0,A. Bradley makes 3-pt shot from 24 ft (assist by I. Smith),3,86-92,,
1:26.0,,,86-92,,C. Miles misses 3-pt shot from 22 ft
1:22.0,Defensive rebound by A. Bradley,,86-92,,
1:15.0,L. Galloway misses 3-pt shot from 24 ft,,86-92,,
1:15.0,,,86-92,,Defensive rebound by Team
1:15.0,,,86-92,,Toronto full timeout
1:00.0,,,86-92,,D. Wright misses 2-pt shot from 1 ft (block by T. Harris)
1:00.0,,,86-92,,Offensive rebound by Team
0:55.0,,,86-94,2,D. DeRozan makes 2-pt shot from 10 ft
0:43.0,A. Drummond makes 2-pt shot from 2 ft (assist by I. Smith),2,88-94,,
0:43.0,Shooting foul by J. Valanciunas (drawn by A. Drummond),,88-94,,
0:43.0,A. Drummond misses free throw 1 of 1,,88-94,,
0:41.0,,,88-94,,Defensive rebound by J. Valanciunas
0:29.0,,,88-94,,K. Lowry misses 3-pt shot from 25 ft
0:27.0,,,88-94,,Offensive rebound by C. Miles
0:20.0,,,88-94,,Turnover by D. DeRozan (bad pass; steal by L. Galloway)
0:17.0,,,88-94,,Personal foul by D. Wright (drawn by I. Smith)
0:17.0,I. Smith misses free throw 1 of 2,,88-94,,
0:17.0,Offensive rebound by Team,,88-94,,
0:17.0,I. Smith misses free throw 2 of 2,,88-94,,
0:14.0,Offensive rebound by I. Smith,,88-94,,
0:13.0,A. Bradley makes 3-pt shot from 26 ft (assist by I. Smith),3,91-94,,
0:05.0,Personal foul by T. Harris (drawn by D. Wright),,91-94,,
0:05.0,A. Tolliver enters the game for L. Galloway,,91-94,,
0:05.0,R. Bullock enters the game for T. Harris,,91-94,,
0:05.0,,,91-95,1,D. Wright makes free throw 1 of 2
0:05.0,,,91-96,1,D. Wright makes free throw 2 of 2
0:05.0,Detroit full timeout,,91-96,,
0:05.0,L. Galloway enters the game for A. Drummond,,91-96,,
0:03.0,A. Tolliver misses 3-pt shot from 26 ft,,91-96,,
0:00.0,,,91-96,,Defensive rebound by K. Lowry
