time,Atlanta,pts.away,score,pts.home,Memphis
4:01.0,,,89-89,3,M. Chalmers makes 3-pt shot from 26 ft (assist by C. Parsons)
3:41.0,M. Belinelli makes 2-pt shot from 1 ft (assist by J. Collins),2,91-89,,
3:26.0,,,91-89,,M. Chalmers misses 2-pt shot from 1 ft
3:26.0,,,91-89,,Offensive rebound by Team
3:26.0,K. Bazemore enters the game for M. Belinelli,,91-89,,
3:26.0,,,91-89,,A. Harrison enters the game for D. Brooks
3:20.0,,,91-91,2,M. Chalmers makes 2-pt shot from 1 ft
3:11.0,Atlanta full timeout,,91-91,,
2:59.0,Shooting foul by J. Green (drawn by D. Schroder),,91-91,,
2:59.0,D. Schroder makes free throw 1 of 2,1,92-91,,
2:59.0,,,92-91,,T. Evans enters the game for A. Harrison
2:59.0,D. Schroder misses free throw 2 of 2,,92-91,,
2:56.0,,,92-91,,Defensive rebound by J. Green
2:39.0,,,92-91,,J. Green misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by Team,,92-91,,
2:24.0,D. Schroder makes 2-pt shot from 1 ft (assist by J. Collins),2,94-91,,
2:24.0,,,94-91,,Memphis full timeout
2:06.0,Personal take foul by D. Schroder (drawn by M. Chalmers),,94-91,,
1:58.0,,,94-91,,Turnover by T. Evans (bad pass; steal by J. Collins)
1:55.0,Turnover by J. Collins (bad pass; steal by M. Gasol),,94-91,,
1:44.0,,,94-94,3,M. Chalmers makes 3-pt shot from 23 ft (assist by T. Evans)
1:27.0,T. Waller-Prince misses 2-pt shot from 10 ft,,94-94,,
1:23.0,,,94-94,,Defensive rebound by M. Chalmers
1:03.0,,,94-96,2,T. Evans makes 2-pt shot from 1 ft
0:49.0,Jump ball: M. Chalmers vs. J. Collins (D. Schroder gains possession),,,,Jump ball: M. Chalmers vs. J. Collins (D. Schroder gains possession)
0:49.0,Atlanta full timeout,,94-96,,
0:41.0,D. Schroder misses 2-pt shot from 4 ft,,94-96,,
0:39.0,,,94-96,,Defensive rebound by J. Green
0:18.0,,,94-96,,Turnover by M. Gasol (lost ball; steal by K. Bazemore)
0:09.0,Atlanta full timeout,,94-96,,
0:09.0,,,94-96,,A. Harrison enters the game for M. Chalmers
0:09.0,M. Belinelli enters the game for J. Collins,,94-96,,
0:03.0,E. Ilyasova misses 2-pt shot from 19 ft,,94-96,,
0:02.0,Offensive rebound by T. Waller-Prince,,94-96,,
0:01.0,T. Waller-Prince misses 3-pt shot from 25 ft (block by A. Harrison),,94-96,,
0:01.0,Offensive rebound by K. Bazemore,,94-96,,
0:00.0,K. Bazemore misses 3-pt shot from 22 ft,,94-96,,
0:00.0,Offensive rebound by Team,,94-96,,
