time,Brooklyn,pts.away,score,pts.home,Oklahoma City
5:52.0,Turnover by D. Carroll (bad pass; steal by R. Felton),,96-97,,
5:47.0,,,96-97,,C. Anthony misses 2-pt shot from 23 ft
5:41.0,,,96-97,,Offensive rebound by S. Adams
5:41.0,,,96-97,,S. Adams misses 2-pt shot at rim
5:41.0,,,96-97,,Offensive rebound by P. George
5:41.0,,,96-97,,P. George misses 3-pt shot from 26 ft
5:41.0,Defensive rebound by Team,,96-97,,
5:41.0,,,96-97,,Loose ball foul by S. Adams (drawn by D. Carroll)
5:21.0,S. Dinwiddie misses 2-pt shot from 2 ft,,96-97,,
5:20.0,,,96-97,,Defensive rebound by P. George
5:14.0,,,96-97,,R. Westbrook misses 2-pt shot at rim (block by J. Allen)
5:12.0,Defensive rebound by A. Crabbe,,96-97,,
5:01.0,Offensive foul by S. Dinwiddie (drawn by R. Felton),,96-97,,
5:01.0,Turnover by S. Dinwiddie (offensive foul),,96-97,,
5:01.0,,,96-97,,Oklahoma City full timeout
5:01.0,,,96-97,,A. Roberson enters the game for R. Felton
4:42.0,,,96-99,2,R. Westbrook makes 2-pt shot from 17 ft
4:18.0,R. Hollis-Jefferson makes 2-pt shot from 10 ft (assist by S. Dinwiddie),2,98-99,,
3:52.0,,,98-101,2,C. Anthony makes 2-pt shot from 18 ft (assist by R. Westbrook)
3:26.0,J. Allen makes 3-pt shot from 23 ft (assist by R. Hollis-Jefferson),3,101-101,,
3:02.0,,,101-101,,P. George misses 2-pt shot from 2 ft
3:01.0,Defensive rebound by Team,,101-101,,
3:01.0,J. Harris enters the game for R. Hollis-Jefferson,,101-101,,
2:46.0,Turnover by A. Crabbe (bad pass; steal by S. Adams),,101-101,,
2:41.0,,,101-101,,R. Westbrook misses 2-pt shot at rim
2:40.0,Defensive rebound by Team,,101-101,,
2:24.0,D. Carroll makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,104-101,,
2:01.0,,,104-101,,Shooting foul by J. Allen (drawn by C. Anthony)
2:01.0,,,104-102,1,C. Anthony makes free throw 1 of 2
2:01.0,,,104-103,1,C. Anthony makes free throw 2 of 2
1:42.0,S. Dinwiddie misses 2-pt shot from 4 ft,,104-103,,
1:37.0,Offensive rebound by J. Allen,,104-103,,
1:37.0,J. Allen misses 2-pt shot at rim,,104-103,,
1:37.0,,,104-103,,Defensive rebound by C. Anthony
1:31.0,,,104-105,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
1:15.0,J. Allen makes 2-pt shot at rim (assist by S. Dinwiddie),2,106-105,,
1:03.0,Personal foul by S. Dinwiddie (drawn by R. Westbrook),,106-105,,
1:03.0,,,106-106,1,R. Westbrook makes free throw 1 of 2
1:03.0,,,106-107,1,R. Westbrook makes free throw 2 of 2
0:49.0,D. Carroll misses 2-pt shot from 8 ft,,106-107,,
0:48.0,,,106-107,,Defensive rebound by A. Roberson
0:26.0,,,106-107,,C. Anthony misses 2-pt shot from 9 ft
0:22.0,Defensive rebound by A. Crabbe,,106-107,,
0:07.0,S. Dinwiddie makes 2-pt shot from 1 ft,2,108-107,,
0:07.0,,,108-107,,Oklahoma City full timeout
0:07.0,,,108-107,,R. Felton enters the game for A. Roberson
0:07.0,R. Hollis-Jefferson enters the game for J. Harris,,108-107,,
0:03.0,,,108-109,2,R. Westbrook makes 2-pt shot from 1 ft
0:03.0,Brooklyn full timeout,,108-109,,
0:03.0,,,108-109,,A. Roberson enters the game for R. Felton
0:03.0,Q. Acy enters the game for J. Allen,,108-109,,
0:03.0,J. Harris enters the game for R. Hollis-Jefferson,,108-109,,
0:03.0,,,108-109,,Oklahoma City full timeout
0:03.0,Brooklyn full timeout,,108-109,,
0:00.0,S. Dinwiddie misses 3-pt shot from 24 ft,,108-109,,
0:00.0,Offensive rebound by Team,,108-109,,
