time,Brooklyn,pts.away,score,pts.home,LA Clippers
6:17.0,R. Hollis-Jefferson enters the game for S. Dinwiddie,,108-104,,
6:17.0,C. LeVert enters the game for D. Cunningham,,108-104,,
6:04.0,,,108-104,,Shooting foul by A. Crabbe (drawn by A. Rivers)
6:04.0,,,108-105,1,A. Rivers makes free throw 1 of 2
6:04.0,,,108-106,1,A. Rivers makes free throw 2 of 2
5:44.0,R. Hollis-Jefferson misses 2-pt shot from 10 ft,,108-106,,
5:41.0,,,108-106,,Defensive rebound by D. Jordan
5:30.0,,,108-108,2,A. Rivers makes 2-pt shot from 2 ft
5:15.0,Shooting foul by T. Harris (drawn by D. Carroll),,108-108,,
5:15.0,D. Carroll makes free throw 1 of 2,1,109-108,,
5:15.0,S. Dinwiddie enters the game for J. Harris,,109-108,,
5:15.0,D. Carroll makes free throw 2 of 2,1,110-108,,
5:04.0,,,110-108,,Turnover by A. Rivers (bad pass; steal by S. Dinwiddie)
5:02.0,,,110-108,,Personal take foul by M. Teodosic (drawn by S. Dinwiddie)
4:56.0,C. LeVert misses 2-pt shot from 2 ft,,110-108,,
4:54.0,,,110-108,,Defensive rebound by D. Jordan
4:41.0,Personal take foul by D. Carroll (drawn by D. Jordan),,110-108,,
4:41.0,,,110-109,1,D. Jordan makes free throw 1 of 2
4:41.0,,,110-110,1,D. Jordan makes free throw 2 of 2
4:31.0,,,110-110,,Violation by D. Jordan (kicked ball)
4:25.0,C. LeVert makes 3-pt shot from 26 ft,3,113-110,,
4:09.0,,,113-110,,A. Rivers misses 3-pt shot from 26 ft
4:05.0,Defensive rebound by S. Dinwiddie,,113-110,,
3:53.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by C. LeVert),2,115-110,,
3:52.0,,,115-110,,LA Clippers full timeout
3:31.0,,,115-110,,T. Harris misses 3-pt shot from 23 ft
3:29.0,Defensive rebound by C. LeVert,,115-110,,
3:11.0,C. LeVert makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,118-110,,
2:57.0,,,118-112,2,A. Rivers makes 2-pt shot from 10 ft (assist by M. Teodosic)
2:34.0,A. Crabbe misses 3-pt shot from 23 ft,,118-112,,
2:31.0,,,118-112,,Defensive rebound by D. Jordan
2:27.0,,,118-114,2,M. Teodosic makes 2-pt shot from 1 ft (assist by L. Williams)
2:07.0,S. Dinwiddie misses 2-pt shot from 17 ft,,118-114,,
2:04.0,,,118-114,,Defensive rebound by L. Williams
1:58.0,,,118-114,,Shooting foul by R. Hollis-Jefferson (drawn by D. Jordan)
1:58.0,,,118-115,1,D. Jordan makes free throw 1 of 2
1:58.0,J. Harris enters the game for A. Crabbe,,118-115,,
1:58.0,,,118-116,1,D. Jordan makes free throw 2 of 2
1:41.0,C. LeVert makes 2-pt shot from 1 ft,2,120-116,,
1:34.0,,,120-118,2,L. Williams makes 2-pt shot from 1 ft
1:19.0,C. LeVert misses 3-pt shot from 25 ft,,120-118,,
1:15.0,Offensive rebound by S. Dinwiddie,,120-118,,
1:15.0,S. Dinwiddie misses 2-pt shot at rim,,120-118,,
1:14.0,,,120-118,,Defensive rebound by T. Harris
1:09.0,,,120-118,,L. Williams misses 2-pt shot from 7 ft (block by R. Hollis-Jefferson)
1:09.0,,,120-118,,Offensive rebound by Team
1:09.0,,,120-118,,LA Clippers full timeout
1:03.0,,,120-118,,L. Williams misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by D. Carroll,,120-118,,
0:43.0,S. Dinwiddie misses 3-pt shot from 28 ft,,120-118,,
0:39.0,,,120-118,,Defensive rebound by M. Teodosic
0:33.0,,,120-121,3,A. Rivers makes 3-pt shot from 26 ft
0:33.0,Brooklyn full timeout,,120-121,,
0:33.0,,,120-121,,W. Johnson enters the game for M. Teodosic
0:33.0,,,120-121,,S. Thornwell enters the game for L. Williams
0:28.0,Turnover by C. LeVert (bad pass; steal by T. Harris),,120-121,,
0:28.0,,,120-121,,LA Clippers full timeout
0:28.0,,,120-121,,M. Teodosic enters the game for W. Johnson
0:28.0,,,120-121,,L. Williams enters the game for S. Thornwell
0:08.0,,,120-123,2,L. Williams makes 2-pt shot from 15 ft
0:08.0,Brooklyn full timeout,,120-123,,
0:08.0,,,120-123,,W. Johnson enters the game for M. Teodosic
0:08.0,,,120-123,,S. Thornwell enters the game for L. Williams
0:08.0,D. Cunningham enters the game for R. Hollis-Jefferson,,120-123,,
0:02.0,J. Harris misses 3-pt shot from 27 ft (block by S. Thornwell),,120-123,,
0:01.0,Offensive rebound by J. Harris,,120-123,,
0:00.0,J. Harris misses 3-pt shot from 26 ft,,120-123,,
0:00.0,Offensive rebound by Team,,120-123,,
