time,Golden State,pts.away,score,pts.home,Charlotte
3:32.0,,,97-83,,Personal foul by M. Williams (drawn by K. Thompson)
3:13.0,K. Durant makes 2-pt shot from 19 ft,2,99-83,,
3:03.0,,,99-83,,K. Walker misses 2-pt shot from 2 ft
3:03.0,,,99-83,,Offensive rebound by Team
3:03.0,Loose ball foul by N. Young (drawn by D. Howard),,99-83,,
2:56.0,,,99-83,,Turnover by N. Batum (bad pass)
2:56.0,,,99-83,,Charlotte full timeout
2:56.0,,,99-83,,M. Monk enters the game for M. Williams
2:56.0,,,99-83,,T. Graham enters the game for N. Batum
2:56.0,,,99-83,,J. O'Bryant enters the game for D. Howard
2:56.0,,,99-83,,M. Carter-Williams enters the game for K. Walker
2:56.0,,,99-83,,D. Bacon enters the game for M. Kidd-Gilchrist
2:36.0,Turnover by K. Looney (bad pass; steal by T. Graham),,99-83,,
2:34.0,,,99-83,,Turnover by T. Graham (bad pass; steal by K. Looney)
2:33.0,K. Durant misses 3-pt shot from 26 ft,,99-83,,
2:28.0,Offensive rebound by A. Iguodala,,99-83,,
2:26.0,K. Durant misses 3-pt shot from 25 ft,,99-83,,
2:26.0,,,99-83,,Defensive rebound by M. Carter-Williams
2:16.0,,,99-83,,J. O'Bryant misses 2-pt shot from 11 ft
2:12.0,Defensive rebound by K. Durant,,99-83,,
2:09.0,Golden State full timeout,,99-83,,
2:09.0,Q. Cook enters the game for A. Iguodala,,99-83,,
2:09.0,O. Casspi enters the game for K. Thompson,,99-83,,
2:09.0,J. Bell enters the game for K. Durant,,99-83,,
1:52.0,K. Looney makes 2-pt shot from 1 ft (assist by Q. Cook),2,101-83,,
1:38.0,,,101-83,,J. O'Bryant misses 2-pt shot from 7 ft
1:37.0,,,101-83,,Offensive rebound by T. Graham
1:36.0,,,101-85,2,T. Graham makes 2-pt shot at rim
1:24.0,N. Young misses 3-pt shot from 24 ft,,101-85,,
1:20.0,,,101-85,,Defensive rebound by D. Bacon
1:11.0,,,101-87,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by J. O'Bryant)
0:48.0,O. Casspi misses 2-pt shot from 6 ft,,101-87,,
0:44.0,,,101-87,,Defensive rebound by D. Bacon
0:39.0,,,101-87,,M. Monk misses 3-pt shot from 23 ft
0:39.0,Defensive rebound by J. Bell,,101-87,,
0:17.0,N. Young misses 3-pt shot from 26 ft,,101-87,,
0:12.0,,,101-87,,Defensive rebound by J. O'Bryant
