time,Utah,pts.away,score,pts.home,Atlanta
4:27.0,,,73-95,,Turnover by E. Ilyasova (offensive foul)
4:27.0,,,73-95,,M. Muscala enters the game for E. Ilyasova
4:27.0,,,73-95,,I. Taylor enters the game for D. Schroder
4:15.0,Shooting foul by I. Taylor (drawn by E. Udoh),,73-95,,
4:15.0,E. Udoh makes free throw 1 of 2,1,74-95,,
4:15.0,E. Udoh misses free throw 2 of 2,,74-95,,
4:13.0,,,74-95,,Defensive rebound by T. Dorsey
4:01.0,,,74-95,,M. Belinelli misses 2-pt shot from 1 ft
3:57.0,,,74-95,,Offensive rebound by D. Dedmon
3:56.0,,,74-95,,D. Dedmon misses 2-pt shot from 3 ft
3:56.0,Defensive rebound by R. O'Neale,,74-95,,
3:55.0,A. Burks makes technical free throw,1,75-95,,
3:55.0,,,75-95,,L. Babbitt enters the game for D. Dedmon
3:48.0,R. Neto misses 2-pt shot from 4 ft,,75-95,,
3:45.0,,,75-95,,Defensive rebound by M. Muscala
3:37.0,,,75-98,3,T. Dorsey makes 3-pt shot from 26 ft (assist by I. Taylor)
3:20.0,J. Jerebko makes 2-pt shot from 11 ft (assist by R. O'Neale),2,77-98,,
3:01.0,Violation by E. Udoh (kicked ball),,77-98,,
2:53.0,,,77-100,2,M. Belinelli makes 2-pt shot from 22 ft (assist by I. Taylor)
2:44.0,R. Neto makes 2-pt shot from 2 ft (assist by J. Jerebko),2,79-100,,
2:28.0,,,79-102,2,M. Muscala makes 2-pt shot from 1 ft (assist by T. Dorsey)
2:08.0,R. Neto makes 2-pt shot from 12 ft,2,81-102,,
1:52.0,,,81-102,,T. Dorsey misses 2-pt shot from 3 ft
1:49.0,Defensive rebound by A. Burks,,81-102,,
1:43.0,A. Burks makes 2-pt shot from 11 ft,2,83-102,,
1:31.0,,,83-102,,Turnover by M. Muscala (step out of bounds)
1:20.0,,,83-102,,Personal foul by I. Taylor (drawn by R. Neto)
1:20.0,R. Neto makes free throw 1 of 2,1,84-102,,
1:20.0,R. Neto makes free throw 2 of 2,1,85-102,,
1:01.0,,,85-102,,M. Belinelli misses 3-pt shot from 23 ft
0:58.0,Defensive rebound by E. Udoh,,85-102,,
0:55.0,Shooting foul by L. Babbitt (drawn by R. O'Neale),,85-102,,
0:55.0,R. O'Neale makes free throw 1 of 2,1,86-102,,
0:55.0,R. O'Neale makes free throw 2 of 2,1,87-102,,
0:47.0,,,87-104,2,T. Dorsey makes 2-pt shot from 1 ft (assist by I. Taylor)
0:37.0,A. Burks makes 3-pt shot from 23 ft,3,90-104,,
0:19.0,,,90-104,,M. Muscala misses 3-pt shot from 22 ft
0:16.0,Defensive rebound by E. Udoh,,90-104,,
