time,Sacramento,pts.away,score,pts.home,Utah
4:53.0,,,48-39,,D. Mitchell misses 3-pt shot from 27 ft
4:50.0,Defensive rebound by B. Hield,,48-39,,
4:39.0,S. Labissiere misses 2-pt shot from 15 ft,,48-39,,
4:36.0,,,48-39,,Defensive rebound by R. Gobert
4:31.0,,,48-39,,Shooting foul by S. Labissiere (drawn by J. Crowder)
4:31.0,,,48-40,1,J. Crowder makes free throw 1 of 2
4:31.0,,,48-41,1,J. Crowder makes free throw 2 of 2
4:11.0,B. Hield makes 2-pt shot from 15 ft,2,50-41,,
3:57.0,,,50-43,2,R. Rubio makes 2-pt shot from 1 ft (assist by J. Ingles)
3:46.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,50-43,,
3:45.0,,,50-43,,Defensive rebound by J. Ingles
3:39.0,,,50-46,3,J. Ingles makes 3-pt shot from 27 ft (assist by R. Rubio)
3:30.0,Sacramento full timeout,,50-46,,
3:30.0,F. Mason enters the game for D. Fox,,50-46,,
3:30.0,J. Jackson enters the game for B. Hield,,50-46,,
3:12.0,Turnover by S. Labissiere (lost ball; steal by J. Crowder),,50-46,,
3:07.0,,,50-46,,D. Mitchell misses 3-pt shot from 25 ft
3:04.0,Defensive rebound by F. Mason,,50-46,,
2:53.0,Turnover by S. Labissiere (out of bounds lost ball),,50-46,,
2:37.0,,,50-48,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
2:18.0,B. Bogdanovic misses 2-pt shot from 2 ft,,50-48,,
2:17.0,,,50-48,,Defensive rebound by J. Crowder
2:11.0,,,50-48,,R. Rubio misses 2-pt shot from 3 ft
2:08.0,Defensive rebound by F. Mason,,50-48,,
2:05.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by F. Mason),2,52-48,,
1:43.0,Personal foul by S. Labissiere (drawn by R. Gobert),,52-48,,
1:43.0,,,52-49,1,R. Gobert makes free throw 1 of 2
1:43.0,J. Sampson enters the game for W. Cauley-Stein,,52-49,,
1:43.0,K. Koufos enters the game for S. Labissiere,,52-49,,
1:43.0,,,52-50,1,R. Gobert makes free throw 2 of 2
1:22.0,B. Bogdanovic misses 2-pt shot from 11 ft,,52-50,,
1:19.0,,,52-50,,Defensive rebound by D. Mitchell
1:12.0,,,52-50,,Turnover by J. Ingles (bad pass; steal by J. Sampson)
1:10.0,,,52-50,,Personal foul by R. Rubio (drawn by F. Mason)
0:59.0,K. Koufos misses 2-pt shot from 3 ft (block by R. Gobert),,52-50,,
0:58.0,,,52-50,,Defensive rebound by Team
0:40.0,,,52-50,,J. Crowder misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by K. Koufos,,52-50,,
0:28.0,J. Jackson makes 2-pt shot from 18 ft (assist by B. Bogdanovic),2,54-50,,
0:07.0,,,54-50,,D. Mitchell misses 2-pt shot from 2 ft
0:06.0,Defensive rebound by K. Koufos,,54-50,,
0:00.0,B. Bogdanovic misses 2-pt shot from 11 ft,,54-50,,
0:00.0,Offensive rebound by Team,,54-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,B. Bogdanovic misses 2-pt shot from 5 ft,,54-50,,
11:37.0,,,54-50,,Defensive rebound by D. Favors
11:21.0,,,54-52,2,D. Mitchell makes 2-pt shot from 1 ft (assist by R. Rubio)
11:04.0,Turnover by D. Fox (bad pass; steal by R. Rubio),,54-52,,
