time,Orlando,pts.away,score,pts.home,Dallas
6:58.0,E. Payton makes 2-pt shot at rim (assist by E. Fournier),2,56-59,,
6:33.0,,,56-61,2,D. Smith makes 2-pt shot from 20 ft (assist by Y. Ferrell)
6:24.0,A. Gordon makes 3-pt shot from 23 ft (assist by E. Payton),3,59-61,,
6:11.0,,,59-64,3,D. Smith makes 3-pt shot from 24 ft
6:01.0,A. Gordon misses 3-pt shot from 26 ft,,59-64,,
5:58.0,,,59-64,,Defensive rebound by D. Nowitzki
5:51.0,,,59-64,,D. Smith misses 3-pt shot from 23 ft
5:49.0,,,59-64,,Offensive rebound by W. Matthews
5:44.0,,,59-64,,D. Powell enters the game for D. Nowitzki
5:44.0,B. Biyombo enters the game for J. Simmons,,59-64,,
5:32.0,,,59-64,,W. Matthews misses 3-pt shot from 24 ft
5:29.0,Defensive rebound by B. Biyombo,,59-64,,
5:27.0,,,59-64,,Personal block foul by D. Smith (drawn by E. Payton)
5:27.0,,,59-64,,J. Barea enters the game for D. Smith
5:24.0,E. Fournier makes 2-pt shot from 12 ft (assist by M. Hezonja),2,61-64,,
5:00.0,,,61-66,2,Y. Ferrell makes 2-pt shot from 2 ft (assist by J. Barea)
4:54.0,Offensive charge foul by B. Biyombo (drawn by D. Powell),,61-66,,
4:54.0,Turnover by B. Biyombo (offensive foul),,61-66,,
4:39.0,,,61-66,,D. Powell misses 3-pt shot from 24 ft
4:37.0,Defensive rebound by B. Biyombo,,61-66,,
4:29.0,M. Hezonja misses 3-pt shot from 25 ft,,61-66,,
4:29.0,Offensive rebound by Team,,61-66,,
4:29.0,,,61-66,,Loose ball foul by D. Powell (drawn by B. Biyombo)
4:29.0,,,61-66,,S. Mejri enters the game for D. Powell
4:20.0,A. Gordon makes 2-pt shot from 2 ft,2,63-66,,
4:20.0,Shooting foul by W. Matthews (drawn by A. Gordon),,63-66,,
4:20.0,A. Gordon makes free throw 1 of 1,1,64-66,,
4:20.0,,,64-66,,Dallas full timeout
4:04.0,,,64-68,2,Y. Ferrell makes 2-pt shot from 18 ft (assist by J. Barea)
