time,Orlando,pts.away,score,pts.home,Minnesota
5:29.0,N. Vucevic makes 2-pt shot from 7 ft (assist by T. Ross),2,99-107,,
5:06.0,,,99-110,3,J. Butler makes 3-pt shot from 23 ft (assist by J. Teague)
5:05.0,Orlando full timeout,,99-110,,
4:52.0,E. Fournier makes 2-pt shot from 1 ft,2,101-110,,
4:35.0,,,101-110,,J. Butler misses 2-pt shot from 2 ft
4:31.0,Defensive rebound by N. Vucevic,,101-110,,
4:26.0,E. Fournier misses 3-pt shot from 24 ft,,101-110,,
4:25.0,,,101-110,,Defensive rebound by Team
4:05.0,,,101-110,,Minnesota full timeout
4:01.0,,,101-110,,J. Butler misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by N. Vucevic,,101-110,,
3:54.0,A. Gordon misses 3-pt shot from 23 ft,,101-110,,
3:47.0,Jump ball: K. Towns vs. A. Gordon (A. Wiggins gains possession),,,,Jump ball: K. Towns vs. A. Gordon (A. Wiggins gains possession)
3:47.0,,,101-110,,Offensive rebound by Team
3:33.0,,,101-112,2,K. Towns makes 2-pt shot from 11 ft
3:16.0,E. Payton misses 3-pt shot from 23 ft,,101-112,,
3:12.0,Offensive rebound by T. Ross,,101-112,,
3:12.0,T. Ross misses 3-pt shot from 24 ft,,101-112,,
3:12.0,,,101-112,,Defensive rebound by K. Towns
2:44.0,,,101-112,,J. Teague misses 2-pt shot from 13 ft
2:41.0,,,101-112,,Offensive rebound by T. Gibson
2:40.0,,,101-112,,Minnesota full timeout
2:31.0,,,101-114,2,J. Teague makes 2-pt shot from 10 ft
2:15.0,E. Fournier misses 2-pt shot from 2 ft,,101-114,,
2:15.0,Offensive rebound by N. Vucevic,,101-114,,
2:09.0,N. Vucevic makes 2-pt shot at rim,2,103-114,,
2:01.0,,,103-114,,Turnover by J. Teague (lost ball; steal by E. Payton)
2:01.0,,,103-114,,Personal foul by J. Teague (drawn by E. Payton)
2:01.0,E. Payton misses free throw 1 of 2,,103-114,,
2:01.0,Offensive rebound by Team,,103-114,,
2:01.0,E. Payton makes free throw 2 of 2,1,104-114,,
1:39.0,,,104-114,,J. Butler misses 2-pt shot from 16 ft (block by E. Payton)
1:36.0,Defensive rebound by E. Payton,,104-114,,
1:36.0,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton),2,106-114,,
1:22.0,,,106-116,2,T. Gibson makes 2-pt shot at rim (assist by J. Teague)
1:13.0,E. Fournier misses 2-pt shot from 7 ft,,106-116,,
1:13.0,,,106-116,,Defensive rebound by T. Gibson
0:52.0,,,106-116,,T. Gibson misses 2-pt shot from 2 ft
0:50.0,Defensive rebound by E. Fournier,,106-116,,
0:47.0,T. Ross makes 2-pt shot at rim (assist by E. Fournier),2,108-116,,
0:39.0,Personal take foul by T. Ross (drawn by A. Wiggins),,108-116,,
0:38.0,Personal take foul by T. Ross (drawn by A. Wiggins),,108-116,,
0:38.0,,,108-117,1,A. Wiggins makes free throw 1 of 2
0:38.0,,,108-118,1,A. Wiggins makes free throw 2 of 2
0:38.0,Orlando full timeout,,108-118,,
0:38.0,D. Augustin enters the game for E. Payton,,108-118,,
0:35.0,A. Gordon makes 2-pt shot from 1 ft,2,110-118,,
0:33.0,Personal take foul by D. Augustin (drawn by J. Teague),,110-118,,
0:33.0,,,110-118,,J. Teague misses free throw 1 of 2
0:33.0,,,110-118,,Offensive rebound by Team
0:33.0,,,110-119,1,J. Teague makes free throw 2 of 2
0:33.0,Orlando full timeout,,110-119,,
0:29.0,E. Fournier makes 3-pt shot from 24 ft (assist by N. Vucevic),3,113-119,,
0:28.0,Personal take foul by T. Ross (drawn by A. Wiggins),,113-119,,
0:28.0,,,113-120,1,A. Wiggins makes free throw 1 of 2
0:28.0,,,113-121,1,A. Wiggins makes free throw 2 of 2
0:20.0,T. Ross makes 3-pt shot from 24 ft (assist by D. Augustin),3,116-121,,
0:19.0,,,116-121,,Minnesota full timeout
0:19.0,,,116-121,,J. Crawford enters the game for T. Gibson
0:19.0,E. Payton enters the game for D. Augustin,,116-121,,
0:17.0,Personal take foul by E. Payton (drawn by J. Butler),,116-121,,
0:17.0,,,116-121,,J. Butler misses free throw 1 of 2
0:17.0,,,116-121,,Offensive rebound by Team
0:17.0,,,116-121,,T. Gibson enters the game for J. Crawford
0:17.0,,,116-121,,J. Butler misses free throw 2 of 2
0:14.0,Defensive rebound by N. Vucevic,,116-121,,
0:11.0,Turnover by E. Fournier (traveling),,116-121,,
0:11.0,,,116-121,,J. Crawford enters the game for T. Gibson
0:10.0,Personal take foul by N. Vucevic (drawn by A. Wiggins),,116-121,,
0:10.0,,,116-121,,A. Wiggins misses free throw 1 of 2
0:10.0,,,116-121,,Offensive rebound by Team
0:10.0,,,116-121,,T. Gibson enters the game for J. Crawford
0:10.0,,,116-122,1,A. Wiggins makes free throw 2 of 2
0:07.0,E. Fournier makes 2-pt shot from 1 ft (assist by A. Gordon),2,118-122,,
0:01.0,Personal take foul by T. Ross (drawn by J. Teague),,118-122,,
0:01.0,,,118-123,1,J. Teague makes free throw 1 of 2
0:01.0,,,118-124,1,J. Teague makes free throw 2 of 2
0:00.0,T. Ross misses 3-pt shot from 62 ft,,118-124,,
0:00.0,Offensive rebound by Team,,118-124,,
