time,New York,pts.away,score,pts.home,Miami
9:51.0,,,83-106,,W. Ellington misses 3-pt shot from 24 ft
9:48.0,Defensive rebound by T. Burke,,83-106,,
9:40.0,Turnover by T. Burke (bad pass; steal by W. Ellington),,83-106,,
9:37.0,,,83-108,2,W. Ellington makes 2-pt shot at rim
9:16.0,Shooting foul by J. Richardson (drawn by E. Kanter),,83-108,,
9:16.0,E. Kanter misses free throw 1 of 2,,83-108,,
9:16.0,Offensive rebound by Team,,83-108,,
9:16.0,M. Beasley enters the game for I. Hicks,,83-108,,
9:16.0,E. Kanter makes free throw 2 of 2,1,84-108,,
9:02.0,,,84-108,,J. Winslow misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by T. Burke,,84-108,,
8:55.0,,,84-108,,Personal foul by J. Winslow (drawn by M. Beasley)
8:47.0,E. Kanter misses 2-pt shot from 18 ft,,84-108,,
8:44.0,,,84-108,,Defensive rebound by J. Richardson
8:33.0,,,84-111,3,J. Winslow makes 3-pt shot from 23 ft (assist by K. Olynyk)
8:18.0,,,84-111,,Personal foul by K. Olynyk (drawn by T. Burke)
8:07.0,T. Burke misses 3-pt shot from 25 ft,,84-111,,
8:05.0,Offensive rebound by E. Kanter,,84-111,,
8:04.0,E. Kanter makes 2-pt shot from 1 ft,2,86-111,,
7:48.0,,,86-111,,R. McGruder misses 3-pt shot from 23 ft
7:44.0,Defensive rebound by T. Burke,,86-111,,
7:43.0,Turnover by D. Dotson (out of bounds lost ball),,86-111,,
7:30.0,,,86-114,3,J. Richardson makes 3-pt shot from 24 ft (assist by K. Olynyk)
7:07.0,,,86-114,,Personal foul by K. Olynyk (drawn by E. Kanter)
6:57.0,E. Kanter makes 2-pt shot from 2 ft,2,88-114,,
6:35.0,,,88-114,,J. Winslow misses 2-pt shot from 13 ft
6:35.0,Defensive rebound by Team,,88-114,,
6:35.0,,,88-114,,Miami full timeout
6:13.0,M. Beasley misses 2-pt shot from 16 ft,,88-114,,
6:09.0,,,88-114,,Defensive rebound by W. Ellington
5:52.0,,,88-114,,R. McGruder misses 2-pt shot from 16 ft
5:49.0,Defensive rebound by T. Burke,,88-114,,
5:45.0,F. Ntilikina makes 3-pt shot from 24 ft (assist by T. Burke),3,91-114,,
5:19.0,,,91-117,3,W. Ellington makes 3-pt shot from 24 ft (assist by J. Richardson)
5:02.0,Shooting foul by R. McGruder (drawn by E. Kanter),,91-117,,
5:02.0,E. Kanter makes free throw 1 of 2,1,92-117,,
5:02.0,,,92-117,,U. Haslem enters the game for J. Richardson
5:02.0,,,92-117,,L. Babbitt enters the game for W. Ellington
5:02.0,,,92-117,,D. Walton enters the game for K. Olynyk
5:02.0,,,92-117,,J. Mickey enters the game for R. McGruder
5:02.0,I. Hicks enters the game for M. Beasley,,92-117,,
5:02.0,E. Kanter makes free throw 2 of 2,1,93-117,,
4:38.0,,,93-117,,J. Mickey misses 2-pt shot from 5 ft
4:35.0,Defensive rebound by E. Kanter,,93-117,,
4:17.0,T. Burke makes 3-pt shot from 24 ft (assist by D. Dotson),3,96-117,,
3:57.0,,,96-117,,U. Haslem misses 2-pt shot from 16 ft
3:54.0,Defensive rebound by T. Burke,,96-117,,
3:48.0,F. Ntilikina misses 3-pt shot from 23 ft,,96-117,,
3:43.0,,,96-117,,Defensive rebound by D. Walton
3:20.0,,,96-117,,J. Winslow misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by E. Kanter,,96-117,,
3:10.0,T. Burke misses 2-pt shot from 11 ft,,96-117,,
3:06.0,,,96-117,,Defensive rebound by D. Walton
2:54.0,,,96-117,,J. Winslow misses 2-pt shot from 2 ft (block by I. Hicks)
2:54.0,,,96-117,,Offensive rebound by Team
2:54.0,New York full timeout,,96-117,,
2:54.0,T. Williams enters the game for E. Kanter,,96-117,,
2:46.0,,,96-117,,J. Winslow misses 2-pt shot from 1 ft
2:44.0,Defensive rebound by D. Dotson,,96-117,,
2:40.0,D. Dotson misses 2-pt shot from 6 ft,,96-117,,
2:37.0,,,96-117,,Defensive rebound by J. Mickey
2:13.0,,,96-117,,J. Winslow misses 3-pt shot from 26 ft
2:10.0,,,96-117,,Offensive rebound by D. Walton
2:08.0,,,96-117,,L. Babbitt misses 3-pt shot from 24 ft
2:04.0,Defensive rebound by T. Williams,,96-117,,
