time,Portland,pts.away,score,pts.home,Toronto
2:52.0,,,100-125,,Turnover by N. Powell (out of bounds lost ball)
2:46.0,J. Layman misses 3-pt shot from 25 ft,,100-125,,
2:42.0,,,100-125,,Defensive rebound by D. Wright
2:32.0,,,100-125,,A. McKinnie misses 2-pt shot from 5 ft
2:32.0,Defensive rebound by M. Leonard,,100-125,,
2:16.0,M. Leonard misses 2-pt shot from 1 ft,,100-125,,
2:16.0,Offensive rebound by P. Connaughton,,100-125,,
2:07.0,M. Leonard makes 2-pt shot at rim (assist by N. Vonleh),2,102-125,,
1:46.0,,,102-125,,O. Anunoby misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by M. Leonard,,102-125,,
1:29.0,N. Vonleh makes 2-pt shot at rim (assist by P. Connaughton),2,104-125,,
1:20.0,,,104-125,,D. Wright misses 2-pt shot from 8 ft
1:18.0,Defensive rebound by J. Layman,,104-125,,
1:12.0,Turnover by P. Connaughton (bad pass; steal by L. Nogueira),,104-125,,
1:07.0,,,104-127,2,N. Powell makes 2-pt shot at rim
0:54.0,Offensive foul by M. Leonard (drawn by O. Anunoby),,104-127,,
0:54.0,Turnover by M. Leonard (offensive foul),,104-127,,
0:54.0,,,104-127,,P. Siakam enters the game for O. Anunoby
0:45.0,,,104-127,,A. McKinnie misses 3-pt shot from 26 ft
0:41.0,Defensive rebound by N. Vonleh,,104-127,,
0:36.0,,,104-127,,Personal foul by P. Siakam (drawn by N. Vonleh)
0:36.0,N. Vonleh misses free throw 1 of 2,,104-127,,
0:36.0,Offensive rebound by Team,,104-127,,
0:36.0,N. Vonleh makes free throw 2 of 2,1,105-127,,
0:12.0,,,105-130,3,A. McKinnie makes 3-pt shot from 26 ft (assist by L. Nogueira)
0:00.0,P. Connaughton misses 2-pt shot from 5 ft (block by D. Wright),,105-130,,
0:00.0,Offensive rebound by Team,,105-130,,
