time,Charlotte,pts.away,score,pts.home,LA Clippers
6:09.0,,,83-88,,B. Griffin enters the game for W. Johnson
6:09.0,D. Howard enters the game for J. O'Bryant,,83-88,,
6:09.0,N. Batum enters the game for M. Carter-Williams,,83-88,,
6:09.0,K. Walker enters the game for J. Lamb,,83-88,,
5:52.0,,,83-88,,B. Griffin misses 2-pt shot from 10 ft
5:48.0,Defensive rebound by N. Batum,,83-88,,
5:33.0,F. Kaminsky misses 2-pt shot from 8 ft,,83-88,,
5:32.0,,,83-88,,Defensive rebound by D. Jordan
5:21.0,,,83-91,3,L. Williams makes 3-pt shot from 26 ft
5:05.0,N. Batum makes 2-pt shot from 16 ft (assist by D. Howard),2,85-91,,
4:45.0,,,85-91,,Shooting foul by D. Howard (drawn by L. Williams)
4:45.0,,,85-92,1,L. Williams makes free throw 1 of 2
4:45.0,M. Kidd-Gilchrist enters the game for T. Graham,,85-92,,
4:45.0,,,85-93,1,L. Williams makes free throw 2 of 2
4:23.0,F. Kaminsky makes 2-pt shot from 7 ft (assist by N. Batum),2,87-93,,
4:02.0,,,87-96,3,M. Teodosic makes 3-pt shot from 25 ft (assist by B. Griffin)
3:48.0,,,87-96,,Personal block foul by D. Jordan (drawn by K. Walker)
3:37.0,N. Batum makes 2-pt shot from 13 ft,2,89-96,,
3:11.0,,,89-98,2,C. Williams makes 2-pt shot from 5 ft (assist by B. Griffin)
2:55.0,N. Batum makes 3-pt shot from 25 ft (assist by D. Howard),3,92-98,,
2:37.0,,,92-98,,Shooting foul by M. Kidd-Gilchrist (drawn by L. Williams)
2:37.0,,,92-99,1,L. Williams makes free throw 1 of 2
2:37.0,,,92-99,,W. Johnson enters the game for M. Teodosic
2:37.0,,,92-100,1,L. Williams makes free throw 2 of 2
2:30.0,,,92-100,,Personal foul by B. Griffin (drawn by F. Kaminsky)
2:25.0,N. Batum misses 3-pt shot from 25 ft,,92-100,,
2:20.0,Offensive rebound by M. Kidd-Gilchrist,,92-100,,
2:15.0,M. Kidd-Gilchrist misses 2-pt shot from 15 ft,,92-100,,
2:08.0,,,92-100,,Defensive rebound by L. Williams
1:53.0,,,92-100,,B. Griffin misses 2-pt shot from 20 ft
1:51.0,Defensive rebound by M. Kidd-Gilchrist,,92-100,,
1:46.0,K. Walker makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist),3,95-100,,
1:26.0,,,95-102,2,L. Williams makes 2-pt shot from 1 ft
1:17.0,K. Walker misses 2-pt shot from 2 ft (block by D. Jordan),,95-102,,
1:12.0,,,95-102,,Defensive rebound by D. Jordan
0:54.0,,,95-102,,W. Johnson misses 3-pt shot from 22 ft
0:54.0,Defensive rebound by F. Kaminsky,,95-102,,
0:49.0,K. Walker makes 3-pt shot from 27 ft (assist by N. Batum),3,98-102,,
0:43.0,Personal take foul by F. Kaminsky (drawn by B. Griffin),,98-102,,
0:43.0,,,98-103,1,B. Griffin makes free throw 1 of 2
0:43.0,,,98-104,1,B. Griffin makes free throw 2 of 2
0:43.0,Charlotte full timeout,,98-104,,
0:43.0,J. Lamb enters the game for M. Kidd-Gilchrist,,98-104,,
0:41.0,N. Batum misses 3-pt shot from 24 ft,,98-104,,
0:39.0,,,98-104,,Defensive rebound by B. Griffin
0:19.0,,,98-106,2,L. Williams makes 2-pt shot at rim
0:13.0,D. Howard misses 3-pt shot from 24 ft,,98-106,,
0:09.0,,,98-106,,Defensive rebound by D. Jordan
