time,Philadelphia,pts.away,score,pts.home,LA Lakers
9:48.0,,,90-87,,A. Bogut misses 2-pt shot from 1 ft (block by D. Saric)
9:43.0,Defensive rebound by T. Luwawu-Cabarrot,,90-87,,
9:37.0,Shooting foul by J. Clarkson (drawn by J. Embiid),,90-87,,
9:37.0,J. Embiid makes free throw 1 of 2,1,91-87,,
9:37.0,R. Covington enters the game for J. Redick,,91-87,,
9:37.0,J. Embiid makes free throw 2 of 2,1,92-87,,
9:25.0,,,92-87,,K. Caldwell-Pope misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by J. Embiid,,92-87,,
9:09.0,D. Saric misses 3-pt shot from 25 ft,,92-87,,
9:06.0,,,92-87,,Defensive rebound by K. Caldwell-Pope
8:59.0,,,92-89,2,J. Clarkson makes 2-pt shot from 4 ft (assist by K. Caldwell-Pope)
8:41.0,J. Embiid makes 2-pt shot from 19 ft,2,94-89,,
8:23.0,Personal foul by R. Covington (drawn by K. Caldwell-Pope),,94-89,,
8:23.0,,,94-89,,B. Ingram enters the game for K. Caldwell-Pope
8:23.0,R. Holmes enters the game for J. Embiid,,94-89,,
8:23.0,,,94-89,,K. Kuzma enters the game for A. Bogut
8:12.0,,,94-91,2,K. Kuzma makes 2-pt shot from 5 ft
7:58.0,Turnover by T. Luwawu-Cabarrot (bad pass; steal by J. Clarkson),,94-91,,
7:56.0,,,94-91,,Shooting foul by T. Luwawu-Cabarrot (drawn by C. Brewer)
7:56.0,,,94-92,1,C. Brewer makes free throw 1 of 2
7:56.0,,,94-92,,C. Brewer misses free throw 2 of 2
7:54.0,Defensive rebound by R. Holmes,,94-92,,
7:47.0,,,94-92,,Personal foul by B. Ingram (drawn by B. Simmons)
7:47.0,J. Redick enters the game for D. Saric,,94-92,,
7:41.0,J. Redick misses 3-pt shot from 24 ft,,94-92,,
7:40.0,Offensive rebound by Team,,94-92,,
7:40.0,,,94-92,,Loose ball foul by J. Randle
7:40.0,,,94-92,,Technical foul by J. Randle
7:40.0,J. Redick makes technical free throw,1,95-92,,
7:28.0,B. Simmons makes 2-pt shot from 1 ft,2,97-92,,
7:16.0,,,97-94,2,J. Clarkson makes 2-pt shot from 1 ft
7:16.0,,,97-94,,Shooting foul by R. Holmes (drawn by J. Clarkson)
7:16.0,,,97-95,1,J. Clarkson makes free throw 1 of 1
7:04.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,97-95,,
7:01.0,,,97-95,,Defensive rebound by K. Kuzma
6:44.0,,,97-95,,J. Randle misses 2-pt shot from 3 ft (block by R. Holmes)
6:43.0,,,97-95,,Offensive rebound by Team
6:43.0,,,97-95,,LA Lakers full timeout
6:43.0,,,97-95,,K. Caldwell-Pope enters the game for C. Brewer
6:43.0,J. Embiid enters the game for T. Luwawu-Cabarrot,,97-95,,
6:43.0,D. Saric enters the game for R. Holmes,,97-95,,
6:41.0,,,97-95,,Turnover by J. Randle (bad pass; steal by B. Simmons)
6:39.0,R. Covington misses 2-pt shot from 2 ft (block by K. Caldwell-Pope),,97-95,,
6:36.0,,,97-95,,Defensive rebound by Team
6:20.0,,,97-95,,J. Randle misses 3-pt shot from 22 ft
6:18.0,Defensive rebound by J. Redick,,97-95,,
5:58.0,J. Embiid misses 2-pt shot from 12 ft,,97-95,,
5:54.0,,,97-95,,Defensive rebound by K. Kuzma
5:49.0,,,97-97,2,K. Kuzma makes 2-pt shot from 4 ft
5:43.0,Philadelphia full timeout,,97-97,,
5:35.0,Shooting foul by J. Randle (drawn by J. Embiid),,97-97,,
5:35.0,J. Embiid makes free throw 1 of 2,1,98-97,,
5:35.0,J. Embiid misses free throw 2 of 2,,98-97,,
5:33.0,,,98-97,,Defensive rebound by J. Randle
5:13.0,,,98-97,,Shooting foul by J. Embiid (drawn by B. Ingram)
5:13.0,,,98-98,1,B. Ingram makes free throw 1 of 2
5:13.0,,,98-98,,B. Ingram misses free throw 2 of 2
5:11.0,,,98-98,,Offensive rebound by Team
5:06.0,,,98-100,2,B. Ingram makes 2-pt shot from 19 ft
4:49.0,J. Embiid makes 2-pt shot at rim,2,100-100,,
4:32.0,,,100-100,,Turnover by B. Ingram (lost ball; steal by B. Simmons)
4:27.0,J. Redick misses 3-pt shot from 24 ft,,100-100,,
4:22.0,,,100-100,,Defensive rebound by J. Randle
4:19.0,,,100-100,,Shooting foul by J. Redick (drawn by J. Randle)
4:19.0,,,100-101,1,J. Randle makes free throw 1 of 2
4:19.0,,,100-101,,LA Lakers full timeout
4:19.0,,,100-101,,J. Randle misses free throw 2 of 2
4:16.0,Defensive rebound by D. Saric,,100-101,,
4:03.0,J. Embiid makes 2-pt shot from 2 ft,2,102-101,,
4:03.0,Shooting foul by J. Randle (drawn by J. Embiid),,102-101,,
4:03.0,J. Embiid makes free throw 1 of 1,1,103-101,,
3:49.0,,,103-101,,J. Randle misses 2-pt shot from 4 ft (block by J. Embiid)
3:46.0,Defensive rebound by R. Covington,,103-101,,
3:28.0,B. Simmons makes 2-pt shot from 9 ft,2,105-101,,
3:09.0,,,105-104,3,K. Kuzma makes 3-pt shot from 26 ft (assist by J. Clarkson)
2:52.0,Shooting foul by J. Randle (drawn by J. Embiid),,105-104,,
2:52.0,J. Embiid makes free throw 1 of 2,1,106-104,,
2:52.0,J. Embiid makes free throw 2 of 2,1,107-104,,
2:52.0,,,107-104,,LA Lakers full timeout
2:43.0,,,107-104,,K. Kuzma misses 3-pt shot from 26 ft
2:40.0,Defensive rebound by R. Covington,,107-104,,
2:27.0,J. Redick misses 2-pt shot from 3 ft,,107-104,,
2:25.0,Offensive rebound by B. Simmons,,107-104,,
2:20.0,R. Covington makes 3-pt shot from 25 ft,3,110-104,,
2:01.0,,,110-104,,Turnover by B. Ingram (bad pass; steal by J. Redick)
1:44.0,J. Redick makes 2-pt shot from 1 ft (assist by J. Embiid),2,112-104,,
1:44.0,,,112-104,,LA Lakers full timeout
1:40.0,,,112-106,2,J. Randle makes 2-pt shot at rim (assist by K. Kuzma)
1:27.0,B. Simmons misses 2-pt shot from 1 ft,,112-106,,
1:26.0,,,112-106,,Defensive rebound by K. Caldwell-Pope
1:09.0,,,112-106,,J. Clarkson misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by D. Saric,,112-106,,
0:50.0,J. Redick misses 3-pt shot from 25 ft (block by B. Ingram),,112-106,,
0:47.0,,,112-106,,Defensive rebound by J. Clarkson
0:46.0,,,112-108,2,B. Ingram makes 2-pt shot at rim (assist by J. Clarkson)
0:46.0,Philadelphia full timeout,,112-108,,
0:37.0,J. Embiid makes 2-pt shot from 1 ft (assist by J. Redick),2,114-108,,
0:26.0,,,114-108,,Shooting foul by D. Saric (drawn by K. Kuzma)
0:26.0,,,114-108,,K. Kuzma misses free throw 1 of 2
0:26.0,,,114-108,,Offensive rebound by Team
0:26.0,,,114-109,1,K. Kuzma makes free throw 2 of 2
0:24.0,,,114-109,,Personal take foul by J. Randle (drawn by J. Redick)
0:24.0,,,114-109,,B. Lopez enters the game for J. Randle
0:24.0,J. Redick misses free throw 1 of 2,,114-109,,
0:24.0,Offensive rebound by Team,,114-109,,
0:24.0,J. Redick makes free throw 2 of 2,1,115-109,,
0:15.0,,,115-109,,K. Caldwell-Pope misses 3-pt shot from 25 ft
0:12.0,Defensive rebound by J. Embiid,,115-109,,
