time,Boston,pts.away,score,pts.home,San Antonio
1:52.0,K. Irving makes 3-pt shot from 27 ft,3,102-100,,
1:32.0,,,102-102,2,L. Aldridge makes 2-pt shot from 4 ft
1:21.0,K. Irving misses 3-pt shot from 26 ft,,102-102,,
1:21.0,,,102-102,,Defensive rebound by L. Aldridge
1:01.0,,,102-102,,Turnover by L. Aldridge (lost ball; steal by J. Tatum)
0:42.0,K. Irving misses 3-pt shot from 25 ft,,102-102,,
0:40.0,,,102-102,,Defensive rebound by R. Gay
0:29.0,,,102-102,,R. Gay misses 3-pt shot from 25 ft
0:25.0,,,102-102,,Offensive rebound by M. Ginobili
0:05.0,,,102-105,3,M. Ginobili makes 3-pt shot from 24 ft
0:05.0,Boston full timeout,,102-105,,
0:05.0,Boston full timeout,,102-105,,
0:03.0,K. Irving misses 3-pt shot from 24 ft,,102-105,,
0:00.0,,,102-105,,Defensive rebound by P. Mills
