time,Boston,pts.away,score,pts.home,Minnesota
5:28.0,K. Irving makes 2-pt shot from 17 ft (assist by A. Horford),2,99-90,,
5:06.0,,,99-92,2,N. Bjelica makes 2-pt shot from 2 ft
4:48.0,A. Horford makes 3-pt shot from 25 ft (assist by K. Irving),3,102-92,,
4:31.0,,,102-92,,J. Teague misses 2-pt shot from 6 ft
4:29.0,Defensive rebound by A. Horford,,102-92,,
4:22.0,K. Irving makes 2-pt shot from 8 ft,2,104-92,,
4:17.0,,,104-92,,Minnesota full timeout
4:05.0,,,104-95,3,N. Bjelica makes 3-pt shot from 24 ft (assist by J. Teague)
3:47.0,T. Rozier makes 3-pt shot from 25 ft (assist by M. Morris),3,107-95,,
3:30.0,,,107-97,2,N. Bjelica makes 2-pt shot from 6 ft (assist by J. Crawford)
3:13.0,T. Rozier misses 3-pt shot from 23 ft,,107-97,,
3:11.0,,,107-97,,Defensive rebound by N. Bjelica
3:04.0,,,107-97,,N. Bjelica misses 3-pt shot from 32 ft
3:02.0,,,107-97,,Offensive rebound by A. Wiggins
2:54.0,,,107-97,,J. Crawford misses 2-pt shot from 15 ft
2:52.0,Defensive rebound by T. Rozier,,107-97,,
2:39.0,A. Horford makes 2-pt shot at rim,2,109-97,,
