time,Charlotte,pts.away,score,pts.home,Minnesota
3:39.0,,,90-109,,Defensive rebound by K. Towns
3:25.0,,,90-109,,Turnover by J. Butler (bad pass; steal by T. Graham)
3:21.0,T. Graham misses 2-pt shot at rim (block by A. Wiggins),,90-109,,
3:20.0,,,90-109,,Defensive rebound by Team
3:20.0,Loose ball foul by C. Zeller (drawn by K. Towns),,90-109,,
3:20.0,,,90-109,,G. Dieng enters the game for K. Towns
3:20.0,,,90-109,,T. Jones enters the game for J. Teague
3:09.0,,,90-109,,T. Jones misses 2-pt shot from 14 ft
3:05.0,,,90-109,,Offensive rebound by G. Dieng
2:58.0,,,90-109,,A. Wiggins misses 3-pt shot from 27 ft
2:56.0,Defensive rebound by M. Carter-Williams,,90-109,,
2:45.0,,,90-109,,Personal foul by T. Gibson (drawn by C. Zeller)
2:45.0,C. Zeller misses free throw 1 of 2,,90-109,,
2:45.0,Offensive rebound by Team,,90-109,,
2:45.0,,,90-109,,N. Bjelica enters the game for J. Butler
2:45.0,,,90-109,,J. Crawford enters the game for T. Gibson
2:45.0,C. Zeller misses free throw 2 of 2,,90-109,,
2:42.0,,,90-109,,Defensive rebound by G. Dieng
2:40.0,,,90-109,,Shooting foul by M. Carter-Williams (drawn by A. Wiggins)
2:40.0,,,90-109,,A. Wiggins misses free throw 1 of 2
2:40.0,,,90-109,,Offensive rebound by Team
2:40.0,,,90-110,1,A. Wiggins makes free throw 2 of 2
2:18.0,M. Carter-Williams misses 2-pt shot from 3 ft,,90-110,,
2:16.0,,,90-110,,Defensive rebound by G. Dieng
2:10.0,,,90-110,,T. Jones misses 3-pt shot from 23 ft
2:06.0,,,90-110,,Offensive rebound by G. Dieng
2:05.0,,,90-110,,J. Crawford misses 3-pt shot from 25 ft
2:05.0,Defensive rebound by M. Monk,,90-110,,
1:55.0,J. O'Bryant misses 3-pt shot from 25 ft,,90-110,,
1:52.0,,,90-110,,Defensive rebound by J. Crawford
1:30.0,,,90-110,,J. Crawford misses 2-pt shot from 21 ft
1:30.0,Defensive rebound by J. O'Bryant,,90-110,,
1:21.0,M. Carter-Williams misses 2-pt shot from 1 ft,,90-110,,
1:21.0,Offensive rebound by C. Zeller,,90-110,,
1:20.0,C. Zeller misses 2-pt shot at rim,,90-110,,
1:19.0,C. Zeller makes 2-pt shot at rim,2,92-110,,
1:13.0,Offensive rebound by C. Zeller,,92-110,,
1:03.0,,,92-110,,N. Bjelica misses 2-pt shot from 7 ft
1:03.0,Defensive rebound by C. Zeller,,92-110,,
0:54.0,J. O'Bryant misses 2-pt shot from 17 ft,,92-110,,
0:54.0,Offensive rebound by C. Zeller,,92-110,,
0:43.0,T. Graham misses 3-pt shot from 23 ft,,92-110,,
0:43.0,,,92-110,,Defensive rebound by Team
0:41.0,,,92-110,,M. Georges-Hunt enters the game for T. Jones
0:41.0,,,92-110,,A. Brooks enters the game for G. Dieng
0:41.0,,,92-110,,C. Aldrich enters the game for A. Wiggins
0:29.0,,,92-110,,M. Georges-Hunt misses 3-pt shot from 22 ft
0:28.0,Defensive rebound by Team,,92-110,,
0:28.0,,,92-110,,Loose ball foul by C. Aldrich (drawn by C. Zeller)
0:28.0,C. Zeller makes free throw 1 of 2,1,93-110,,
0:28.0,C. Zeller makes free throw 2 of 2,1,94-110,,
0:17.0,,,94-112,2,A. Brooks makes 2-pt shot from 8 ft
0:09.0,J. O'Bryant misses 3-pt shot from 25 ft,,94-112,,
0:05.0,,,94-112,,Defensive rebound by A. Brooks
