time,Atlanta,pts.away,score,pts.home,Golden State
4:17.0,Offensive rebound by Team,,86-92,,
4:17.0,,,86-92,,Loose ball foul by Q. Cook (drawn by D. Dedmon)
4:17.0,,,86-92,,K. Looney enters the game for D. West
4:17.0,M. Muscala enters the game for J. Collins,,86-92,,
4:17.0,,,86-92,,A. Iguodala enters the game for P. McCaw
4:05.0,D. Schroder misses 2-pt shot from 10 ft (block by K. Looney),,86-92,,
4:02.0,,,86-92,,Defensive rebound by J. Bell
3:36.0,,,86-95,3,A. Iguodala makes 3-pt shot from 26 ft (assist by K. Looney)
3:26.0,T. Waller-Prince misses 3-pt shot from 25 ft,,86-95,,
3:21.0,,,86-95,,Defensive rebound by Q. Cook
3:13.0,,,86-95,,Golden State full timeout
3:13.0,D. Lee enters the game for T. Dorsey,,86-95,,
3:10.0,Violation by T. Waller-Prince (kicked ball),,86-95,,
2:59.0,,,86-95,,K. Looney misses 2-pt shot from 10 ft
2:52.0,,,86-95,,Offensive rebound by K. Looney
2:50.0,,,86-98,3,N. Young makes 3-pt shot from 23 ft (assist by K. Looney)
2:42.0,D. Dedmon makes 2-pt shot from 1 ft (assist by D. Schroder),2,88-98,,
2:26.0,,,88-101,3,N. Young makes 3-pt shot from 24 ft (assist by A. Iguodala)
2:07.0,D. Dedmon misses 2-pt shot from 18 ft,,88-101,,
2:04.0,,,88-101,,Defensive rebound by Q. Cook
1:46.0,,,88-101,,A. Iguodala misses 3-pt shot from 26 ft
1:41.0,Defensive rebound by M. Muscala,,88-101,,
1:37.0,Turnover by D. Schroder (bad pass),,88-101,,
1:37.0,,,88-101,,P. McCaw enters the game for A. Iguodala
1:37.0,J. Collins enters the game for T. Waller-Prince,,88-101,,
1:37.0,T. Dorsey enters the game for D. Dedmon,,88-101,,
1:37.0,A. White enters the game for D. Schroder,,88-101,,
1:37.0,I. Taylor enters the game for D. Lee,,88-101,,
1:23.0,Personal foul by T. Dorsey (drawn by N. Young),,88-101,,
1:18.0,,,88-101,,N. Young misses 3-pt shot from 27 ft
1:12.0,Defensive rebound by J. Collins,,88-101,,
1:06.0,T. Dorsey makes 3-pt shot from 26 ft (assist by I. Taylor),3,91-101,,
0:48.0,,,91-103,2,N. Young makes 2-pt shot from 4 ft (assist by J. Bell)
0:39.0,T. Dorsey makes 3-pt shot from 26 ft (assist by I. Taylor),3,94-103,,
0:23.0,,,94-106,3,N. Young makes 3-pt shot from 26 ft (assist by J. Bell)
