time,Denver,pts.away,score,pts.home,Milwaukee
5:21.0,,,124-110,2,G. Antetokounmpo makes 2-pt shot at rim
5:08.0,J. Murray makes 2-pt shot from 1 ft,2,126-110,,
5:08.0,Technical foul by J. Murray,,126-110,,
5:08.0,,,126-111,1,K. Middleton makes technical free throw
4:58.0,,,126-113,2,G. Antetokounmpo makes 2-pt shot from 1 ft
4:58.0,Denver full timeout,,126-113,,
4:48.0,G. Harris misses 2-pt shot from 5 ft,,126-113,,
4:45.0,Offensive rebound by N. Jokic,,126-113,,
4:37.0,Offensive charge foul by G. Harris (drawn by K. Middleton),,126-113,,
4:37.0,Turnover by G. Harris (offensive foul),,126-113,,
4:29.0,Personal block foul by N. Jokic (drawn by G. Antetokounmpo),,126-113,,
4:22.0,,,126-113,,Turnover by G. Antetokounmpo (lost ball; steal by J. Murray)
4:20.0,Personal foul by G. Harris (drawn by T. Zeller),,126-113,,
4:20.0,Turnover by G. Harris (turnover),,126-113,,
4:12.0,Personal foul by G. Harris (drawn by G. Antetokounmpo),,126-113,,
4:12.0,,,126-113,,G. Antetokounmpo misses free throw 1 of 2
4:12.0,,,126-113,,Offensive rebound by Team
4:12.0,,,126-113,,G. Antetokounmpo misses free throw 2 of 2
4:08.0,Defensive rebound by N. Jokic,,126-113,,
3:47.0,G. Harris misses 3-pt shot from 27 ft,,126-113,,
3:43.0,Offensive rebound by J. Murray,,126-113,,
3:31.0,J. Murray misses 3-pt shot from 25 ft,,126-113,,
3:26.0,,,126-113,,Defensive rebound by G. Antetokounmpo
3:21.0,,,126-113,,E. Bledsoe misses 3-pt shot from 23 ft
3:18.0,Defensive rebound by N. Jokic,,126-113,,
3:08.0,W. Barton makes 3-pt shot from 26 ft (assist by N. Jokic),3,129-113,,
3:08.0,Shooting foul by K. Middleton (drawn by W. Barton),,129-113,,
3:08.0,W. Barton makes free throw 1 of 1,1,130-113,,
3:02.0,,,130-116,3,T. Snell makes 3-pt shot from 23 ft (assist by E. Bledsoe)
2:44.0,Shooting foul by T. Zeller (drawn by N. Jokic),,130-116,,
2:44.0,N. Jokic makes free throw 1 of 2,1,131-116,,
2:44.0,N. Jokic makes free throw 2 of 2,1,132-116,,
2:36.0,,,132-116,,G. Antetokounmpo misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by Team,,132-116,,
2:19.0,Turnover by J. Murray (bad pass),,132-116,,
2:12.0,,,132-116,,T. Snell misses 3-pt shot from 26 ft
2:09.0,,,132-116,,Offensive rebound by G. Antetokounmpo
2:05.0,,,132-118,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
1:44.0,Turnover by N. Jokic (bad pass; steal by K. Middleton),,132-118,,
1:40.0,,,132-120,2,E. Bledsoe makes 2-pt shot at rim (assist by G. Antetokounmpo)
1:40.0,Denver full timeout,,132-120,,
1:23.0,Turnover by N. Jokic (bad pass),,132-120,,
1:14.0,,,132-123,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
0:52.0,G. Harris misses 2-pt shot from 21 ft,,132-123,,
0:49.0,,,132-123,,Defensive rebound by G. Antetokounmpo
0:44.0,,,132-123,,K. Middleton misses 3-pt shot from 26 ft
0:41.0,Defensive rebound by J. Murray,,132-123,,
0:36.0,,,132-123,,Personal foul by G. Antetokounmpo (drawn by W. Barton)
0:36.0,W. Barton makes free throw 1 of 2,1,133-123,,
0:36.0,,,133-123,,S. Kilpatrick enters the game for E. Bledsoe
0:36.0,,,133-123,,X. Munford enters the game for T. Snell
0:36.0,,,133-123,,D. Wilson enters the game for K. Middleton
0:36.0,,,133-123,,M. Plumlee enters the game for G. Antetokounmpo
0:36.0,,,133-123,,S. Brown enters the game for T. Zeller
0:36.0,M. Beasley enters the game for N. Jokic,,133-123,,
0:36.0,W. Barton makes free throw 2 of 2,1,134-123,,
0:21.0,,,134-123,,Turnover by S. Kilpatrick (bad pass; steal by J. Murray)
