time,Atlanta,pts.away,score,pts.home,Utah
6:05.0,T. Waller-Prince misses 3-pt shot from 25 ft,,77-81,,
6:01.0,,,77-81,,Defensive rebound by D. Mitchell
5:49.0,,,77-81,,Turnover by D. Mitchell (bad pass; steal by D. Dedmon)
5:40.0,T. Waller-Prince makes 2-pt shot from 6 ft,2,79-81,,
5:40.0,Shooting foul by R. Gobert (drawn by T. Waller-Prince),,79-81,,
5:40.0,,,79-81,,J. Ingles enters the game for D. Exum
5:40.0,T. Waller-Prince makes free throw 1 of 1,1,80-81,,
5:21.0,,,80-83,2,D. Mitchell makes 2-pt shot from 9 ft
5:09.0,D. Schroder misses 2-pt shot from 15 ft,,80-83,,
5:06.0,Offensive rebound by D. Dedmon,,80-83,,
5:06.0,D. Dedmon misses 2-pt shot at rim,,80-83,,
5:02.0,Offensive rebound by D. Dedmon,,80-83,,
5:02.0,D. Dedmon makes 2-pt shot at rim,2,82-83,,
4:59.0,,,82-83,,Utah full timeout
4:59.0,,,82-83,,E. Udoh enters the game for R. Gobert
4:56.0,,,82-83,,D. Mitchell misses 3-pt shot from 23 ft
4:54.0,Defensive rebound by T. Waller-Prince,,82-83,,
4:47.0,D. Dedmon makes 2-pt shot from 1 ft (assist by D. Schroder),2,84-83,,
4:24.0,,,84-83,,R. Rubio misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by Team,,84-83,,
4:22.0,,,84-83,,R. Gobert enters the game for E. Udoh
4:06.0,T. Waller-Prince misses 2-pt shot from 16 ft,,84-83,,
4:03.0,,,84-83,,Defensive rebound by J. Ingles
3:53.0,,,84-83,,J. Crowder misses 3-pt shot from 23 ft
3:48.0,Defensive rebound by D. Dedmon,,84-83,,
3:43.0,D. Schroder makes 3-pt shot from 24 ft (assist by D. Dedmon),3,87-83,,
3:31.0,Personal foul by T. Waller-Prince (drawn by J. Ingles),,87-83,,
3:31.0,,,87-84,1,J. Ingles makes free throw 1 of 2
3:31.0,Atlanta full timeout,,87-84,,
3:31.0,M. Muscala enters the game for I. Taylor,,87-84,,
3:31.0,,,87-84,,J. Ingles misses free throw 2 of 2
3:29.0,,,87-84,,Offensive rebound by R. Gobert
3:24.0,,,87-86,2,R. Gobert makes 2-pt shot from 3 ft (assist by R. Rubio)
3:08.0,D. Schroder misses 3-pt shot from 24 ft,,87-86,,
3:04.0,Offensive rebound by D. Schroder,,87-86,,
3:02.0,Atlanta full timeout,,87-86,,
2:49.0,D. Schroder makes 2-pt shot from 2 ft (assist by D. Dedmon),2,89-86,,
2:33.0,,,89-88,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
2:10.0,D. Schroder makes 2-pt shot from 2 ft,2,91-88,,
2:07.0,Technical foul by D. Schroder (drawn by R. Rubio),,91-88,,
2:07.0,,,91-89,1,R. Rubio makes flagrant free throw 1 of 2
2:07.0,,,91-90,1,R. Rubio makes flagrant free throw 2 of 2
2:00.0,,,91-90,,Shooting foul by D. Dedmon (drawn by J. Ingles)
2:00.0,,,91-91,1,J. Ingles makes free throw 1 of 2
2:00.0,,,91-92,1,J. Ingles makes free throw 2 of 2
1:45.0,Shooting foul by R. Rubio (drawn by D. Lee),,91-92,,
1:45.0,D. Lee misses free throw 1 of 2,,91-92,,
1:45.0,Offensive rebound by Team,,91-92,,
1:45.0,D. Lee makes free throw 2 of 2,1,92-92,,
1:29.0,,,92-92,,D. Mitchell misses 2-pt shot from 14 ft
1:26.0,Defensive rebound by D. Lee,,92-92,,
1:13.0,D. Dedmon misses 2-pt shot from 7 ft,,92-92,,
1:11.0,,,92-92,,Defensive rebound by R. Gobert
0:57.0,,,92-92,,Offensive charge foul by D. Mitchell (drawn by M. Muscala)
0:57.0,,,92-92,,Turnover by D. Mitchell (offensive foul)
0:37.0,D. Schroder makes 2-pt shot from 9 ft,2,94-92,,
0:36.0,,,94-92,,Utah full timeout
0:31.0,,,94-92,,D. Mitchell misses 2-pt shot from 9 ft
0:30.0,,,94-92,,Offensive rebound by R. Gobert
0:29.0,,,94-92,,J. Ingles misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by D. Lee,,94-92,,
0:24.0,,,94-92,,Personal foul by J. Crowder (drawn by D. Schroder)
0:24.0,D. Schroder misses free throw 1 of 2,,94-92,,
0:24.0,Offensive rebound by Team,,94-92,,
0:24.0,D. Schroder makes free throw 2 of 2,1,95-92,,
0:15.0,,,95-92,,Shooting foul by D. Dedmon (drawn by D. Mitchell)
0:15.0,,,95-93,1,D. Mitchell makes free throw 1 of 2
0:15.0,,,95-94,1,D. Mitchell makes free throw 2 of 2
0:15.0,Atlanta full timeout,,95-94,,
0:15.0,,,95-94,,R. O'Neale enters the game for R. Gobert
0:11.0,,,95-94,,Personal foul by J. Ingles (drawn by T. Waller-Prince)
0:11.0,T. Waller-Prince makes free throw 1 of 2,1,96-94,,
0:11.0,,,96-94,,E. Udoh enters the game for R. Rubio
0:11.0,,,96-94,,R. Gobert enters the game for R. O'Neale
0:11.0,T. Waller-Prince makes free throw 2 of 2,1,97-94,,
0:11.0,,,97-94,,Utah full timeout
0:11.0,,,97-94,,R. Rubio enters the game for E. Udoh
0:09.0,,,97-94,,J. Ingles misses 3-pt shot from 23 ft
0:05.0,Defensive rebound by T. Waller-Prince,,97-94,,
0:05.0,,,97-94,,Personal foul by J. Ingles (drawn by T. Waller-Prince)
0:05.0,T. Waller-Prince makes free throw 1 of 2,1,98-94,,
0:05.0,T. Waller-Prince makes free throw 2 of 2,1,99-94,,
0:01.0,,,99-94,,D. Mitchell misses 3-pt shot from 25 ft
0:01.0,,,99-94,,Offensive rebound by D. Mitchell
