time,Orlando,pts.away,score,pts.home,LA Lakers
2:33.0,M. Hezonja misses 3-pt shot from 25 ft,,95-104,,
2:32.0,Offensive rebound by J. Simmons,,95-104,,
2:32.0,Shooting foul by K. Caldwell-Pope (drawn by J. Simmons),,95-104,,
2:32.0,J. Simmons makes free throw 1 of 2,1,96-104,,
2:32.0,J. Isaac enters the game for M. Hezonja,,96-104,,
2:32.0,J. Simmons makes free throw 2 of 2,1,97-104,,
2:18.0,,,97-106,2,B. Lopez makes 2-pt shot from 3 ft (assist by I. Thomas)
2:00.0,N. Vucevic makes 2-pt shot from 12 ft (assist by J. Isaac),2,99-106,,
1:43.0,,,99-106,,I. Thomas misses 2-pt shot from 3 ft
1:40.0,,,99-106,,Offensive rebound by I. Thomas
1:37.0,,,99-106,,L. Ball misses 3-pt shot from 25 ft
1:34.0,Defensive rebound by N. Vucevic,,99-106,,
1:24.0,A. Gordon makes 3-pt shot from 26 ft (assist by J. Simmons),2,102-106,,
1:21.0,,,102-106,,LA Lakers full timeout
1:07.0,,,102-106,,I. Thomas misses 3-pt shot from 26 ft
1:05.0,Defensive rebound by J. Simmons,,102-106,,
0:59.0,J. Simmons makes 2-pt shot at rim,2,104-106,,
0:43.0,,,104-106,,K. Caldwell-Pope misses 3-pt shot from 23 ft
0:38.0,Defensive rebound by S. Mack,,104-106,,
0:33.0,Shooting foul by L. Ball (drawn by J. Simmons),,104-106,,
0:33.0,J. Simmons misses free throw 1 of 2,,104-106,,
0:33.0,Offensive rebound by Team,,104-106,,
0:33.0,J. Simmons makes free throw 2 of 2,1,105-106,,
0:12.0,,,105-106,,L. Ball misses 3-pt shot from 29 ft
0:08.0,Defensive rebound by A. Gordon,,105-106,,
0:05.0,A. Gordon makes 2-pt shot from 1 ft,2,107-106,,
0:05.0,,,107-106,,LA Lakers full timeout
0:00.0,,,107-106,,Shooting foul by N. Vucevic (drawn by B. Lopez)
0:00.0,,,107-107,1,B. Lopez makes free throw 1 of 2
0:00.0,,,107-107,,J. Randle enters the game for I. Thomas
0:00.0,,,107-108,1,B. Lopez makes free throw 2 of 2
0:00.0,Orlando full timeout,,107-108,,
0:00.0,M. Hezonja enters the game for J. Isaac,,107-108,,
0:00.0,D. Augustin enters the game for S. Mack,,107-108,,
0:00.0,Jump ball: B. Lopez vs. N. Vucevic,,,,Jump ball: B. Lopez vs. N. Vucevic
