time,Houston,pts.away,score,pts.home,Atlanta
5:08.0,B. Brown enters the game for T. Ariza,,114-89,,
5:08.0,Z. Qi makes free throw 2 of 2,1,115-89,,
4:52.0,,,115-91,2,T. Dorsey makes 2-pt shot from 2 ft
4:39.0,C. Capela makes 2-pt shot from 3 ft (assist by E. Gordon),2,117-91,,
4:26.0,,,117-94,3,T. Dorsey makes 3-pt shot from 25 ft (assist by J. Collins)
4:10.0,L. Mbah a Moute misses 3-pt shot from 22 ft,,117-94,,
4:07.0,,,117-94,,Defensive rebound by J. Collins
3:57.0,,,117-96,2,I. Taylor makes 2-pt shot from 7 ft
3:57.0,Houston full timeout,,117-96,,
3:57.0,D. Jackson enters the game for E. Gordon,,117-96,,
3:57.0,T. Black enters the game for C. Capela,,117-96,,
3:41.0,T. Black misses 3-pt shot from 26 ft,,117-96,,
3:39.0,,,117-96,,Defensive rebound by L. Babbitt
3:24.0,,,117-96,,N. Brussino misses 3-pt shot from 25 ft
3:21.0,Defensive rebound by Team,,117-96,,
3:00.0,B. Brown misses 3-pt shot from 25 ft (block by I. Taylor),,117-96,,
2:57.0,,,117-96,,Defensive rebound by J. Collins
2:49.0,,,117-99,3,L. Babbitt makes 3-pt shot from 24 ft (assist by I. Taylor)
2:23.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by T. Black),2,119-99,,
2:09.0,,,119-99,,J. Collins misses 2-pt shot from 1 ft
2:08.0,,,119-99,,Offensive rebound by J. Collins
1:56.0,,,119-99,,Turnover by T. Dorsey (bad pass; steal by L. Mbah a Moute)
1:38.0,Turnover by D. Jackson (traveling),,119-99,,
1:23.0,,,119-101,2,I. Taylor makes 2-pt shot from 4 ft
1:07.0,B. Brown misses 3-pt shot from 26 ft,,119-101,,
1:04.0,,,119-101,,Defensive rebound by N. Brussino
0:49.0,,,119-104,3,T. Dorsey makes 3-pt shot from 24 ft
0:37.0,Z. Qi misses 2-pt shot from 10 ft,,119-104,,
0:34.0,,,119-104,,Defensive rebound by J. Collins
0:25.0,,,119-104,,Turnover by T. Dorsey (bad pass; steal by D. Jackson)
0:23.0,Turnover by D. Jackson (bad pass; steal by I. Taylor),,119-104,,
0:10.0,,,119-104,,I. Taylor misses 3-pt shot from 25 ft
0:08.0,,,119-104,,Offensive rebound by Team
0:08.0,Loose ball foul by Z. Qi (drawn by J. Collins),,119-104,,
0:02.0,,,119-104,,T. Dorsey misses 2-pt shot from 20 ft
0:02.0,,,119-104,,Offensive rebound by Team
