time,Boston,pts.away,score,pts.home,New Orleans
3:49.0,A. Nader makes 3-pt shot from 25 ft (assist by A. Baynes),3,85-103,,
3:35.0,,,85-105,2,A. Davis makes 2-pt shot from 13 ft
3:35.0,,,85-105,,Shooting foul by A. Nader (drawn by A. Davis)
3:35.0,K. Allen enters the game for S. Larkin,,85-105,,
3:35.0,S. Ojeleye enters the game for M. Morris,,85-105,,
3:35.0,,,85-106,1,A. Davis makes free throw 1 of 1
3:24.0,G. Yabusele misses 2-pt shot from 20 ft,,85-106,,
3:20.0,,,85-106,,Defensive rebound by A. Davis
3:15.0,,,85-106,,New Orleans full timeout
3:15.0,,,85-106,,C. Cooke enters the game for I. Clark
3:15.0,,,85-106,,E. Okafor enters the game for J. Holiday
3:15.0,,,85-106,,L. Drew enters the game for A. Davis
3:15.0,,,85-106,,D. Liggins enters the game for E. Moore
3:15.0,J. Bird enters the game for A. Baynes,,85-106,,
2:58.0,,,85-106,,Turnover by Team (shot clock)
2:34.0,Turnover by Team (shot clock),,85-106,,
2:12.0,,,85-108,2,E. Okafor makes 2-pt shot from 12 ft (assist by L. Drew)
2:04.0,Shooting foul by E. Okafor (drawn by A. Nader),,85-108,,
2:04.0,A. Nader misses free throw 1 of 2,,85-108,,
2:04.0,Offensive rebound by Team,,85-108,,
2:04.0,A. Nader makes free throw 2 of 2,1,86-108,,
1:54.0,,,86-108,,D. Liggins misses 2-pt shot from 3 ft (block by G. Yabusele)
1:51.0,Defensive rebound by A. Nader,,86-108,,
1:49.0,,,86-108,,Personal foul by L. Drew (drawn by A. Nader)
1:49.0,A. Nader makes free throw 1 of 2,1,87-108,,
1:49.0,A. Nader misses free throw 2 of 2,,87-108,,
1:46.0,,,87-108,,Defensive rebound by C. Diallo
1:39.0,,,87-108,,L. Drew misses 2-pt shot from 13 ft
1:37.0,Defensive rebound by G. Yabusele,,87-108,,
1:28.0,Turnover by G. Yabusele (bad pass),,87-108,,
1:16.0,,,87-108,,L. Drew misses 2-pt shot from 7 ft
1:13.0,Defensive rebound by G. Yabusele,,87-108,,
1:02.0,A. Nader misses 2-pt shot from 7 ft,,87-108,,
0:58.0,Offensive rebound by J. Bird,,87-108,,
0:58.0,Turnover by J. Bird (bad pass),,87-108,,
0:38.0,,,87-108,,L. Drew misses 2-pt shot from 21 ft
0:34.0,Defensive rebound by K. Allen,,87-108,,
0:29.0,G. Yabusele makes 2-pt shot from 1 ft (assist by K. Allen),2,89-108,,
0:05.0,,,89-108,,Turnover by Team (shot clock)
