time,Cleveland,pts.away,score,pts.home,Utah
2:06.0,K. Love misses 3-pt shot from 23 ft,,92-96,,
2:02.0,Offensive rebound by D. Wade,,92-96,,
1:59.0,D. Wade misses 3-pt shot from 23 ft,,92-96,,
1:55.0,Offensive rebound by K. Love,,92-96,,
1:55.0,Shooting foul by R. Hood (drawn by K. Love),,92-96,,
1:55.0,K. Love makes free throw 1 of 2,1,93-96,,
1:55.0,K. Love makes free throw 2 of 2,1,94-96,,
1:46.0,Personal foul by K. Love (drawn by D. Mitchell),,94-96,,
1:46.0,,,94-97,1,D. Mitchell makes free throw 1 of 2
1:46.0,,,94-98,1,D. Mitchell makes free throw 2 of 2
1:35.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,97-98,,
1:15.0,,,97-98,,D. Mitchell misses 3-pt shot from 24 ft
1:11.0,Defensive rebound by D. Wade,,97-98,,
0:52.0,D. Wade misses 3-pt shot from 24 ft,,97-98,,
0:49.0,,,97-98,,Defensive rebound by T. Sefolosha
0:35.0,,,97-100,2,D. Mitchell makes 2-pt shot from 1 ft
0:35.0,Cleveland full timeout,,97-100,,
0:29.0,L. James misses 2-pt shot from 5 ft,,97-100,,
0:24.0,,,97-100,,Defensive rebound by T. Sefolosha
0:24.0,Personal foul by J. Smith (drawn by T. Sefolosha),,97-100,,
0:24.0,,,97-101,1,T. Sefolosha makes free throw 1 of 2
0:24.0,K. Korver enters the game for J. Green,,97-101,,
0:24.0,,,97-102,1,T. Sefolosha makes free throw 2 of 2
0:19.0,L. James makes 2-pt shot from 1 ft,2,99-102,,
0:19.0,,,99-102,,Utah full timeout
0:19.0,J. Green enters the game for K. Korver,,99-102,,
0:09.0,,,99-102,,Shooting foul by K. Love (drawn by D. Favors)
0:09.0,,,99-103,1,D. Favors makes free throw 1 of 2
0:09.0,,,99-104,1,D. Favors makes free throw 2 of 2
0:09.0,Cleveland full timeout,,99-104,,
0:01.0,L. James misses 3-pt shot from 25 ft,,99-104,,
0:01.0,Offensive rebound by K. Love,,99-104,,
0:00.0,K. Love makes 2-pt shot at rim,2,101-104,,
