time,Washington,pts.away,score,pts.home,Orlando
4:34.0,B. Beal makes 2-pt shot from 2 ft,2,84-86,,
4:29.0,Personal take foul by M. Scott (drawn by M. Hezonja),,84-86,,
4:29.0,J. Meeks enters the game for M. Scott,,84-86,,
4:22.0,,,84-86,,Shooting foul by J. Meeks (drawn by K. Birch)
4:22.0,,,84-86,,K. Birch misses free throw 1 of 2
4:22.0,,,84-86,,Offensive rebound by Team
4:22.0,,,84-87,1,K. Birch makes free throw 2 of 2
4:06.0,T. Satoransky misses 2-pt shot from 1 ft,,84-87,,
4:02.0,,,84-87,,Defensive rebound by J. Artis
3:49.0,,,84-87,,Turnover by R. Purvis (bad pass)
3:32.0,B. Beal misses 2-pt shot from 2 ft,,84-87,,
3:32.0,Offensive rebound by M. Morris,,84-87,,
3:32.0,Turnover by M. Morris (traveling),,84-87,,
3:17.0,,,84-87,,Offensive charge foul by K. Birch (drawn by M. Morris)
3:17.0,,,84-87,,Turnover by K. Birch (offensive foul)
3:01.0,M. Morris misses 2-pt shot from 2 ft (block by W. Iwundu),,84-87,,
2:57.0,,,84-87,,Defensive rebound by J. Artis
2:56.0,,,84-87,,Shooting foul by B. Beal (drawn by M. Hezonja)
2:56.0,,,84-88,1,M. Hezonja makes free throw 1 of 2
2:56.0,,,84-89,1,M. Hezonja makes free throw 2 of 2
2:35.0,J. Meeks misses 3-pt shot from 22 ft,,84-89,,
2:29.0,,,84-89,,Defensive rebound by M. Hezonja
2:29.0,,,84-89,,Shooting foul by M. Morris (drawn by K. Birch)
2:29.0,,,84-89,,K. Birch misses free throw 1 of 2
2:29.0,,,84-89,,Offensive rebound by Team
2:29.0,,,84-90,1,K. Birch makes free throw 2 of 2
2:19.0,Turnover by T. Satoransky (bad pass),,84-90,,
2:10.0,Personal foul by K. Oubre (drawn by M. Hezonja),,84-90,,
2:10.0,,,84-91,1,M. Hezonja makes free throw 1 of 2
2:10.0,,,84-92,1,M. Hezonja makes free throw 2 of 2
2:01.0,K. Oubre misses 3-pt shot from 25 ft,,84-92,,
1:57.0,,,84-92,,Defensive rebound by K. Birch
1:41.0,,,84-92,,R. Purvis misses 3-pt shot from 25 ft
1:41.0,,,84-92,,Offensive rebound by Team
1:24.0,,,84-94,2,K. Birch makes 2-pt shot from 15 ft (assist by W. Iwundu)
1:24.0,Washington full timeout,,84-94,,
1:24.0,M. Gortat enters the game for K. Oubre,,84-94,,
1:21.0,B. Beal misses 3-pt shot from 25 ft,,84-94,,
1:21.0,Offensive rebound by M. Gortat,,84-94,,
1:15.0,Shooting foul by W. Iwundu (drawn by M. Gortat),,84-94,,
1:15.0,,,84-94,,A. Afflalo enters the game for W. Iwundu
1:15.0,M. Gortat makes free throw 1 of 2,1,85-94,,
1:15.0,M. Gortat makes free throw 2 of 2,1,86-94,,
1:09.0,,,86-96,2,R. Purvis makes 2-pt shot at rim (assist by M. Hezonja)
1:02.0,M. Morris makes 3-pt shot from 23 ft (assist by T. Satoransky),3,89-96,,
1:01.0,Personal take foul by J. Meeks (drawn by R. Purvis),,89-96,,
1:01.0,,,89-97,1,R. Purvis makes free throw 1 of 2
1:01.0,,,89-98,1,R. Purvis makes free throw 2 of 2
0:53.0,B. Beal misses 3-pt shot from 25 ft,,89-98,,
0:51.0,,,89-98,,Defensive rebound by Team
0:47.0,Personal foul by B. Beal (drawn by J. Artis),,89-98,,
0:47.0,,,89-98,,J. Artis misses free throw 1 of 2
0:47.0,,,89-98,,Offensive rebound by Team
0:47.0,K. Oubre enters the game for B. Beal,,89-98,,
0:47.0,D. Robinson enters the game for M. Morris,,89-98,,
0:47.0,,,89-99,1,J. Artis makes free throw 2 of 2
0:38.0,J. Meeks misses 3-pt shot from 25 ft,,89-99,,
0:35.0,Offensive rebound by M. Gortat,,89-99,,
0:35.0,J. Meeks makes 3-pt shot from 26 ft (assist by M. Gortat),3,92-99,,
0:29.0,,,92-99,,Turnover by M. Hezonja (lost ball; steal by D. Robinson)
0:25.0,J. Meeks misses 3-pt shot from 25 ft,,92-99,,
0:22.0,Offensive rebound by T. Satoransky,,92-99,,
0:20.0,K. Oubre misses 3-pt shot from 26 ft,,92-99,,
0:19.0,,,92-99,,Defensive rebound by Team
0:18.0,Personal take foul by J. Meeks (drawn by R. Purvis),,92-99,,
0:18.0,,,92-100,1,R. Purvis makes free throw 1 of 2
0:18.0,T. Frazier enters the game for T. Satoransky,,92-100,,
0:18.0,,,92-101,1,R. Purvis makes free throw 2 of 2
0:10.0,K. Oubre misses 3-pt shot from 26 ft,,92-101,,
0:06.0,,,92-101,,Defensive rebound by J. Artis
