time,Miami,pts.away,score,pts.home,Sacramento
3:34.0,,,102-104,,Offensive rebound by Team
3:34.0,,,102-104,,D. Fox misses free throw 2 of 2
3:31.0,Defensive rebound by J. Johnson,,102-104,,
3:18.0,K. Olynyk makes 3-pt shot from 25 ft (assist by G. Dragic),3,105-104,,
2:58.0,,,105-106,2,B. Hield makes 2-pt shot from 19 ft
2:44.0,Offensive foul by K. Olynyk (drawn by Z. Randolph),,105-106,,
2:44.0,Turnover by K. Olynyk (offensive foul),,105-106,,
2:34.0,,,105-106,,W. Cauley-Stein misses 2-pt shot from 5 ft
2:32.0,Defensive rebound by J. Winslow,,105-106,,
2:28.0,W. Ellington misses 3-pt shot from 26 ft,,105-106,,
2:25.0,Offensive rebound by K. Olynyk,,105-106,,
2:10.0,Shooting foul by Z. Randolph (drawn by G. Dragic),,105-106,,
2:10.0,G. Dragic makes free throw 1 of 2,1,106-106,,
2:10.0,G. Dragic makes free throw 2 of 2,1,107-106,,
1:52.0,,,107-106,,D. Fox misses 3-pt shot from 23 ft
1:45.0,Defensive rebound by J. Johnson,,107-106,,
1:23.0,W. Ellington makes 3-pt shot from 25 ft (assist by K. Olynyk),3,110-106,,
1:10.0,,,110-106,,B. Hield misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by J. Winslow,,110-106,,
0:49.0,Offensive charge foul by J. Johnson (drawn by W. Cauley-Stein),,110-106,,
0:49.0,Turnover by J. Johnson (offensive foul),,110-106,,
0:33.0,,,110-109,3,B. Hield makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
0:28.0,Miami full timeout,,110-109,,
0:28.0,,,110-109,,G. Temple enters the game for Z. Randolph
0:09.0,Turnover by Team (shot clock),,110-109,,
0:09.0,,,110-109,,Sacramento full timeout
0:09.0,,,110-109,,Z. Randolph enters the game for G. Temple
0:09.0,B. Adebayo enters the game for K. Olynyk,,110-109,,
0:04.0,,,110-109,,Z. Randolph misses 2-pt shot from 8 ft
0:04.0,Defensive rebound by Team,,110-109,,
0:04.0,Miami full timeout,,110-109,,
0:04.0,,,110-109,,G. Temple enters the game for Z. Randolph
0:04.0,K. Olynyk enters the game for J. Winslow,,110-109,,
0:04.0,T. Johnson enters the game for B. Adebayo,,110-109,,
0:03.0,,,110-109,,Personal foul by G. Temple (drawn by K. Olynyk)
0:03.0,K. Olynyk misses free throw 1 of 2,,110-109,,
0:03.0,Offensive rebound by Team,,110-109,,
0:03.0,,,110-109,,Z. Randolph enters the game for G. Temple
0:03.0,J. Winslow enters the game for T. Johnson,,110-109,,
0:03.0,K. Olynyk makes free throw 2 of 2,1,111-109,,
0:03.0,,,111-109,,Sacramento full timeout
0:03.0,B. Adebayo enters the game for K. Olynyk,,111-109,,
0:00.0,,,111-111,2,D. Fox makes 2-pt shot from 9 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: W. Cauley-Stein vs. K. Olynyk (W. Ellington gains possession),,,,Jump ball: W. Cauley-Stein vs. K. Olynyk (W. Ellington gains possession)
4:37.0,K. Olynyk misses 3-pt shot from 25 ft,,111-111,,
4:32.0,,,111-111,,Defensive rebound by B. Hield
4:23.0,,,111-111,,Z. Randolph misses 2-pt shot from 11 ft
4:18.0,,,111-111,,Offensive rebound by Z. Randolph
4:18.0,,,111-111,,Z. Randolph misses 2-pt shot at rim
4:18.0,,,111-111,,Offensive rebound by W. Cauley-Stein
4:16.0,,,111-111,,W. Cauley-Stein misses 2-pt shot from 3 ft
4:16.0,,,111-111,,Offensive rebound by B. Hield
4:06.0,,,111-111,,Shooting foul by J. Winslow (drawn by Z. Randolph)
4:06.0,,,111-112,1,Z. Randolph makes free throw 1 of 2
4:06.0,,,111-112,,Z. Randolph misses free throw 2 of 2
4:03.0,Defensive rebound by G. Dragic,,111-112,,
3:49.0,W. Ellington misses 3-pt shot from 25 ft,,111-112,,
3:47.0,,,111-112,,Defensive rebound by Team
3:31.0,,,111-112,,D. Fox misses 2-pt shot from 20 ft
3:27.0,Defensive rebound by W. Ellington,,111-112,,
3:19.0,Turnover by W. Ellington (bad pass; steal by W. Cauley-Stein),,111-112,,
3:03.0,,,111-114,2,Z. Randolph makes 2-pt shot from 16 ft
2:50.0,Shooting foul by Z. Randolph (drawn by K. Olynyk),,111-114,,
2:50.0,K. Olynyk makes free throw 1 of 2,1,112-114,,
2:50.0,K. Olynyk makes free throw 2 of 2,1,113-114,,
2:30.0,,,113-116,2,D. Fox makes 2-pt shot from 7 ft
2:19.0,,,113-116,,Personal foul by B. Bogdanovic (drawn by W. Ellington)
2:08.0,G. Dragic makes 2-pt shot from 9 ft,2,115-116,,
1:47.0,,,115-116,,Turnover by B. Bogdanovic (lost ball; steal by W. Ellington)
1:41.0,G. Dragic misses 3-pt shot from 22 ft,,115-116,,
1:37.0,Offensive rebound by J. Winslow,,115-116,,
1:19.0,J. Winslow misses 2-pt shot from 3 ft (block by Z. Randolph),,115-116,,
1:19.0,,,115-116,,Defensive rebound by Team
1:03.0,,,115-119,3,B. Bogdanovic makes 3-pt shot from 27 ft (assist by D. Fox)
1:03.0,Miami full timeout,,115-119,,
0:59.0,J. Johnson makes 2-pt shot from 1 ft (assist by K. Olynyk),2,117-119,,
0:37.0,,,117-119,,D. Fox misses 2-pt shot from 21 ft
0:33.0,Defensive rebound by K. Olynyk,,117-119,,
0:21.0,G. Dragic misses 2-pt shot from 10 ft,,117-119,,
0:19.0,,,117-119,,Defensive rebound by W. Cauley-Stein
0:19.0,B. Adebayo enters the game for K. Olynyk,,117-119,,
0:19.0,Personal foul by J. Winslow (drawn by B. Hield),,117-119,,
0:19.0,T. Johnson enters the game for G. Dragic,,117-119,,
0:18.0,Personal foul by J. Winslow (drawn by B. Hield),,117-119,,
0:18.0,,,117-120,1,B. Hield makes free throw 1 of 2
0:18.0,K. Olynyk enters the game for T. Johnson,,117-120,,
0:18.0,,,117-121,1,B. Hield makes free throw 2 of 2
0:18.0,Miami full timeout,,117-121,,
0:18.0,,,117-121,,G. Temple enters the game for Z. Randolph
0:18.0,G. Dragic enters the game for B. Adebayo,,117-121,,
0:12.0,Turnover by G. Dragic (step out of bounds),,117-121,,
0:12.0,,,117-121,,Z. Randolph enters the game for G. Temple
0:12.0,B. Adebayo enters the game for K. Olynyk,,117-121,,
0:12.0,T. Johnson enters the game for G. Dragic,,117-121,,
0:09.0,Personal foul by J. Winslow (drawn by B. Hield),,117-121,,
0:09.0,K. Olynyk enters the game for J. Winslow,,117-121,,
0:09.0,,,117-122,1,B. Hield makes free throw 1 of 2
0:09.0,G. Dragic enters the game for B. Adebayo,,117-122,,
0:09.0,,,117-123,1,B. Hield makes free throw 2 of 2
0:06.0,W. Ellington misses 3-pt shot from 25 ft,,117-123,,
0:01.0,Offensive rebound by K. Olynyk,,117-123,,
0:00.0,K. Olynyk misses 3-pt shot from 24 ft,,117-123,,
0:00.0,Offensive rebound by J. Johnson,,117-123,,
0:00.0,J. Johnson makes 2-pt shot at rim,2,119-123,,
