time,Portland,pts.away,score,pts.home,New Orleans
9:38.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,98-104,,
9:37.0,,,98-104,,New Orleans full timeout
9:37.0,,,98-104,,A. Davis enters the game for S. Hill
9:24.0,,,98-104,,R. Rondo misses 2-pt shot from 1 ft
9:15.0,,,98-104,,Offensive rebound by A. Davis
9:15.0,,,98-104,,A. Davis misses 2-pt shot at rim
9:15.0,Defensive rebound by D. Lillard,,98-104,,
9:05.0,J. Nurkic misses 2-pt shot from 3 ft (block by N. Mirotic),,98-104,,
9:02.0,Offensive rebound by J. Nurkic,,98-104,,
9:00.0,A. Aminu makes 2-pt shot from 7 ft,2,100-104,,
8:53.0,,,100-104,,A. Davis misses 2-pt shot from 1 ft
8:53.0,Defensive rebound by E. Turner,,100-104,,
8:47.0,C. McCollum makes 2-pt shot from 1 ft,2,102-104,,
8:31.0,,,102-106,2,J. Holiday makes 2-pt shot from 11 ft
8:14.0,,,102-106,,Personal foul by N. Mirotic (drawn by J. Nurkic)
8:14.0,,,102-106,,D. Miller enters the game for R. Rondo
8:08.0,J. Nurkic makes 2-pt shot from 1 ft,2,104-106,,
7:54.0,,,104-108,2,J. Holiday makes 2-pt shot from 15 ft
7:42.0,,,104-108,,Away from play foul by A. Davis (drawn by J. Nurkic)
7:28.0,A. Aminu misses 3-pt shot from 25 ft,,104-108,,
7:23.0,,,104-108,,Defensive rebound by J. Holiday
7:12.0,,,104-108,,J. Holiday misses 3-pt shot from 25 ft
7:10.0,,,104-108,,Offensive rebound by A. Davis
7:09.0,,,104-110,2,A. Davis makes 2-pt shot at rim
7:00.0,Portland full timeout,,104-110,,
6:47.0,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum),3,107-110,,
6:28.0,,,107-112,2,J. Holiday makes 2-pt shot from 2 ft
6:02.0,J. Nurkic misses 2-pt shot from 4 ft (block by N. Mirotic),,107-112,,
5:59.0,,,107-112,,Defensive rebound by A. Davis
5:50.0,,,107-112,,Turnover by J. Holiday (lost ball; steal by D. Lillard)
5:45.0,D. Lillard misses 2-pt shot from 2 ft,,107-112,,
5:42.0,,,107-112,,Defensive rebound by D. Miller
5:33.0,,,107-112,,Turnover by N. Mirotic (bad pass; steal by J. Nurkic)
5:29.0,C. McCollum makes 2-pt shot from 15 ft,2,109-112,,
5:12.0,,,109-112,,Turnover by J. Holiday (lost ball; steal by A. Aminu)
5:08.0,A. Aminu makes 2-pt shot from 1 ft,2,111-112,,
4:56.0,,,111-114,2,A. Davis makes 2-pt shot from 6 ft (assist by J. Holiday)
4:56.0,Shooting block foul by D. Lillard (drawn by A. Davis),,111-114,,
4:56.0,,,111-115,1,A. Davis makes free throw 1 of 1
4:43.0,J. Nurkic makes 2-pt shot from 1 ft,2,113-115,,
4:34.0,,,113-118,3,A. Davis makes 3-pt shot from 25 ft (assist by J. Holiday)
4:22.0,D. Lillard makes 2-pt shot from 12 ft,2,115-118,,
4:05.0,,,115-118,,A. Davis misses 3-pt shot from 26 ft
4:05.0,,,115-118,,Offensive rebound by Team
