time,Atlanta,pts.away,score,pts.home,New Orleans
5:16.0,Defensive rebound by T. Cavanaugh,,70-65,,
5:07.0,M. Belinelli misses 2-pt shot from 22 ft,,70-65,,
5:03.0,,,70-65,,Defensive rebound by D. Cousins
4:57.0,,,70-67,2,D. Cousins makes 2-pt shot from 11 ft
4:24.0,J. Collins makes 2-pt shot from 6 ft,2,72-67,,
4:16.0,,,72-69,2,D. Cunningham makes 2-pt shot at rim (assist by D. Cousins)
3:58.0,D. Schroder misses 2-pt shot from 11 ft,,72-69,,
3:54.0,,,72-69,,Defensive rebound by D. Cousins
3:48.0,,,72-71,2,A. Davis makes 2-pt shot at rim (assist by D. Cousins)
3:36.0,,,72-71,,Personal foul by E. Moore (drawn by M. Belinelli)
3:36.0,,,72-71,,J. Nelson enters the game for D. Cousins
3:36.0,I. Taylor enters the game for T. Waller-Prince,,72-71,,
3:36.0,L. Babbitt enters the game for D. Schroder,,72-71,,
3:36.0,M. Delaney enters the game for T. Cavanaugh,,72-71,,
3:25.0,J. Collins makes 2-pt shot at rim (assist by M. Belinelli),2,74-71,,
3:21.0,,,74-71,,Turnover by A. Davis (bad pass)
3:13.0,J. Collins misses 2-pt shot from 15 ft,,74-71,,
3:09.0,,,74-71,,Defensive rebound by A. Davis
2:59.0,,,74-71,,D. Cunningham misses 3-pt shot from 22 ft
2:56.0,,,74-71,,Offensive rebound by Team
2:50.0,,,74-74,3,J. Nelson makes 3-pt shot from 24 ft (assist by E. Moore)
2:35.0,L. Babbitt makes 3-pt shot from 25 ft (assist by M. Belinelli),3,77-74,,
2:11.0,,,77-76,2,E. Moore makes 2-pt shot from 7 ft
1:45.0,M. Belinelli misses 3-pt shot from 28 ft,,77-76,,
1:42.0,Offensive rebound by J. Collins,,77-76,,
1:42.0,J. Collins misses 2-pt shot from 3 ft,,77-76,,
1:42.0,Offensive rebound by Team,,77-76,,
1:42.0,,,77-76,,Loose ball foul by D. Cunningham (drawn by J. Collins)
1:42.0,,,77-76,,D. Cousins enters the game for J. Holiday
1:42.0,,,77-76,,D. Miller enters the game for A. Davis
1:42.0,,,77-76,,I. Clark enters the game for D. Cunningham
1:30.0,L. Babbitt misses 3-pt shot from 26 ft,,77-76,,
1:27.0,,,77-76,,Defensive rebound by D. Cousins
1:22.0,,,77-76,,I. Clark misses 2-pt shot from 4 ft
1:18.0,Defensive rebound by J. Collins,,77-76,,
1:10.0,M. Delaney misses 2-pt shot at rim,,77-76,,
1:07.0,,,77-76,,Defensive rebound by D. Cousins
0:58.0,,,77-78,2,J. Nelson makes 2-pt shot from 1 ft (assist by I. Clark)
0:42.0,M. Belinelli misses 2-pt shot from 22 ft,,77-78,,
0:37.0,Offensive rebound by J. Collins,,77-78,,
0:35.0,M. Belinelli makes 3-pt shot from 23 ft (assist by J. Collins),3,80-78,,
0:24.0,,,80-78,,D. Cousins misses 3-pt shot from 27 ft
0:19.0,Defensive rebound by I. Taylor,,80-78,,
0:07.0,Offensive foul by J. Collins (drawn by J. Nelson),,80-78,,
0:07.0,Turnover by J. Collins (offensive foul),,80-78,,
0:07.0,T. Waller-Prince enters the game for M. Belinelli,,80-78,,
0:07.0,T. Cavanaugh enters the game for L. Babbitt,,80-78,,
0:07.0,K. Bazemore enters the game for J. Collins,,80-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,80-78,,Shooting foul by J. Collins (drawn by D. Cousins)
11:42.0,,,80-79,1,D. Cousins makes free throw 1 of 2
11:42.0,,,80-80,1,D. Cousins makes free throw 2 of 2
11:29.0,Turnover by I. Taylor (traveling),,80-80,,
11:10.0,,,80-80,,D. Cousins misses 2-pt shot from 5 ft
11:06.0,Defensive rebound by K. Bazemore,,80-80,,
11:03.0,K. Bazemore misses 2-pt shot from 8 ft,,80-80,,
11:03.0,,,80-80,,Defensive rebound by D. Cousins
10:46.0,,,80-82,2,D. Cousins makes 2-pt shot from 2 ft
