time,Washington,pts.away,score,pts.home,Boston
2:27.0,I. Mahinmi enters the game for M. Gortat,,79-76,,
2:27.0,R. Sessions enters the game for T. Satoransky,,79-76,,
2:16.0,,,79-78,2,G. Monroe makes 2-pt shot from 1 ft (assist by S. Larkin)
1:53.0,Turnover by B. Beal (step out of bounds),,79-78,,
1:40.0,,,79-78,,S. Larkin misses 2-pt shot from 15 ft
1:38.0,Defensive rebound by I. Mahinmi,,79-78,,
1:23.0,M. Morris misses 3-pt shot from 24 ft,,79-78,,
1:18.0,,,79-78,,Defensive rebound by J. Tatum
1:13.0,,,79-78,,J. Tatum misses 2-pt shot from 3 ft (block by R. Sessions)
1:08.0,Defensive rebound by I. Mahinmi,,79-78,,
1:04.0,M. Morris makes 2-pt shot at rim (assist by R. Sessions),2,81-78,,
0:51.0,,,81-80,2,G. Monroe makes 2-pt shot from 3 ft (assist by T. Rozier)
0:51.0,Violation by I. Mahinmi (def goaltending),,81-80,,
0:27.0,B. Beal misses 3-pt shot from 25 ft,,81-80,,
0:24.0,,,81-80,,Defensive rebound by T. Rozier
0:07.0,Personal take foul by R. Sessions (drawn by S. Larkin),,81-80,,
0:03.0,,,81-80,,T. Rozier misses 3-pt shot from 27 ft
0:03.0,Defensive rebound by K. Oubre,,81-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,81-80,,Turnover by G. Monroe (traveling)
11:33.0,Offensive foul by I. Mahinmi (drawn by T. Rozier),,81-80,,
11:33.0,Turnover by I. Mahinmi (offensive foul),,81-80,,
11:26.0,Personal foul by R. Sessions (drawn by T. Rozier),,81-80,,
11:15.0,,,81-83,3,T. Rozier makes 3-pt shot from 26 ft (assist by S. Larkin)
11:01.0,Turnover by M. Scott (bad pass; steal by S. Larkin),,81-83,,
10:57.0,,,81-85,2,S. Larkin makes 2-pt shot from 2 ft
10:56.0,Washington full timeout,,81-85,,
10:39.0,M. Scott makes 2-pt shot at rim (assist by I. Mahinmi),2,83-85,,
10:20.0,,,83-85,,S. Larkin misses 2-pt shot from 3 ft
10:19.0,,,83-85,,Offensive rebound by G. Monroe
