time,Boston,pts.away,score,pts.home,Toronto
1:09.0,,,86-111,,D. Wright misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by G. Yabusele,,86-111,,
0:52.0,K. Allen makes 2-pt shot from 1 ft (assist by D. Theis),2,88-111,,
0:28.0,,,88-111,,D. Wright misses 2-pt shot from 4 ft
0:28.0,Defensive rebound by Team,,88-111,,
0:21.0,Shooting foul by L. Nogueira (drawn by G. Yabusele),,88-111,,
0:21.0,G. Yabusele makes free throw 1 of 2,1,89-111,,
0:21.0,G. Yabusele misses free throw 2 of 2,,89-111,,
0:18.0,Offensive rebound by A. Baynes,,89-111,,
0:18.0,A. Baynes misses 2-pt shot at rim,,89-111,,
0:16.0,Offensive rebound by A. Baynes,,89-111,,
0:16.0,A. Baynes misses 2-pt shot at rim,,89-111,,
0:15.0,Offensive rebound by G. Yabusele,,89-111,,
0:15.0,G. Yabusele makes 2-pt shot from 1 ft,2,91-111,,
