time,Phoenix,pts.away,score,pts.home,Charlotte
4:26.0,,,106-112,,N. Batum misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by D. Bender,,106-112,,
4:12.0,T. Daniels makes 3-pt shot from 24 ft (assist by D. Reed),3,109-112,,
4:05.0,,,109-112,,Charlotte full timeout
3:56.0,,,109-115,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker)
3:33.0,J. Dudley misses 3-pt shot from 25 ft,,109-115,,
3:29.0,,,109-115,,Defensive rebound by D. Howard
3:14.0,,,109-115,,D. Howard misses 2-pt shot from 3 ft
3:09.0,,,109-115,,Offensive rebound by N. Batum
3:09.0,,,109-115,,N. Batum misses 2-pt shot at rim
3:09.0,,,109-115,,Offensive rebound by D. Howard
3:06.0,,,109-115,,D. Howard misses 2-pt shot from 2 ft
3:06.0,,,109-115,,Offensive rebound by N. Batum
3:02.0,,,109-115,,N. Batum misses 2-pt shot at rim
3:01.0,Defensive rebound by D. Reed,,109-115,,
2:58.0,E. Payton makes 2-pt shot from 1 ft,2,111-115,,
2:44.0,,,111-115,,K. Walker misses 2-pt shot from 18 ft
2:40.0,Defensive rebound by D. Reed,,111-115,,
2:31.0,E. Payton makes 2-pt shot from 1 ft,2,113-115,,
2:11.0,,,113-115,,K. Walker misses 3-pt shot from 26 ft
2:10.0,,,113-115,,Offensive rebound by Team
1:56.0,,,113-115,,F. Kaminsky misses 3-pt shot from 25 ft
1:53.0,Defensive rebound by D. Reed,,113-115,,
1:49.0,E. Payton misses 3-pt shot from 24 ft,,113-115,,
1:45.0,,,113-115,,Defensive rebound by N. Batum
1:29.0,,,113-115,,K. Walker misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by D. Reed,,113-115,,
1:11.0,Turnover by D. Bender (out of bounds lost ball),,113-115,,
0:52.0,,,113-118,2,N. Batum makes 3-pt shot from 25 ft (assist by F. Kaminsky)
0:51.0,Phoenix full timeout,,113-118,,
0:51.0,,,113-118,,T. Graham enters the game for F. Kaminsky
0:46.0,E. Payton makes 2-pt shot from 2 ft,2,115-118,,
0:41.0,,,115-118,,Charlotte full timeout
0:41.0,,,115-118,,F. Kaminsky enters the game for T. Graham
0:34.0,Personal foul by D. Bender (drawn by D. Howard),,115-118,,
0:34.0,,,115-119,1,D. Howard makes free throw 1 of 2
0:34.0,,,115-119,,T. Graham enters the game for F. Kaminsky
0:34.0,,,115-120,1,D. Howard makes free throw 2 of 2
0:25.0,T. Daniels misses 3-pt shot from 29 ft,,115-120,,
0:22.0,,,115-120,,Defensive rebound by N. Batum
0:22.0,Personal take foul by E. Payton (drawn by N. Batum),,115-120,,
0:22.0,,,115-121,1,N. Batum makes free throw 1 of 2
0:22.0,,,115-122,1,N. Batum makes free throw 2 of 2
0:22.0,Phoenix full timeout,,115-122,,
0:22.0,,,115-122,,M. Williams enters the game for D. Howard
0:20.0,D. Bender misses 3-pt shot from 27 ft,,115-122,,
0:17.0,,,115-122,,Defensive rebound by N. Batum
