time,Denver,pts.away,score,pts.home,Cleveland
4:50.0,G. Harris makes 3-pt shot from 23 ft (assist by W. Chandler),3,95-82,,
4:36.0,,,95-82,,J. Smith misses 2-pt shot from 13 ft
4:32.0,,,95-82,,Offensive rebound by T. Thompson
4:32.0,,,95-82,,T. Thompson misses 2-pt shot at rim
4:31.0,Defensive rebound by G. Harris,,95-82,,
4:22.0,Turnover by J. Murray (bad pass; steal by T. Thompson),,95-82,,
4:13.0,,,95-84,2,C. Osman makes 2-pt shot from 1 ft
3:58.0,W. Barton makes 2-pt shot at rim (assist by N. Jokic),2,97-84,,
3:58.0,,,97-84,,Cleveland full timeout
3:58.0,,,97-84,,R. Hood enters the game for J. Smith
3:58.0,,,97-84,,J. Clarkson enters the game for T. Thompson
3:58.0,,,97-84,,L. Nance enters the game for C. Osman
3:58.0,D. Harris enters the game for J. Murray,,97-84,,
3:43.0,,,97-84,,L. Nance misses 3-pt shot from 26 ft
3:39.0,Defensive rebound by W. Barton,,97-84,,
3:23.0,Shooting foul by L. Nance (drawn by G. Harris),,97-84,,
3:23.0,G. Harris makes free throw 1 of 2,1,98-84,,
3:23.0,G. Harris makes free throw 2 of 2,1,99-84,,
3:10.0,,,99-86,2,R. Hood makes 2-pt shot from 12 ft (assist by L. James)
2:56.0,Offensive foul by N. Jokic (drawn by G. Hill),,99-86,,
2:56.0,Turnover by N. Jokic (offensive foul),,99-86,,
2:36.0,,,99-89,3,G. Hill makes 3-pt shot from 22 ft (assist by L. James)
2:09.0,W. Chandler makes 2-pt shot from 6 ft,2,101-89,,
1:54.0,,,101-91,2,R. Hood makes 2-pt shot from 7 ft
1:34.0,N. Jokic misses 2-pt shot from 7 ft,,101-91,,
1:31.0,,,101-91,,Defensive rebound by L. Nance
1:17.0,,,101-94,3,G. Hill makes 3-pt shot from 24 ft (assist by L. James)
1:16.0,Denver full timeout,,101-94,,
1:16.0,M. Plumlee enters the game for N. Jokic,,101-94,,
1:03.0,W. Barton misses 2-pt shot from 6 ft,,101-94,,
1:01.0,,,101-94,,Defensive rebound by L. James
0:57.0,,,101-97,3,J. Clarkson makes 3-pt shot from 22 ft (assist by L. James)
0:47.0,M. Plumlee makes 2-pt shot from 1 ft (assist by W. Chandler),2,103-97,,
0:33.0,,,103-97,,L. James misses 3-pt shot from 23 ft
0:30.0,Defensive rebound by M. Plumlee,,103-97,,
0:10.0,W. Chandler misses 3-pt shot from 25 ft,,103-97,,
0:07.0,,,103-97,,Defensive rebound by L. Nance
0:07.0,Personal foul by M. Plumlee (drawn by L. Nance),,103-97,,
0:00.0,,,103-97,,L. Nance misses 2-pt shot from 11 ft
0:00.0,Defensive rebound by Team,,103-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Shooting foul by L. Nance (drawn by D. Harris),,103-97,,
11:49.0,D. Harris misses free throw 1 of 2,,103-97,,
11:49.0,Offensive rebound by Team,,103-97,,
11:49.0,D. Harris makes free throw 2 of 2,1,104-97,,
11:36.0,,,104-99,2,L. James makes 2-pt shot from 4 ft
11:20.0,M. Plumlee misses 2-pt shot from 9 ft,,104-99,,
11:20.0,,,104-99,,Defensive rebound by Team
11:20.0,Loose ball foul by M. Plumlee (drawn by L. Nance),,104-99,,
11:10.0,,,104-99,,Shooting foul by R. Jefferson (drawn by L. James)
11:10.0,,,104-100,1,L. James makes free throw 1 of 2
11:10.0,,,104-101,1,L. James makes free throw 2 of 2
10:51.0,J. Murray misses 2-pt shot from 20 ft,,104-101,,
10:49.0,,,104-101,,Defensive rebound by J. Clarkson
10:41.0,,,104-101,,J. Clarkson misses 2-pt shot from 1 ft
10:39.0,Defensive rebound by M. Plumlee,,104-101,,
10:20.0,Turnover by D. Harris (bad pass; steal by L. James),,104-101,,
10:15.0,,,104-101,,L. Nance misses 2-pt shot at rim
10:12.0,Defensive rebound by J. Murray,,104-101,,
10:06.0,W. Barton makes 3-pt shot from 25 ft (assist by D. Harris),3,107-101,,
9:50.0,,,107-101,,J. Clarkson misses 2-pt shot from 1 ft
9:47.0,Defensive rebound by M. Plumlee,,107-101,,
9:42.0,W. Barton misses 3-pt shot from 26 ft,,107-101,,
9:39.0,Offensive rebound by Team,,107-101,,
9:39.0,,,107-101,,Loose ball foul by J. Smith (drawn by R. Jefferson)
9:18.0,D. Harris misses 2-pt shot from 19 ft,,107-101,,
9:16.0,,,107-101,,Defensive rebound by R. Hood
9:07.0,,,107-104,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
9:06.0,Denver full timeout,,107-104,,
8:52.0,J. Murray makes 3-pt shot from 27 ft (assist by R. Jefferson),3,110-104,,
8:29.0,,,110-106,2,L. James makes 2-pt shot from 12 ft
8:08.0,D. Harris misses 3-pt shot from 23 ft,,110-106,,
8:05.0,,,110-106,,Defensive rebound by L. James
7:56.0,,,110-108,2,J. Smith makes 2-pt shot from 20 ft
7:35.0,W. Barton makes 3-pt shot from 27 ft,3,113-108,,
7:20.0,,,113-108,,Turnover by J. Smith (bad pass; steal by M. Plumlee)
7:13.0,M. Plumlee makes 2-pt shot at rim (assist by J. Murray),2,115-108,,
6:57.0,,,115-108,,J. Clarkson misses 2-pt shot from 17 ft
6:53.0,,,115-108,,Offensive rebound by J. Clarkson
6:46.0,,,115-110,2,J. Smith makes 2-pt shot from 15 ft
6:18.0,M. Plumlee misses 2-pt shot from 6 ft (block by R. Hood),,115-110,,
6:15.0,,,115-110,,Defensive rebound by L. Nance
6:01.0,,,115-110,,Turnover by L. James (out of bounds lost ball)
6:01.0,,,115-110,,G. Hill enters the game for J. Clarkson
6:01.0,P. Millsap enters the game for M. Plumlee,,115-110,,
6:01.0,N. Jokic enters the game for D. Harris,,115-110,,
6:01.0,G. Harris enters the game for R. Jefferson,,115-110,,
6:01.0,W. Chandler enters the game for J. Murray,,115-110,,
5:49.0,N. Jokic misses 3-pt shot from 26 ft,,115-110,,
5:47.0,,,115-110,,Defensive rebound by R. Hood
5:32.0,,,115-110,,J. Smith misses 2-pt shot from 8 ft
5:30.0,Defensive rebound by N. Jokic,,115-110,,
5:10.0,N. Jokic misses 2-pt shot from 8 ft (block by J. Smith),,115-110,,
5:06.0,,,115-110,,Defensive rebound by G. Hill
