time,Memphis,pts.away,score,pts.home,Philadelphia
5:53.0,B. Weber misses 2-pt shot from 1 ft,,84-109,,
5:50.0,Offensive rebound by B. McLemore,,84-109,,
5:48.0,B. McLemore misses 2-pt shot from 1 ft,,84-109,,
5:46.0,Offensive rebound by B. McLemore,,84-109,,
5:45.0,B. McLemore makes 2-pt shot from 1 ft,2,86-109,,
5:32.0,,,86-111,2,M. Belinelli makes 2-pt shot from 1 ft (assist by J. Anderson)
5:24.0,M. Chalmers misses 3-pt shot from 26 ft,,86-111,,
5:20.0,,,86-111,,Defensive rebound by J. Anderson
5:12.0,,,86-111,,Turnover by J. Anderson (bad pass; steal by M. Chalmers)
5:06.0,B. McLemore misses 2-pt shot from 3 ft,,86-111,,
5:04.0,,,86-111,,Defensive rebound by R. Holmes
4:59.0,,,86-111,,D. Jackson misses 2-pt shot from 1 ft (block by B. Johnson)
4:56.0,Defensive rebound by M. Chalmers,,86-111,,
4:49.0,M. Chalmers misses 2-pt shot from 12 ft,,86-111,,
4:48.0,Offensive rebound by Team,,86-111,,
4:48.0,,,86-111,,Loose ball foul by J. Anderson (drawn by M. Chalmers)
4:48.0,W. Selden enters the game for B. McLemore,,86-111,,
4:40.0,B. Johnson makes 2-pt shot from 19 ft (assist by W. Selden),2,88-111,,
4:38.0,,,88-111,,Philadelphia full timeout
4:26.0,,,88-113,2,D. Jackson makes 2-pt shot from 1 ft
4:10.0,B. Johnson misses 2-pt shot from 8 ft,,88-113,,
4:07.0,,,88-113,,Defensive rebound by R. Holmes
3:54.0,,,88-113,,M. Belinelli misses 3-pt shot from 26 ft
3:51.0,Defensive rebound by M. Chalmers,,88-113,,
3:45.0,Turnover by M. Chalmers (lost ball; steal by D. Jackson),,88-113,,
3:35.0,,,88-113,,M. Belinelli misses 3-pt shot from 27 ft
3:31.0,Defensive rebound by D. Davis,,88-113,,
3:24.0,W. Selden misses 3-pt shot from 28 ft,,88-113,,
3:22.0,Offensive rebound by Team,,88-113,,
3:10.0,B. Weber misses 2-pt shot from 12 ft,,88-113,,
3:09.0,,,88-113,,Defensive rebound by Team
3:02.0,,,88-113,,Shooting foul by D. Davis (drawn by J. Anderson)
3:02.0,,,88-114,1,J. Anderson makes free throw 1 of 2
3:02.0,,,88-115,1,J. Anderson makes free throw 2 of 2
2:45.0,D. Davis makes 2-pt shot from 2 ft (assist by W. Selden),2,90-115,,
2:34.0,,,90-117,2,D. Jackson makes 2-pt shot at rim
2:23.0,D. Davis makes 2-pt shot from 19 ft (assist by M. Chalmers),2,92-117,,
2:08.0,,,92-119,2,R. Holmes makes 2-pt shot from 1 ft (assist by D. Jackson)
1:56.0,W. Selden makes 3-pt shot from 27 ft,3,95-119,,
1:45.0,,,95-119,,Turnover by D. Jackson (lost ball; steal by B. Weber)
1:40.0,W. Selden makes 2-pt shot from 1 ft (assist by B. Weber),2,97-119,,
1:40.0,Shooting foul by J. Young (drawn by W. Selden),,97-119,,
1:40.0,W. Selden makes free throw 1 of 1,1,98-119,,
1:30.0,,,98-119,,J. Young misses 2-pt shot from 13 ft
1:26.0,,,98-119,,Offensive rebound by R. Holmes
1:24.0,,,98-119,,J. Anderson misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by M. Chalmers,,98-119,,
1:12.0,W. Selden makes 2-pt shot from 5 ft (assist by M. Chalmers),2,100-119,,
0:58.0,,,100-119,,J. Anderson misses 3-pt shot from 29 ft
0:55.0,Defensive rebound by D. Davis,,100-119,,
0:38.0,B. Johnson makes 2-pt shot from 1 ft (assist by D. Davis),2,102-119,,
0:13.0,,,102-119,,J. Anderson misses 3-pt shot from 28 ft
0:09.0,Defensive rebound by D. Davis,,102-119,,
0:04.0,W. Selden makes 3-pt shot from 25 ft (assist by B. Johnson),3,105-119,,
