time,Indiana,pts.away,score,pts.home,Memphis
2:14.0,,,112-108,,C. Parsons misses 3-pt shot from 23 ft
2:10.0,Defensive rebound by V. Oladipo,,112-108,,
1:51.0,D. Collison makes 2-pt shot from 15 ft,2,114-108,,
1:51.0,,,114-108,,Memphis full timeout
1:41.0,,,114-108,,M. Chalmers misses 3-pt shot from 25 ft
1:39.0,,,114-108,,Offensive rebound by M. Gasol
1:37.0,,,114-108,,T. Evans misses 3-pt shot from 25 ft
1:35.0,,,114-108,,Offensive rebound by C. Parsons
1:22.0,,,114-110,2,M. Chalmers makes 2-pt shot from 10 ft
1:04.0,V. Oladipo misses 3-pt shot from 26 ft,,114-110,,
1:01.0,,,114-110,,Defensive rebound by M. Chalmers
0:43.0,,,114-110,,B. Wright misses 2-pt shot from 1 ft (block by M. Turner)
0:39.0,,,114-110,,Offensive rebound by T. Evans
0:38.0,,,114-110,,T. Evans misses 2-pt shot at rim
0:34.0,Defensive rebound by M. Turner,,114-110,,
0:24.0,,,114-110,,Personal foul by B. Wright (drawn by V. Oladipo)
0:24.0,Indiana full timeout,,114-110,,
0:24.0,C. Joseph enters the game for T. Young,,114-110,,
0:24.0,,,114-110,,B. McLemore enters the game for C. Parsons
0:22.0,,,114-110,,Personal take foul by B. Wright (drawn by V. Oladipo)
0:22.0,V. Oladipo makes free throw 1 of 2,1,115-110,,
0:22.0,,,115-110,,C. Parsons enters the game for B. McLemore
0:22.0,T. Young enters the game for B. Bogdanovic,,115-110,,
0:22.0,V. Oladipo makes free throw 2 of 2,1,116-110,,
0:22.0,,,116-110,,Memphis full timeout
0:22.0,,,116-110,,B. McLemore enters the game for B. Wright
0:22.0,B. Bogdanovic enters the game for T. Young,,116-110,,
0:15.0,,,116-110,,M. Gasol misses 3-pt shot from 25 ft
0:13.0,,,116-110,,Offensive rebound by M. Gasol
0:12.0,,,116-112,2,M. Gasol makes 2-pt shot from 10 ft
0:12.0,,,116-112,,Shooting foul by V. Oladipo (drawn by M. Gasol)
0:12.0,,,116-112,,B. Wright enters the game for C. Parsons
0:12.0,T. Young enters the game for B. Bogdanovic,,116-112,,
0:12.0,,,116-113,1,M. Gasol makes free throw 1 of 1
0:12.0,Indiana full timeout,,116-113,,
0:12.0,B. Bogdanovic enters the game for T. Young,,116-113,,
0:09.0,Turnover by B. Bogdanovic (out of bounds lost ball),,116-113,,
0:09.0,,,116-113,,C. Parsons enters the game for B. Wright
0:03.0,,,116-113,,M. Gasol misses 3-pt shot from 28 ft
0:03.0,,,116-113,,Offensive rebound by M. Chalmers
