time,New Orleans,pts.away,score,pts.home,Indiana
1:44.0,J. Nelson misses 2-pt shot from 9 ft,,111-107,,
1:41.0,,,111-107,,Defensive rebound by M. Turner
1:31.0,,,111-110,3,D. Collison makes 3-pt shot from 23 ft (assist by B. Bogdanovic)
1:10.0,A. Davis makes 2-pt shot from 15 ft,2,113-110,,
1:10.0,,,113-110,,Indiana full timeout
0:59.0,,,113-112,2,B. Bogdanovic makes 2-pt shot from 1 ft
0:37.0,Turnover by D. Cousins (step out of bounds),,113-112,,
0:28.0,,,113-112,,M. Turner misses 2-pt shot from 19 ft
0:24.0,Defensive rebound by T. Allen,,113-112,,
0:20.0,,,113-112,,Personal take foul by B. Bogdanovic (drawn by J. Holiday)
0:20.0,J. Holiday makes free throw 1 of 2,1,114-112,,
0:20.0,J. Holiday misses free throw 2 of 2,,114-112,,
0:18.0,Offensive rebound by A. Davis,,114-112,,
0:18.0,New Orleans full timeout,,114-112,,
0:18.0,D. Miller enters the game for T. Allen,,114-112,,
0:16.0,,,114-112,,Personal foul by V. Oladipo (drawn by J. Holiday)
0:16.0,J. Holiday makes free throw 1 of 2,1,115-112,,
0:16.0,T. Allen enters the game for D. Miller,,115-112,,
0:16.0,,,115-112,,A. Poythress enters the game for B. Bogdanovic
0:16.0,J. Holiday misses free throw 2 of 2,,115-112,,
0:15.0,Offensive rebound by D. Cousins,,115-112,,
0:15.0,D. Cousins makes 2-pt shot at rim,2,117-112,,
0:15.0,,,117-112,,Indiana full timeout
0:15.0,,,117-112,,B. Bogdanovic enters the game for A. Poythress
0:15.0,E. Moore enters the game for D. Cousins,,117-112,,
0:10.0,,,117-112,,V. Oladipo misses 2-pt shot from 12 ft
0:07.0,,,117-112,,Offensive rebound by M. Turner
0:07.0,,,117-112,,M. Turner misses 2-pt shot from 1 ft (block by A. Davis)
0:07.0,Defensive rebound by T. Allen,,117-112,,
