time,Minnesota,pts.away,score,pts.home,Golden State
3:25.0,Defensive rebound by K. Towns,,111-120,,
3:10.0,A. Wiggins misses 2-pt shot from 9 ft,,111-120,,
3:06.0,Offensive rebound by K. Towns,,111-120,,
3:06.0,K. Towns misses 2-pt shot at rim,,111-120,,
3:05.0,,,111-120,,Defensive rebound by D. Green
3:03.0,,,111-120,,Shooting foul by J. Teague (drawn by D. Green)
3:03.0,,,111-121,1,D. Green makes free throw 1 of 2
3:03.0,,,111-121,,D. Green misses free throw 2 of 2
3:01.0,Defensive rebound by T. Gibson,,111-121,,
2:51.0,K. Towns misses 3-pt shot from 26 ft,,111-121,,
2:48.0,,,111-121,,Defensive rebound by D. Green
2:37.0,,,111-121,,S. Curry misses 2-pt shot from 18 ft
2:30.0,,,111-121,,Offensive rebound by A. Iguodala
2:17.0,,,111-121,,A. Iguodala misses 3-pt shot from 23 ft
2:14.0,Defensive rebound by J. Teague,,111-121,,
2:08.0,T. Gibson misses 2-pt shot from 2 ft (block by K. Durant),,111-121,,
2:07.0,Offensive rebound by Team,,111-121,,
2:05.0,K. Towns misses 2-pt shot from 17 ft,,111-121,,
2:00.0,,,111-121,,Defensive rebound by K. Durant
1:59.0,,,111-121,,Turnover by K. Durant (traveling)
1:42.0,Turnover by A. Wiggins (bad pass; steal by K. Durant),,111-121,,
1:38.0,,,111-124,3,S. Curry makes 3-pt shot from 27 ft (assist by A. Iguodala)
1:36.0,Minnesota full timeout,,111-124,,
1:30.0,A. Wiggins misses 2-pt shot from 21 ft,,111-124,,
1:28.0,,,111-124,,Defensive rebound by K. Durant
1:07.0,,,111-124,,D. Green misses 3-pt shot from 28 ft
1:06.0,,,111-124,,Offensive rebound by Team
1:06.0,,,111-124,,Turnover by Team (shot clock)
0:57.0,T. Gibson misses 2-pt shot from 2 ft (block by K. Durant),,111-124,,
0:55.0,,,111-124,,Defensive rebound by K. Durant
0:34.0,,,111-126,2,D. Green makes 2-pt shot from 1 ft
0:34.0,Minnesota full timeout,,111-126,,
0:32.0,K. Towns makes 2-pt shot from 8 ft (assist by J. Crawford),2,113-126,,
0:09.0,,,113-126,,D. Green misses 3-pt shot from 32 ft
0:05.0,Defensive rebound by J. Teague,,113-126,,
0:03.0,Turnover by J. Teague (bad pass; steal by D. Green),,113-126,,
