time,Oklahoma City,pts.away,score,pts.home,Phoenix
3:16.0,,,96-112,,T. Warren misses 2-pt shot from 9 ft
3:13.0,Defensive rebound by R. Felton,,96-112,,
3:08.0,Turnover by R. Westbrook (bad pass; steal by T. Ulis),,96-112,,
2:45.0,,,96-112,,T. Ulis misses 3-pt shot from 22 ft
2:42.0,Defensive rebound by P. George,,96-112,,
2:42.0,Oklahoma City full timeout,,96-112,,
2:42.0,K. Singler enters the game for R. Westbrook,,96-112,,
2:42.0,P. Patterson enters the game for R. Felton,,96-112,,
2:42.0,D. Johnson enters the game for C. Anthony,,96-112,,
2:42.0,A. Abrines enters the game for S. Adams,,96-112,,
2:42.0,J. Huestis enters the game for P. George,,96-112,,
2:22.0,Shooting foul by D. Bender (drawn by P. Patterson),,96-112,,
2:22.0,P. Patterson makes free throw 1 of 2,1,97-112,,
2:22.0,P. Patterson makes free throw 2 of 2,1,98-112,,
2:01.0,,,98-114,2,T. Warren makes 2-pt shot from 10 ft
1:39.0,J. Huestis misses 3-pt shot from 25 ft,,98-114,,
1:35.0,,,98-114,,Defensive rebound by T. Chandler
1:16.0,,,98-114,,D. Booker misses 3-pt shot from 26 ft
1:13.0,Defensive rebound by A. Abrines,,98-114,,
0:57.0,D. Johnson makes 2-pt shot from 19 ft (assist by J. Huestis),2,100-114,,
0:36.0,,,100-114,,D. Booker misses 2-pt shot from 18 ft
0:31.0,Defensive rebound by P. Patterson,,100-114,,
0:21.0,K. Singler misses 2-pt shot from 8 ft,,100-114,,
0:18.0,,,100-114,,Defensive rebound by T. Warren
