time,San Antonio,pts.away,score,pts.home,Atlanta
2:45.0,,,89-91,2,D. Schroder makes 2-pt shot from 19 ft
2:23.0,P. Mills misses 3-pt shot from 24 ft,,89-91,,
2:20.0,,,89-91,,Defensive rebound by D. Dedmon
2:04.0,Personal foul by D. Green (drawn by D. Schroder),,89-91,,
1:56.0,,,89-91,,D. Dedmon misses 2-pt shot from 12 ft
1:54.0,Defensive rebound by Team,,89-91,,
1:34.0,P. Gasol misses 2-pt shot from 12 ft,,89-91,,
1:29.0,,,89-91,,Defensive rebound by M. Delaney
1:14.0,,,89-91,,D. Schroder misses 2-pt shot from 2 ft (block by D. Green)
1:13.0,,,89-91,,Offensive rebound by D. Dedmon
1:12.0,,,89-93,2,D. Dedmon makes 2-pt shot from 5 ft
1:12.0,,,89-93,,Shooting foul by D. Green (drawn by D. Dedmon)
1:12.0,D. Bertans enters the game for P. Gasol,,89-93,,
1:12.0,,,89-94,1,D. Dedmon makes free throw 1 of 1
0:56.0,L. Aldridge makes 2-pt shot from 10 ft,2,91-94,,
0:56.0,Shooting foul by D. Dedmon (drawn by L. Aldridge),,91-94,,
0:56.0,B. Forbes enters the game for D. Murray,,91-94,,
0:56.0,L. Aldridge makes free throw 1 of 1,1,92-94,,
0:38.0,,,92-96,2,D. Schroder makes 2-pt shot from 18 ft
0:38.0,San Antonio full timeout,,92-96,,
0:31.0,D. Green makes 3-pt shot from 24 ft (assist by L. Aldridge),3,95-96,,
0:10.0,,,95-98,2,D. Schroder makes 2-pt shot at rim
0:10.0,San Antonio full timeout,,95-98,,
0:10.0,K. Anderson enters the game for D. Bertans,,95-98,,
0:09.0,,,95-98,,Personal take foul by M. Delaney (drawn by P. Mills)
0:09.0,P. Mills makes free throw 1 of 2,1,96-98,,
0:09.0,P. Mills makes free throw 2 of 2,1,97-98,,
0:09.0,,,97-98,,Atlanta full timeout
0:08.0,Personal take foul by L. Aldridge (drawn by D. Dedmon),,97-98,,
0:08.0,,,97-99,1,D. Dedmon makes free throw 1 of 2
0:08.0,,,97-100,1,D. Dedmon makes free throw 2 of 2
0:08.0,,,97-100,,Personal foul by E. Ilyasova (drawn by K. Anderson)
0:08.0,K. Anderson makes free throw 1 of 2,1,98-100,,
0:08.0,P. Gasol enters the game for D. Green,,98-100,,
0:08.0,K. Anderson makes free throw 2 of 2,1,99-100,,
0:07.0,Personal take foul by B. Forbes (drawn by D. Schroder),,99-100,,
0:07.0,,,99-101,1,D. Schroder makes free throw 1 of 2
0:07.0,D. Green enters the game for P. Gasol,,99-101,,
0:07.0,,,99-102,1,D. Schroder makes free throw 2 of 2
0:02.0,D. Green misses 3-pt shot from 25 ft,,99-102,,
0:02.0,,,99-102,,Defensive rebound by Team
