time,Minnesota,pts.away,score,pts.home,Indiana
2:45.0,N. Bjelica misses 3-pt shot from 28 ft,,101-77,,
2:41.0,,,101-77,,Defensive rebound by I. Anigbogu
2:37.0,,,101-79,2,J. Young makes 2-pt shot at rim
2:37.0,,,101-79,,Shooting foul by M. Georges-Hunt (drawn by J. Young)
2:37.0,,,101-80,1,J. Young makes free throw 1 of 1
2:22.0,N. Bjelica makes 2-pt shot from 1 ft,2,103-80,,
1:59.0,,,103-80,,T. Leaf misses 2-pt shot from 7 ft
1:59.0,,,103-80,,Offensive rebound by I. Anigbogu
1:59.0,,,103-82,2,I. Anigbogu makes 2-pt shot at rim
1:48.0,C. Aldrich makes 2-pt shot from 1 ft (assist by N. Bjelica),2,105-82,,
1:27.0,,,105-84,2,J. Young makes 2-pt shot from 4 ft
1:17.0,Offensive foul by C. Aldrich (drawn by J. Young),,105-84,,
1:17.0,Turnover by C. Aldrich (offensive foul),,105-84,,
1:07.0,,,105-84,,A. Poythress misses 3-pt shot from 28 ft
1:03.0,Defensive rebound by A. Brooks,,105-84,,
0:52.0,S. Muhammad makes 2-pt shot from 6 ft,2,107-84,,
0:43.0,,,107-84,,I. Anigbogu misses 2-pt shot from 19 ft
0:40.0,,,107-84,,Offensive rebound by Team
0:30.0,,,107-87,3,J. Young makes 3-pt shot from 25 ft
0:14.0,S. Muhammad misses 2-pt shot from 12 ft,,107-87,,
0:10.0,Offensive rebound by C. Aldrich,,107-87,,
0:10.0,C. Aldrich misses 2-pt shot at rim,,107-87,,
0:09.0,,,107-87,,Defensive rebound by T. Leaf
0:02.0,,,107-87,,Shooting foul by S. Muhammad (drawn by I. Anigbogu)
0:02.0,,,107-88,1,I. Anigbogu makes free throw 1 of 2
0:02.0,,,107-88,,I. Anigbogu misses free throw 2 of 2
0:00.0,,,107-88,,Offensive rebound by I. Anigbogu
0:00.0,,,107-90,2,I. Anigbogu makes 2-pt shot from 17 ft
