time,Phoenix,pts.away,score,pts.home,New York
8:04.0,,,89-102,2,K. Porzingis makes 2-pt shot from 11 ft
7:42.0,Turnover by D. Booker (lost ball; steal by C. Lee),,89-102,,
7:39.0,,,89-104,2,D. McDermott makes 2-pt shot at rim (assist by C. Lee)
7:39.0,,,89-104,,Shooting foul by D. Booker (drawn by D. McDermott)
7:39.0,Phoenix full timeout,,89-104,,
7:39.0,,,89-104,,E. Kanter enters the game for K. O'Quinn
7:39.0,,,89-105,1,D. McDermott makes free throw 1 of 1
7:24.0,T. Ulis makes 2-pt shot from 12 ft,2,91-105,,
6:58.0,,,91-105,,K. Porzingis misses 2-pt shot from 4 ft (block by A. Len)
6:55.0,Defensive rebound by A. Len,,91-105,,
6:51.0,,,91-105,,Personal foul by F. Ntilikina (drawn by T. Ulis)
6:51.0,,,91-105,,T. Hardaway enters the game for D. McDermott
6:44.0,D. Booker makes 2-pt shot from 20 ft (assist by T. Ulis),2,93-105,,
6:28.0,,,93-107,2,F. Ntilikina makes 2-pt shot at rim
6:13.0,D. Bender misses 3-pt shot from 25 ft,,93-107,,
6:11.0,,,93-107,,Defensive rebound by E. Kanter
6:06.0,Personal foul by D. Bender (drawn by K. Porzingis),,93-107,,
6:06.0,T. Chandler enters the game for A. Len,,93-107,,
5:57.0,,,93-110,3,K. Porzingis makes 3-pt shot from 25 ft
5:43.0,D. Booker makes 2-pt shot from 2 ft,2,95-110,,
5:26.0,,,95-110,,Turnover by T. Hardaway (traveling)
5:26.0,J. Jackson enters the game for D. Bender,,95-110,,
5:17.0,Turnover by T. Ulis (out of bounds lost ball),,95-110,,
5:17.0,,,95-110,,J. Jack enters the game for F. Ntilikina
4:57.0,,,95-110,,Turnover by E. Kanter (bad pass; steal by J. Jackson)
4:53.0,J. Jackson misses 2-pt shot from 2 ft (block by K. Porzingis),,95-110,,
4:50.0,,,95-110,,Defensive rebound by C. Lee
4:48.0,,,95-112,2,K. Porzingis makes 2-pt shot from 1 ft (assist by J. Jack)
4:48.0,,,95-112,,Shooting foul by J. Jackson (drawn by K. Porzingis)
4:48.0,,,95-113,1,K. Porzingis makes free throw 1 of 1
4:40.0,D. Booker misses 2-pt shot from 3 ft (block by E. Kanter),,95-113,,
4:36.0,,,95-113,,Defensive rebound by T. Hardaway
4:34.0,,,95-113,,T. Hardaway misses 3-pt shot from 25 ft
4:31.0,Defensive rebound by T. Chandler,,95-113,,
4:22.0,T. Chandler makes 2-pt shot at rim (assist by T. Ulis),2,97-113,,
3:55.0,,,97-113,,K. Porzingis misses 2-pt shot from 23 ft
3:53.0,,,97-113,,Offensive rebound by E. Kanter
3:41.0,,,97-113,,Shooting foul by J. Jackson (drawn by E. Kanter)
3:41.0,,,97-114,1,E. Kanter makes free throw 1 of 2
3:41.0,M. James enters the game for T. Ulis,,97-114,,
3:41.0,,,97-115,1,E. Kanter makes free throw 2 of 2
3:30.0,J. Jackson makes 3-pt shot from 26 ft (assist by M. James),3,100-115,,
3:18.0,,,100-115,,New York full timeout
3:09.0,,,100-118,3,T. Hardaway makes 3-pt shot from 25 ft (assist by J. Jack)
2:56.0,,,100-118,,Personal foul by C. Lee (drawn by D. Booker)
2:56.0,D. Booker makes free throw 1 of 2,1,101-118,,
2:56.0,D. Booker makes free throw 2 of 2,1,102-118,,
2:37.0,,,102-118,,K. Porzingis misses 2-pt shot from 15 ft
2:35.0,Defensive rebound by T. Chandler,,102-118,,
2:27.0,T. Chandler misses 2-pt shot from 3 ft (block by K. Porzingis),,102-118,,
2:25.0,,,102-118,,Defensive rebound by K. Porzingis
2:22.0,,,102-118,,C. Lee misses 3-pt shot from 25 ft
2:19.0,,,102-118,,Offensive rebound by K. Porzingis
2:17.0,,,102-118,,C. Lee misses 3-pt shot from 25 ft
2:17.0,Defensive rebound by T. Chandler,,102-118,,
2:12.0,,,102-118,,Personal take foul by J. Jack (drawn by J. Jackson)
2:12.0,J. Jackson makes free throw 1 of 2,1,103-118,,
2:12.0,,,103-118,,M. Beasley enters the game for K. Porzingis
2:12.0,J. Jackson misses free throw 2 of 2,,103-118,,
2:11.0,,,103-118,,Defensive rebound by M. Beasley
1:57.0,,,103-120,2,T. Hardaway makes 2-pt shot from 17 ft
1:46.0,M. James misses 2-pt shot from 15 ft,,103-120,,
1:43.0,,,103-120,,Defensive rebound by E. Kanter
1:29.0,,,103-120,,E. Kanter misses 2-pt shot from 14 ft
1:26.0,Defensive rebound by T. Chandler,,103-120,,
1:20.0,T. Chandler makes 2-pt shot at rim (assist by M. James),2,105-120,,
1:02.0,,,105-120,,E. Kanter misses 2-pt shot from 2 ft
1:00.0,Defensive rebound by M. James,,105-120,,
0:57.0,M. James misses 3-pt shot from 28 ft,,105-120,,
0:52.0,,,105-120,,Defensive rebound by C. Lee
0:30.0,,,105-120,,C. Lee misses 2-pt shot from 14 ft
0:28.0,,,105-120,,Offensive rebound by E. Kanter
0:05.0,,,105-120,,Turnover by Team (shot clock)
0:00.0,T. Chandler makes 2-pt shot from 1 ft (assist by M. James),2,107-120,,
