time,LA Clippers,pts.away,score,pts.home,Washington
7:25.0,J. Evans makes 2-pt shot at rim,2,77-79,,
7:14.0,Personal foul by C. Williams (drawn by B. Beal),,77-79,,
7:14.0,,,77-79,,M. Gortat enters the game for I. Mahinmi
7:14.0,L. Williams enters the game for S. Dekker,,77-79,,
7:14.0,D. Jordan enters the game for B. Johnson,,77-79,,
7:05.0,,,77-79,,M. Gortat misses 2-pt shot from 14 ft
7:03.0,Defensive rebound by D. Jordan,,77-79,,
6:54.0,J. Evans makes 2-pt shot from 14 ft,2,79-79,,
6:52.0,,,79-79,,Washington full timeout
6:39.0,,,79-82,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
6:12.0,Turnover by M. Harrell (lost ball; steal by M. Morris),,79-82,,
5:53.0,,,79-82,,M. Morris misses 2-pt shot from 3 ft
5:50.0,Defensive rebound by L. Williams,,79-82,,
5:48.0,J. Evans misses 2-pt shot from 3 ft (block by J. Wall),,79-82,,
5:48.0,Offensive rebound by M. Harrell,,79-82,,
5:44.0,Turnover by M. Harrell (bad pass; steal by J. Wall),,79-82,,
5:33.0,,,79-82,,Turnover by J. Wall (bad pass; steal by L. Williams)
5:30.0,L. Williams makes 3-pt shot from 25 ft,3,82-82,,
5:07.0,,,82-82,,M. Gortat misses 2-pt shot from 14 ft
5:07.0,Defensive rebound by D. Jordan,,82-82,,
4:58.0,,,82-82,,Personal foul by K. Oubre (drawn by D. Jordan)
4:58.0,LA Clippers full timeout,,82-82,,
4:56.0,Turnover by L. Williams (bad pass; steal by M. Morris),,82-82,,
4:52.0,,,82-84,2,M. Morris makes 2-pt shot at rim
4:45.0,,,82-84,,Personal foul by K. Oubre (drawn by L. Williams)
4:45.0,J. Wilson enters the game for M. Harrell,,82-84,,
4:37.0,J. Evans misses 2-pt shot from 7 ft,,82-84,,
4:36.0,Offensive rebound by D. Jordan,,82-84,,
4:35.0,D. Jordan misses 2-pt shot from 2 ft,,82-84,,
4:35.0,,,82-84,,Defensive rebound by J. Wall
4:29.0,,,82-87,3,J. Wall makes 3-pt shot from 26 ft
4:16.0,J. Wilson misses 3-pt shot from 24 ft,,82-87,,
4:13.0,,,82-87,,Defensive rebound by J. Wall
4:10.0,,,82-87,,J. Wall misses 3-pt shot from 25 ft
4:05.0,Defensive rebound by L. Williams,,82-87,,
4:01.0,J. Wilson misses 2-pt shot from 3 ft,,82-87,,
4:01.0,,,82-87,,Defensive rebound by B. Beal
3:52.0,,,82-89,2,B. Beal makes 2-pt shot from 19 ft
3:51.0,LA Clippers full timeout,,82-89,,
3:34.0,J. Wilson misses 2-pt shot from 4 ft (block by B. Beal),,82-89,,
3:33.0,Offensive rebound by Team,,82-89,,
3:31.0,L. Williams makes 3-pt shot from 23 ft (assist by C. Williams),3,85-89,,
3:11.0,,,85-92,3,K. Oubre makes 3-pt shot from 24 ft (assist by M. Morris)
3:11.0,,,85-92,,Shooting foul by J. Wilson (drawn by K. Oubre)
3:11.0,S. Dekker enters the game for J. Wilson,,85-92,,
3:11.0,,,85-93,1,K. Oubre makes free throw 1 of 1
2:59.0,L. Williams misses 3-pt shot from 29 ft,,85-93,,
2:56.0,,,85-93,,Defensive rebound by M. Morris
2:39.0,,,85-93,,Turnover by J. Wall (bad pass)
2:23.0,C. Williams misses 2-pt shot from 17 ft,,85-93,,
2:20.0,,,85-93,,Defensive rebound by B. Beal
2:16.0,,,85-93,,Shooting foul by J. Evans (drawn by M. Gortat)
2:16.0,,,85-94,1,M. Gortat makes free throw 1 of 2
2:16.0,,,85-94,,M. Gortat misses free throw 2 of 2
2:12.0,,,85-94,,Offensive rebound by M. Gortat
1:51.0,,,85-96,2,J. Wall makes 2-pt shot from 18 ft
1:51.0,,,85-96,,Shooting foul by J. Evans (drawn by J. Wall)
1:51.0,,,85-97,1,J. Wall makes free throw 1 of 1
1:51.0,LA Clippers full timeout,,85-97,,
1:41.0,J. Evans misses 2-pt shot from 1 ft,,85-97,,
1:41.0,Offensive rebound by D. Jordan,,85-97,,
1:41.0,D. Jordan makes 2-pt shot from 1 ft,2,87-97,,
1:26.0,,,87-99,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
1:19.0,J. Evans misses 3-pt shot from 25 ft,,87-99,,
1:16.0,,,87-99,,Defensive rebound by J. Wall
1:07.0,Personal take foul by C. Williams (drawn by J. Wall),,87-99,,
1:07.0,,,87-99,,J. Meeks enters the game for B. Beal
1:07.0,,,87-99,,T. Satoransky enters the game for M. Morris
1:07.0,,,87-99,,C. McCullough enters the game for M. Gortat
1:07.0,B. Johnson enters the game for D. Jordan,,87-99,,
1:07.0,S. Thornwell enters the game for L. Williams,,87-99,,
1:07.0,,,87-99,,J. Wall misses free throw 2 of 2
1:07.0,Defensive rebound by B. Johnson,,87-99,,
1:07.0,,,87-100,1,J. Wall makes free throw 1 of 2
0:55.0,B. Johnson makes 2-pt shot from 1 ft (assist by J. Evans),2,89-100,,
0:33.0,,,89-100,,K. Oubre misses 3-pt shot from 27 ft
0:29.0,,,89-100,,Offensive rebound by C. McCullough
0:26.0,,,89-100,,J. Wall misses 3-pt shot from 26 ft
0:26.0,Defensive rebound by J. Evans,,89-100,,
0:21.0,S. Dekker makes 2-pt shot from 1 ft (assist by J. Evans),2,91-100,,
