time,New York,pts.away,score,pts.home,Houston
3:49.0,K. O'Quinn makes 2-pt shot from 3 ft (assist by J. Jack),2,96-112,,
3:49.0,Shooting foul by T. Black (drawn by K. O'Quinn),,96-112,,
3:49.0,,,96-112,,L. Mbah a Moute enters the game for C. Paul
3:49.0,K. O'Quinn makes free throw 1 of 1,1,97-112,,
3:36.0,,,97-112,,J. Harden misses 3-pt shot from 28 ft
3:32.0,,,97-112,,Offensive rebound by L. Mbah a Moute
3:19.0,,,97-112,,T. Ariza misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by Team,,97-112,,
3:19.0,,,97-112,,Loose ball foul by T. Black (drawn by K. O'Quinn)
3:19.0,K. O'Quinn makes free throw 1 of 2,1,98-112,,
3:19.0,,,98-112,,C. Capela enters the game for T. Black
3:19.0,K. O'Quinn makes free throw 2 of 2,1,99-112,,
3:01.0,,,99-112,,Turnover by C. Capela (lost ball; steal by K. O'Quinn)
2:58.0,Turnover by J. Jack (bad pass),,99-112,,
2:44.0,,,99-112,,J. Harden misses 2-pt shot from 18 ft
2:42.0,Defensive rebound by K. O'Quinn,,99-112,,
2:37.0,J. Jack misses 3-pt shot from 26 ft,,99-112,,
2:34.0,,,99-112,,Defensive rebound by J. Harden
2:22.0,,,99-112,,P. Tucker misses 3-pt shot from 25 ft
2:22.0,Defensive rebound by K. O'Quinn,,99-112,,
2:22.0,New York full timeout,,99-112,,
2:14.0,Offensive foul by K. O'Quinn (drawn by T. Ariza),,99-112,,
2:14.0,Turnover by K. O'Quinn (offensive foul),,99-112,,
2:04.0,,,99-114,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
1:53.0,T. Hardaway makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,101-114,,
1:37.0,,,101-114,,J. Harden misses 3-pt shot from 26 ft
1:36.0,Defensive rebound by Team,,101-114,,
1:36.0,,,101-114,,Loose ball foul by C. Capela (drawn by K. O'Quinn)
1:36.0,K. O'Quinn makes free throw 1 of 2,1,102-114,,
1:36.0,K. O'Quinn misses free throw 2 of 2,,102-114,,
1:33.0,,,102-114,,Defensive rebound by P. Tucker
1:14.0,,,102-114,,J. Harden misses 2-pt shot from 14 ft
1:10.0,Defensive rebound by M. Beasley,,102-114,,
1:00.0,M. Beasley misses 3-pt shot from 23 ft,,102-114,,
0:58.0,,,102-114,,Defensive rebound by P. Tucker
0:56.0,Personal foul by T. Hardaway (drawn by P. Tucker),,102-114,,
0:56.0,D. Dotson enters the game for T. Hardaway,,102-114,,
0:56.0,F. Ntilikina enters the game for C. Lee,,102-114,,
0:56.0,W. Hernangomez enters the game for K. O'Quinn,,102-114,,
0:56.0,R. Baker enters the game for J. Jack,,102-114,,
0:48.0,,,102-117,3,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden)
0:30.0,R. Baker misses 2-pt shot from 2 ft,,102-117,,
0:28.0,Offensive rebound by M. Beasley,,102-117,,
0:25.0,Turnover by M. Beasley (lost ball; steal by L. Mbah a Moute),,102-117,,
0:07.0,,,102-117,,J. Harden misses 2-pt shot from 7 ft
0:05.0,,,102-117,,Offensive rebound by C. Capela
0:03.0,,,102-117,,C. Capela misses 2-pt shot from 4 ft
0:01.0,Defensive rebound by M. Beasley,,102-117,,
