time,Detroit,pts.away,score,pts.home,San Antonio
3:11.0,,,86-90,2,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills)
3:11.0,Detroit full timeout,,86-90,,
2:56.0,R. Jackson makes 2-pt shot from 13 ft,2,88-90,,
2:40.0,,,88-90,,M. Ginobili misses 2-pt shot from 2 ft (block by A. Drummond)
2:36.0,,,88-90,,Offensive rebound by P. Mills
2:34.0,,,88-92,2,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Mills)
2:13.0,R. Jackson misses 2-pt shot from 13 ft,,88-92,,
2:11.0,,,88-92,,Defensive rebound by L. Aldridge
2:10.0,,,88-92,,Turnover by L. Aldridge (bad pass; steal by S. Johnson)
2:05.0,A. Bradley misses 3-pt shot from 25 ft,,88-92,,
2:05.0,,,88-92,,Defensive rebound by R. Gay
1:51.0,,,88-94,2,L. Aldridge makes 2-pt shot from 2 ft (assist by R. Gay)
1:44.0,Shooting foul by L. Aldridge (drawn by R. Jackson),,88-94,,
1:44.0,R. Jackson makes free throw 1 of 2,1,89-94,,
1:44.0,R. Jackson misses free throw 2 of 2,,89-94,,
1:42.0,Offensive rebound by Team,,89-94,,
1:26.0,R. Jackson misses 3-pt shot from 22 ft,,89-94,,
1:22.0,,,89-94,,Defensive rebound by L. Aldridge
1:02.0,,,89-94,,L. Aldridge misses 2-pt shot from 4 ft
1:00.0,Defensive rebound by S. Johnson,,89-94,,
0:57.0,,,89-94,,Personal foul by D. Green (drawn by S. Johnson)
0:57.0,S. Johnson makes free throw 1 of 2,1,90-94,,
0:57.0,S. Johnson makes free throw 2 of 2,1,91-94,,
0:36.0,,,91-94,,Turnover by M. Ginobili (lost ball; steal by S. Johnson)
0:28.0,R. Jackson misses 2-pt shot from 8 ft (block by D. Green),,91-94,,
0:23.0,Offensive rebound by A. Drummond,,91-94,,
0:23.0,A. Drummond makes 2-pt shot at rim,2,93-94,,
0:05.0,,,93-94,,R. Gay misses 3-pt shot from 25 ft
0:05.0,,,93-94,,Offensive rebound by Team
0:05.0,Loose ball foul by T. Harris (drawn by L. Aldridge),,93-94,,
0:05.0,,,93-95,1,L. Aldridge makes free throw 1 of 2
0:05.0,E. Moreland enters the game for T. Harris,,93-95,,
0:05.0,,,93-96,1,L. Aldridge makes free throw 2 of 2
0:05.0,Detroit full timeout,,93-96,,
0:05.0,A. Tolliver enters the game for S. Johnson,,93-96,,
0:05.0,T. Harris enters the game for E. Moreland,,93-96,,
0:02.0,T. Harris misses 3-pt shot from 26 ft (block by R. Gay),,93-96,,
0:02.0,,,93-96,,Defensive rebound by D. Green
