time,Houston,pts.away,score,pts.home,Detroit
0:00.0,C. Paul misses 3-pt shot from 43 ft,,58-57,,
0:00.0,Offensive rebound by Team,,58-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,58-60,3,T. Harris makes 3-pt shot from 24 ft (assist by R. Bullock)
11:17.0,C. Capela misses 2-pt shot from 2 ft,,58-60,,
11:15.0,,,58-60,,Defensive rebound by E. Moreland
11:09.0,,,58-60,,I. Smith misses 2-pt shot from 2 ft
11:05.0,Defensive rebound by T. Ariza,,58-60,,
10:56.0,T. Ariza makes 3-pt shot from 26 ft (assist by C. Paul),3,61-60,,
10:36.0,,,61-60,,T. Harris misses 3-pt shot from 26 ft
10:33.0,,,61-60,,Offensive rebound by E. Moreland
10:26.0,,,61-60,,I. Smith misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by T. Ariza,,61-60,,
10:12.0,R. Anderson misses 3-pt shot from 26 ft,,61-60,,
10:09.0,,,61-60,,Defensive rebound by A. Bradley
9:52.0,,,61-60,,Turnover by A. Bradley (lost ball; steal by C. Paul)
9:48.0,E. Gordon misses 2-pt shot from 3 ft (block by E. Moreland),,61-60,,
9:48.0,,,61-60,,Defensive rebound by Team
9:35.0,,,61-62,2,I. Smith makes 2-pt shot from 7 ft
9:30.0,,,61-62,,Personal foul by R. Bullock (drawn by E. Gordon)
9:22.0,C. Capela makes 2-pt shot from 3 ft (assist by C. Paul),2,63-62,,
9:20.0,Technical foul by E. Gordon,,63-62,,
9:20.0,,,63-63,1,T. Harris makes technical free throw
9:03.0,,,63-63,,Shooting foul by R. Anderson (drawn by R. Bullock)
9:03.0,,,63-63,,R. Bullock misses free throw 1 of 2
9:03.0,,,63-63,,Offensive rebound by Team
9:03.0,,,63-64,1,R. Bullock makes free throw 2 of 2
8:48.0,T. Ariza misses 3-pt shot from 26 ft,,63-64,,
8:44.0,,,63-64,,Defensive rebound by T. Harris
8:32.0,,,63-66,2,I. Smith makes 2-pt shot from 5 ft
8:20.0,C. Capela misses 2-pt shot from 1 ft,,63-66,,
8:16.0,Offensive rebound by C. Capela,,63-66,,
8:16.0,C. Capela makes 2-pt shot at rim,2,65-66,,
8:07.0,,,65-66,,A. Bradley misses 2-pt shot from 14 ft
8:03.0,Defensive rebound by R. Anderson,,65-66,,
7:48.0,Turnover by E. Gordon (lost ball; steal by E. Moreland),,65-66,,
7:26.0,,,65-68,2,I. Smith makes 2-pt shot from 18 ft (assist by A. Bradley)
7:12.0,Offensive foul by C. Paul (drawn by A. Bradley),,65-68,,
7:12.0,Turnover by C. Paul (offensive foul),,65-68,,
7:12.0,G. Green enters the game for E. Gordon,,65-68,,
6:59.0,,,65-70,2,A. Bradley makes 2-pt shot at rim (assist by E. Moreland)
6:43.0,T. Ariza misses 3-pt shot from 22 ft,,65-70,,
6:43.0,,,65-70,,Defensive rebound by Team
6:43.0,,,65-70,,Detroit full timeout
6:30.0,,,65-72,2,T. Harris makes 2-pt shot at rim (assist by A. Bradley)
6:15.0,G. Green misses 3-pt shot from 27 ft,,65-72,,
6:12.0,Offensive rebound by R. Anderson,,65-72,,
6:05.0,C. Paul misses 3-pt shot from 27 ft,,65-72,,
6:05.0,,,65-72,,Defensive rebound by E. Moreland
5:38.0,,,65-72,,T. Harris misses 2-pt shot from 15 ft
