time,Brooklyn,pts.away,score,pts.home,Milwaukee
4:48.0,Defensive rebound by C. LeVert,,100-103,,
4:35.0,Turnover by R. Hollis-Jefferson (bad pass; steal by J. Parker),,100-103,,
4:27.0,,,100-103,,K. Middleton misses 3-pt shot from 22 ft
4:25.0,Defensive rebound by R. Hollis-Jefferson,,100-103,,
4:21.0,Brooklyn full timeout,,100-103,,
4:21.0,J. Harris enters the game for C. LeVert,,100-103,,
4:06.0,J. Harris makes 2-pt shot from 5 ft,2,102-103,,
3:52.0,,,102-103,,J. Parker misses 2-pt shot from 1 ft (block by J. Allen)
3:48.0,Defensive rebound by R. Hollis-Jefferson,,102-103,,
3:27.0,J. Harris makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,105-103,,
3:10.0,,,105-105,2,K. Middleton makes 2-pt shot from 14 ft
2:43.0,A. Crabbe makes 3-pt shot from 28 ft (assist by J. Allen),3,108-105,,
2:16.0,,,108-105,,G. Antetokounmpo misses 2-pt shot from 10 ft
2:14.0,Defensive rebound by R. Hollis-Jefferson,,108-105,,
1:55.0,D. Russell misses 3-pt shot from 27 ft,,108-105,,
1:52.0,,,108-105,,Defensive rebound by G. Antetokounmpo
1:42.0,,,108-105,,G. Antetokounmpo misses 3-pt shot from 26 ft
1:39.0,Defensive rebound by A. Crabbe,,108-105,,
1:18.0,A. Crabbe makes 3-pt shot from 26 ft (assist by D. Russell),3,111-105,,
1:18.0,,,111-105,,Milwaukee full timeout
1:18.0,C. LeVert enters the game for D. Russell,,111-105,,
1:10.0,,,111-105,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson)
1:10.0,,,111-105,,Offensive rebound by Team
1:07.0,,,111-105,,E. Bledsoe misses 3-pt shot from 23 ft
1:04.0,,,111-105,,Offensive rebound by K. Middleton
1:02.0,,,111-105,,J. Parker misses 3-pt shot from 27 ft
0:59.0,Defensive rebound by C. LeVert,,111-105,,
0:38.0,A. Crabbe misses 3-pt shot from 26 ft,,111-105,,
0:35.0,Offensive rebound by J. Allen,,111-105,,
0:33.0,,,111-105,,Personal foul by J. Parker (drawn by J. Harris)
0:33.0,J. Harris makes free throw 1 of 2,1,112-105,,
0:33.0,J. Harris makes free throw 2 of 2,1,113-105,,
0:33.0,,,113-105,,Milwaukee full timeout
0:31.0,,,113-105,,Shooting foul by A. Crabbe (drawn by K. Middleton)
0:31.0,,,113-106,1,K. Middleton makes free throw 1 of 3
0:31.0,,,113-107,1,K. Middleton makes free throw 2 of 3
0:31.0,D. Russell enters the game for C. LeVert,,113-107,,
0:31.0,,,113-108,1,K. Middleton makes free throw 3 of 3
0:29.0,,,113-108,,Personal take foul by K. Middleton (drawn by A. Crabbe)
0:29.0,A. Crabbe makes free throw 1 of 2,1,114-108,,
0:29.0,C. LeVert enters the game for D. Russell,,114-108,,
0:29.0,A. Crabbe makes free throw 2 of 2,1,115-108,,
0:21.0,,,115-108,,G. Antetokounmpo misses 2-pt shot from 4 ft (block by J. Allen)
0:20.0,Defensive rebound by R. Hollis-Jefferson,,115-108,,
0:20.0,,,115-108,,Personal foul by J. Parker (drawn by R. Hollis-Jefferson)
0:20.0,R. Hollis-Jefferson makes free throw 1 of 2,1,116-108,,
0:20.0,R. Hollis-Jefferson makes free throw 2 of 2,1,117-108,,
0:15.0,,,117-110,2,G. Antetokounmpo makes 2-pt shot at rim
0:15.0,,,117-110,,Shooting foul by J. Allen (drawn by G. Antetokounmpo)
0:15.0,D. Russell enters the game for C. LeVert,,117-110,,
0:15.0,,,117-111,1,G. Antetokounmpo makes free throw 1 of 1
0:12.0,,,117-111,,Personal take foul by J. Henson (drawn by A. Crabbe)
0:12.0,A. Crabbe makes free throw 1 of 2,1,118-111,,
0:12.0,C. LeVert enters the game for D. Russell,,118-111,,
0:12.0,A. Crabbe makes free throw 2 of 2,1,119-111,,
0:07.0,,,119-111,,E. Bledsoe misses 2-pt shot from 20 ft
0:07.0,Defensive rebound by Team,,119-111,,
