time,Brooklyn,pts.away,score,pts.home,LA Lakers
10:50.0,,,87-100,,Personal foul by J. Clarkson (drawn by R. Hollis-Jefferson)
10:43.0,D. Russell misses 2-pt shot from 17 ft,,87-100,,
10:39.0,Offensive rebound by D. Carroll,,87-100,,
10:34.0,Shooting foul by B. Lopez (drawn by J. Harris),,87-100,,
10:34.0,J. Harris makes free throw 1 of 3,1,88-100,,
10:34.0,,,88-100,,LA Lakers full timeout
10:34.0,,,88-100,,J. Hart enters the game for C. Brewer
10:34.0,J. Harris makes free throw 2 of 3,1,89-100,,
10:34.0,J. Harris makes free throw 3 of 3,1,90-100,,
10:20.0,,,90-100,,Shooting foul by D. Carroll (drawn by K. Kuzma)
10:20.0,,,90-101,1,K. Kuzma makes free throw 1 of 2
10:20.0,,,90-102,1,K. Kuzma makes free throw 2 of 2
10:12.0,J. Harris misses 3-pt shot from 24 ft,,90-102,,
10:09.0,,,90-102,,Defensive rebound by K. Kuzma
9:57.0,,,90-102,,B. Lopez misses 3-pt shot from 27 ft
9:53.0,Defensive rebound by J. Harris,,90-102,,
9:45.0,Turnover by D. Russell (lost ball; steal by J. Hart),,90-102,,
9:39.0,,,90-102,,T. Ennis misses 3-pt shot from 27 ft
9:36.0,Defensive rebound by D. Russell,,90-102,,
9:34.0,,,90-102,,Personal foul by J. Hart (drawn by R. Hollis-Jefferson)
9:34.0,A. Crabbe enters the game for J. Harris,,90-102,,
9:24.0,D. Russell misses 2-pt shot from 7 ft,,90-102,,
9:22.0,,,90-102,,Defensive rebound by B. Lopez
9:06.0,,,90-104,2,T. Ennis makes 2-pt shot from 3 ft (assist by B. Lopez)
8:57.0,R. Hollis-Jefferson misses 2-pt shot from 14 ft,,90-104,,
8:54.0,,,90-104,,Defensive rebound by J. Clarkson
8:45.0,,,90-104,,Turnover by J. Hart (traveling)
8:45.0,Brooklyn full timeout,,90-104,,
8:36.0,A. Crabbe misses 3-pt shot from 25 ft,,90-104,,
8:33.0,,,90-104,,Defensive rebound by K. Kuzma
8:22.0,,,90-104,,Turnover by B. Lopez (bad pass; steal by R. Hollis-Jefferson)
8:18.0,S. Dinwiddie misses 3-pt shot from 25 ft,,90-104,,
8:13.0,,,90-104,,Defensive rebound by B. Lopez
7:58.0,,,90-104,,J. Clarkson misses 2-pt shot from 2 ft
7:54.0,Defensive rebound by R. Hollis-Jefferson,,90-104,,
7:52.0,D. Carroll misses 3-pt shot from 25 ft,,90-104,,
7:49.0,,,90-104,,Defensive rebound by B. Lopez
7:35.0,,,90-104,,J. Clarkson misses 2-pt shot from 6 ft
7:33.0,Defensive rebound by D. Carroll,,90-104,,
7:29.0,S. Dinwiddie misses 3-pt shot from 26 ft,,90-104,,
7:25.0,,,90-104,,Defensive rebound by J. Clarkson
7:06.0,,,90-106,2,T. Ennis makes 2-pt shot from 2 ft (assist by B. Lopez)
6:56.0,D. Carroll makes 2-pt shot from 2 ft (assist by D. Russell),2,92-106,,
6:56.0,Shooting foul by T. Ennis (drawn by D. Carroll),,92-106,,
6:56.0,,,92-106,,K. Caldwell-Pope enters the game for J. Hart
6:56.0,,,92-106,,B. Ingram enters the game for T. Ennis
6:56.0,C. LeVert enters the game for S. Dinwiddie,,92-106,,
6:56.0,D. Carroll makes free throw 1 of 1,1,93-106,,
6:40.0,,,93-106,,B. Lopez misses 2-pt shot from 12 ft
6:40.0,Defensive rebound by Team,,93-106,,
6:36.0,A. Crabbe makes 2-pt shot from 3 ft (assist by D. Carroll),2,95-106,,
6:36.0,Shooting foul by B. Ingram (drawn by A. Crabbe),,95-106,,
6:36.0,,,95-106,,LA Lakers full timeout
6:36.0,,,95-106,,L. Ball enters the game for J. Clarkson
6:36.0,A. Crabbe makes free throw 1 of 1,1,96-106,,
6:18.0,,,96-106,,B. Ingram misses 2-pt shot from 1 ft
6:12.0,,,96-106,,Offensive rebound by B. Lopez
6:12.0,,,96-106,,B. Lopez misses 2-pt shot at rim
6:12.0,Defensive rebound by D. Carroll,,96-106,,
6:09.0,D. Russell misses 3-pt shot from 26 ft,,96-106,,
6:09.0,Offensive rebound by Team,,96-106,,
6:09.0,Brooklyn full timeout,,96-106,,
6:07.0,R. Hollis-Jefferson makes 2-pt shot from 15 ft (assist by A. Crabbe),2,98-106,,
5:52.0,,,98-106,,L. Ball misses 2-pt shot from 1 ft
5:50.0,,,98-106,,Offensive rebound by B. Lopez
5:48.0,,,98-108,2,B. Lopez makes 2-pt shot at rim
5:43.0,D. Carroll makes 2-pt shot from 6 ft,2,100-108,,
5:43.0,Shooting foul by K. Kuzma (drawn by D. Carroll),,100-108,,
5:43.0,D. Carroll makes free throw 1 of 1,1,101-108,,
5:33.0,,,101-110,2,L. Ball makes 2-pt shot from 18 ft
5:33.0,,,101-110,,Shooting foul by R. Hollis-Jefferson (drawn by L. Ball)
5:33.0,,,101-110,,L. Ball misses free throw 1 of 1
5:31.0,Defensive rebound by D. Russell,,101-110,,
5:14.0,C. LeVert misses 2-pt shot from 2 ft,,101-110,,
5:11.0,,,101-110,,Defensive rebound by K. Kuzma
5:00.0,,,101-110,,K. Kuzma misses 3-pt shot from 28 ft
4:56.0,Defensive rebound by A. Crabbe,,101-110,,
4:48.0,A. Crabbe makes 2-pt shot from 1 ft (assist by D. Russell),2,103-110,,
4:48.0,,,103-110,,Personal block foul by K. Kuzma (drawn by A. Crabbe)
4:48.0,,,103-110,,Turnover by K. Kuzma (turnover)
4:48.0,A. Crabbe makes free throw 1 of 1,1,104-110,,
4:31.0,,,104-110,,Shooting foul by C. LeVert (drawn by B. Ingram)
4:31.0,,,104-110,,B. Ingram misses free throw 1 of 2
4:31.0,,,104-110,,Offensive rebound by Team
4:31.0,J. Harris enters the game for C. LeVert,,104-110,,
4:31.0,,,104-110,,B. Ingram misses free throw 2 of 2
4:28.0,Defensive rebound by D. Russell,,104-110,,
4:17.0,Turnover by A. Crabbe (traveling),,104-110,,
4:09.0,,,104-110,,L. Ball misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by A. Crabbe,,104-110,,
3:59.0,R. Hollis-Jefferson misses 3-pt shot from 23 ft,,104-110,,
3:55.0,Offensive rebound by D. Carroll,,104-110,,
3:53.0,D. Carroll makes 2-pt shot from 1 ft,2,106-110,,
3:33.0,,,106-112,2,B. Lopez makes 2-pt shot from 11 ft
3:22.0,D. Russell misses 2-pt shot from 2 ft,,106-112,,
3:19.0,,,106-112,,Defensive rebound by K. Kuzma
2:59.0,,,106-114,2,B. Ingram makes 2-pt shot from 13 ft
2:45.0,A. Crabbe misses 3-pt shot from 24 ft,,106-114,,
2:42.0,,,106-114,,Defensive rebound by L. Ball
2:39.0,,,106-116,2,K. Kuzma makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
2:22.0,J. Harris makes 3-pt shot from 24 ft (assist by D. Russell),3,109-116,,
2:22.0,,,109-116,,LA Lakers full timeout
2:22.0,,,109-116,,J. Randle enters the game for B. Lopez
2:10.0,,,109-118,2,J. Randle makes 2-pt shot at rim (assist by L. Ball)
1:58.0,Shooting foul by J. Randle (drawn by R. Hollis-Jefferson),,109-118,,
1:58.0,,,109-118,,B. Lopez enters the game for J. Randle
1:58.0,R. Hollis-Jefferson misses free throw 1 of 2,,109-118,,
1:58.0,Offensive rebound by Team,,109-118,,
1:58.0,R. Hollis-Jefferson makes free throw 2 of 2,1,110-118,,
1:42.0,,,110-120,2,B. Lopez makes 2-pt shot from 2 ft (assist by L. Ball)
1:33.0,D. Carroll misses 2-pt shot from 1 ft,,110-120,,
1:31.0,,,110-120,,Defensive rebound by B. Ingram
1:27.0,,,110-120,,Shooting foul by R. Hollis-Jefferson (drawn by B. Ingram)
1:27.0,,,110-121,1,B. Ingram makes free throw 1 of 2
1:27.0,T. Zeller enters the game for D. Russell,,110-121,,
1:27.0,J. Wiley enters the game for D. Carroll,,110-121,,
1:27.0,S. Kilpatrick enters the game for R. Hollis-Jefferson,,110-121,,
1:27.0,,,110-121,,B. Ingram misses free throw 2 of 2
1:23.0,Defensive rebound by A. Crabbe,,110-121,,
1:05.0,T. Zeller misses 2-pt shot from 4 ft,,110-121,,
1:03.0,,,110-121,,Defensive rebound by L. Ball
0:46.0,,,110-121,,J. Hart enters the game for B. Lopez
0:46.0,C. LeVert enters the game for J. Harris,,110-121,,
0:46.0,S. Dinwiddie enters the game for A. Crabbe,,110-121,,
0:46.0,,,110-124,3,B. Ingram makes 3-pt shot from 25 ft (assist by L. Ball)
0:42.0,Brooklyn full timeout,,110-124,,
0:25.0,S. Dinwiddie misses 2-pt shot from 20 ft,,110-124,,
0:22.0,Offensive rebound by J. Wiley,,110-124,,
0:17.0,,,110-124,,Personal foul by L. Ball (drawn by C. LeVert)
0:17.0,C. LeVert makes free throw 1 of 2,1,111-124,,
0:17.0,C. LeVert makes free throw 2 of 2,1,112-124,,
