time,Cleveland,pts.away,score,pts.home,Orlando
3:43.0,,,93-108,,D. Augustin misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by Team,,93-108,,
3:32.0,L. James misses 2-pt shot from 3 ft,,93-108,,
3:29.0,,,93-108,,Defensive rebound by S. Mack
3:16.0,,,93-108,,Turnover by J. Simmons (step out of bounds)
3:05.0,I. Thomas misses 3-pt shot from 22 ft,,93-108,,
3:01.0,Offensive rebound by T. Thompson,,93-108,,
2:57.0,D. Wade misses 3-pt shot from 24 ft,,93-108,,
2:57.0,,,93-108,,Defensive rebound by K. Birch
2:37.0,,,93-108,,E. Fournier misses 3-pt shot from 24 ft
2:35.0,,,93-108,,Offensive rebound by J. Simmons
2:35.0,,,93-110,2,J. Simmons makes 2-pt shot from 3 ft
2:35.0,,,93-110,,Shooting foul by I. Thomas (drawn by J. Simmons)
2:35.0,,,93-111,1,J. Simmons makes free throw 1 of 1
2:35.0,Cleveland full timeout,,93-111,,
2:35.0,D. Rose enters the game for I. Thomas,,93-111,,
2:35.0,J. Green enters the game for D. Wade,,93-111,,
2:35.0,C. Osman enters the game for T. Thompson,,93-111,,
2:35.0,J. Calderon enters the game for L. James,,93-111,,
2:35.0,C. Frye enters the game for J. Crowder,,93-111,,
2:14.0,C. Frye makes 2-pt shot from 11 ft,2,95-111,,
1:49.0,,,95-113,2,D. Augustin makes 2-pt shot from 3 ft
1:37.0,C. Frye makes 3-pt shot from 25 ft (assist by J. Calderon),3,98-113,,
1:15.0,,,98-113,,J. Simmons misses 2-pt shot from 11 ft
1:12.0,,,98-113,,Offensive rebound by J. Simmons
1:12.0,,,98-115,2,J. Simmons makes 2-pt shot at rim
0:50.0,J. Green misses 2-pt shot from 3 ft,,98-115,,
0:47.0,,,98-115,,Defensive rebound by K. Birch
0:32.0,,,98-115,,S. Mack misses 3-pt shot from 25 ft
0:28.0,,,98-115,,Offensive rebound by E. Fournier
0:28.0,,,98-115,,Shooting foul by C. Osman (drawn by E. Fournier)
0:28.0,,,98-116,1,E. Fournier makes free throw 1 of 2
0:28.0,,,98-116,,E. Fournier misses free throw 2 of 2
0:25.0,Defensive rebound by C. Frye,,98-116,,
0:15.0,D. Rose misses 3-pt shot from 25 ft,,98-116,,
0:12.0,,,98-116,,Defensive rebound by J. Simmons
