time,Minnesota,pts.away,score,pts.home,LA Clippers
1:23.0,K. Towns misses 2-pt shot from 4 ft (block by W. Johnson),,111-102,,
1:20.0,,,111-102,,Defensive rebound by A. Rivers
1:19.0,Personal foul by A. Wiggins (drawn by A. Rivers),,111-102,,
1:19.0,,,111-102,,A. Rivers misses free throw 1 of 2
1:19.0,,,111-102,,Offensive rebound by Team
1:19.0,,,111-103,1,A. Rivers makes free throw 2 of 2
1:00.0,J. Butler misses 2-pt shot from 19 ft,,111-103,,
0:57.0,,,111-103,,Defensive rebound by D. Gallinari
0:48.0,,,111-103,,Turnover by A. Rivers (bad pass)
0:28.0,J. Teague misses 3-pt shot from 24 ft,,111-103,,
0:24.0,,,111-103,,Defensive rebound by D. Gallinari
0:21.0,Personal foul by T. Gibson (drawn by D. Gallinari),,111-103,,
0:21.0,,,111-104,1,D. Gallinari makes free throw 1 of 2
0:21.0,,,111-104,,C. Williams enters the game for D. Jordan
0:21.0,,,111-104,,S. Dekker enters the game for L. Williams
0:21.0,,,111-105,1,D. Gallinari makes free throw 2 of 2
0:19.0,,,111-105,,Personal take foul by S. Dekker (drawn by J. Teague)
0:19.0,J. Teague makes free throw 1 of 2,1,112-105,,
0:19.0,,,112-105,,L. Williams enters the game for D. Gallinari
0:19.0,,,112-105,,J. Wilson enters the game for C. Williams
0:19.0,J. Teague makes free throw 2 of 2,1,113-105,,
0:12.0,,,113-105,,L. Williams misses 3-pt shot from 25 ft
0:09.0,,,113-105,,Offensive rebound by Team
0:03.0,,,113-107,2,A. Rivers makes 2-pt shot from 1 ft
