time,Oklahoma City,pts.away,score,pts.home,Milwaukee
2:35.0,,,104-83,,R. Vaughn misses 2-pt shot from 17 ft
2:33.0,Defensive rebound by J. Huestis,,104-83,,
2:21.0,,,104-83,,Personal foul by D. Liggins (drawn by J. Grant)
2:21.0,J. Grant makes free throw 1 of 2,1,105-83,,
2:21.0,T. Ferguson enters the game for R. Felton,,105-83,,
2:21.0,J. Grant makes free throw 2 of 2,1,106-83,,
2:01.0,,,106-83,,Shooting foul by T. Ferguson (drawn by S. Brown)
2:01.0,,,106-85,2,D. Liggins makes 2-pt shot from 1 ft
2:01.0,Violation by J. Grant (def goaltending),,106-85,,
2:01.0,D. Johnson enters the game for P. Patterson,,106-85,,
2:01.0,,,106-86,1,D. Liggins makes free throw 1 of 1
1:42.0,J. Grant makes 2-pt shot from 2 ft (assist by J. Huestis),2,108-86,,
1:21.0,,,108-89,3,D. Liggins makes 3-pt shot from 25 ft (assist by R. Vaughn)
1:06.0,J. Huestis misses 3-pt shot from 26 ft,,108-89,,
1:02.0,,,108-89,,Defensive rebound by M. Teletovic
0:53.0,,,108-91,2,R. Vaughn makes 2-pt shot from 1 ft (assist by S. Brown)
0:36.0,J. Grant makes 2-pt shot from 1 ft (assist by A. Abrines),2,110-91,,
0:23.0,,,110-91,,Turnover by D. Liggins (bad pass; steal by A. Abrines)
0:22.0,Turnover by A. Abrines (bad pass),,110-91,,
