time,Chicago,pts.away,score,pts.home,Sacramento
1:37.0,,,93-93,,G. Temple misses 2-pt shot from 2 ft
1:35.0,,,93-93,,Offensive rebound by W. Cauley-Stein
1:33.0,,,93-96,3,B. Hield makes 3-pt shot from 24 ft (assist by W. Cauley-Stein)
1:33.0,Chicago full timeout,,93-96,,
1:33.0,,,93-96,,G. Hill enters the game for G. Temple
1:33.0,,,93-96,,J. Jackson enters the game for B. Hield
1:15.0,B. Portis makes 3-pt shot from 25 ft (assist by J. Grant),3,96-96,,
0:52.0,,,96-99,3,B. Bogdanovic makes 3-pt shot from 25 ft
0:32.0,Z. LaVine misses 3-pt shot from 26 ft,,96-99,,
0:29.0,Offensive rebound by J. Grant,,96-99,,
0:25.0,B. Portis misses 3-pt shot from 25 ft,,96-99,,
0:25.0,,,96-99,,Defensive rebound by W. Cauley-Stein
0:14.0,,,96-101,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by J. Jackson)
0:14.0,Chicago full timeout,,96-101,,
0:14.0,,,96-101,,G. Temple enters the game for Z. Randolph
0:14.0,D. Valentine enters the game for P. Zipser,,96-101,,
0:12.0,Z. LaVine makes 2-pt shot from 2 ft (assist by J. Grant),2,98-101,,
0:12.0,,,98-101,,Violation by W. Cauley-Stein (def goaltending)
0:12.0,Personal foul by B. Portis (drawn by W. Cauley-Stein),,98-101,,
0:12.0,,,98-101,,Z. Randolph enters the game for W. Cauley-Stein
0:11.0,Personal foul by J. Holiday (drawn by G. Hill),,98-101,,
0:11.0,,,98-102,1,G. Hill makes free throw 1 of 2
0:11.0,,,98-102,,W. Cauley-Stein enters the game for Z. Randolph
0:11.0,,,98-102,,G. Hill misses free throw 2 of 2
0:09.0,Defensive rebound by Z. LaVine,,98-102,,
0:07.0,Z. LaVine misses 3-pt shot from 26 ft,,98-102,,
0:05.0,,,98-102,,Defensive rebound by Team
0:05.0,Loose ball foul by B. Portis (drawn by G. Hill),,98-102,,
0:05.0,,,98-103,1,G. Hill makes free throw 1 of 2
0:05.0,,,98-104,1,G. Hill makes free throw 2 of 2
0:00.0,J. Grant misses 3-pt shot from 24 ft,,98-104,,
0:00.0,Offensive rebound by Team,,98-104,,
