time,Sacramento,pts.away,score,pts.home,Phoenix
3:35.0,B. Bogdanovic misses 2-pt shot from 1 ft,,83-92,,
3:32.0,,,83-92,,Defensive rebound by A. Len
3:19.0,Shooting block foul by B. Hield (drawn by J. Jackson),,83-92,,
3:19.0,,,83-93,1,J. Jackson makes free throw 1 of 2
3:19.0,,,83-94,1,J. Jackson makes free throw 2 of 2
3:10.0,D. Fox misses 3-pt shot from 25 ft,,83-94,,
3:07.0,,,83-94,,Defensive rebound by M. Chriss
2:52.0,,,83-94,,Turnover by T. Ulis (lost ball; steal by W. Cauley-Stein)
2:48.0,B. Hield makes 2-pt shot at rim (assist by W. Cauley-Stein),2,85-94,,
2:22.0,,,85-94,,T. Ulis misses 3-pt shot from 32 ft
2:20.0,Defensive rebound by J. Jackson,,85-94,,
2:14.0,J. Jackson misses 3-pt shot from 26 ft,,85-94,,
2:10.0,,,85-94,,Defensive rebound by J. Jackson
1:57.0,,,85-94,,Turnover by J. Jackson (lost ball; steal by B. Hield)
1:54.0,Shooting foul by J. Jackson (drawn by B. Hield),,85-94,,
1:54.0,B. Hield makes free throw 1 of 2,1,86-94,,
1:54.0,B. Hield misses free throw 2 of 2,,86-94,,
1:52.0,,,86-94,,Defensive rebound by M. Chriss
1:36.0,,,86-94,,J. Jackson misses 2-pt shot from 1 ft
1:36.0,Defensive rebound by Team,,86-94,,
1:26.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,86-94,,
1:24.0,,,86-94,,Defensive rebound by M. Chriss
1:02.0,,,86-94,,J. Jackson misses 2-pt shot from 1 ft
1:01.0,Defensive rebound by W. Cauley-Stein,,86-94,,
0:54.0,W. Cauley-Stein makes 2-pt shot at rim (assist by B. Bogdanovic),2,88-94,,
0:31.0,,,88-94,,D. House misses 2-pt shot from 22 ft
0:30.0,,,88-94,,Offensive rebound by Team
0:30.0,,,88-94,,Turnover by Team (shot clock)
0:30.0,Sacramento full timeout,,88-94,,
0:30.0,,,88-94,,S. Harrison enters the game for M. Chriss
0:28.0,B. Hield makes 3-pt shot from 27 ft (assist by D. Fox),3,91-94,,
0:27.0,Personal take foul by B. Bogdanovic (drawn by D. House),,91-94,,
0:27.0,,,91-95,1,D. House makes free throw 1 of 2
0:27.0,,,91-96,1,D. House makes free throw 2 of 2
0:21.0,B. Bogdanovic misses 3-pt shot from 28 ft,,91-96,,
0:19.0,,,91-96,,Defensive rebound by A. Len
0:19.0,Personal foul by B. Hield (drawn by A. Len),,91-96,,
0:19.0,,,91-96,,A. Len misses free throw 1 of 2
0:19.0,,,91-96,,Offensive rebound by Team
0:19.0,,,91-97,1,A. Len makes free throw 2 of 2
0:13.0,D. Fox makes 3-pt shot from 25 ft,3,94-97,,
0:12.0,,,94-97,,Phoenix full timeout
0:12.0,,,94-97,,D. Bender enters the game for S. Harrison
0:12.0,,,94-97,,Phoenix full timeout
0:07.0,,,94-97,,Turnover by D. House (bad pass)
0:07.0,,,94-97,,S. Harrison enters the game for D. Bender
0:07.0,Sacramento full timeout,,94-97,,
0:05.0,B. Bogdanovic misses 3-pt shot from 27 ft,,94-97,,
0:01.0,Offensive rebound by B. Hield,,94-97,,
0:00.0,J. Jackson misses 3-pt shot from 28 ft,,94-97,,
0:00.0,Offensive rebound by Team,,94-97,,
