time,Toronto,pts.away,score,pts.home,Dallas
9:23.0,Offensive rebound by N. Powell,,83-92,,
9:23.0,D. Wright misses 2-pt shot from 9 ft,,83-92,,
9:19.0,,,83-92,,Defensive rebound by D. Powell
8:59.0,,,83-92,,J. Barea misses 3-pt shot from 27 ft
8:57.0,Defensive rebound by F. VanVleet,,83-92,,
8:51.0,N. Powell misses 3-pt shot from 25 ft,,83-92,,
8:47.0,Offensive rebound by J. Poeltl,,83-92,,
8:40.0,Turnover by N. Powell (lost ball; steal by D. Nowitzki),,83-92,,
8:37.0,,,83-94,2,J. Barea makes 2-pt shot from 1 ft (assist by D. Nowitzki)
8:37.0,Toronto full timeout,,83-94,,
8:37.0,,,83-94,,D. Smith enters the game for J. Barea
8:37.0,K. Lowry enters the game for J. Poeltl,,83-94,,
8:37.0,J. Valanciunas enters the game for D. Wright,,83-94,,
8:28.0,N. Powell misses 3-pt shot from 26 ft,,83-94,,
8:24.0,,,83-94,,Defensive rebound by D. Powell
8:08.0,,,83-94,,D. Smith misses 2-pt shot from 1 ft
8:05.0,Defensive rebound by F. VanVleet,,83-94,,
8:05.0,,,83-94,,Personal take foul by D. Harris (drawn by F. VanVleet)
7:53.0,K. Lowry misses 2-pt shot from 11 ft,,83-94,,
7:49.0,Offensive rebound by J. Valanciunas,,83-94,,
7:48.0,Turnover by J. Valanciunas (lost ball; steal by D. Harris),,83-94,,
7:32.0,,,83-94,,D. Nowitzki misses 2-pt shot from 12 ft
7:32.0,,,83-94,,Offensive rebound by D. Powell
7:32.0,Loose ball foul by J. Valanciunas (drawn by D. Powell),,83-94,,
7:32.0,S. Ibaka enters the game for P. Siakam,,83-94,,
7:25.0,,,83-94,,D. Smith misses 2-pt shot from 15 ft
7:22.0,Defensive rebound by J. Valanciunas,,83-94,,
7:04.0,J. Valanciunas makes 2-pt shot from 7 ft,2,85-94,,
6:50.0,,,85-94,,Y. Ferrell misses 3-pt shot from 22 ft
6:46.0,,,85-94,,Offensive rebound by D. Smith
6:34.0,,,85-94,,Turnover by D. Nowitzki (lost ball; steal by F. VanVleet)
6:29.0,Shooting foul by D. Powell (drawn by S. Ibaka),,85-94,,
6:29.0,S. Ibaka misses free throw 1 of 2,,85-94,,
6:29.0,Offensive rebound by Team,,85-94,,
6:29.0,,,85-94,,W. Matthews enters the game for D. Harris
6:29.0,,,85-94,,H. Barnes enters the game for D. Nowitzki
6:29.0,D. DeRozan enters the game for N. Powell,,85-94,,
6:29.0,S. Ibaka makes free throw 2 of 2,1,86-94,,
6:19.0,,,86-94,,W. Matthews misses 3-pt shot from 24 ft
6:15.0,Defensive rebound by S. Ibaka,,86-94,,
5:56.0,Turnover by F. VanVleet (lost ball; steal by D. Powell),,86-94,,
5:51.0,Personal foul by F. VanVleet (drawn by D. Smith),,86-94,,
5:51.0,,,86-94,,S. Mejri enters the game for D. Powell
5:34.0,Personal block foul by K. Lowry (drawn by D. Smith),,86-94,,
5:23.0,,,86-94,,Y. Ferrell misses 3-pt shot from 24 ft
5:19.0,Defensive rebound by J. Valanciunas,,86-94,,
5:14.0,,,86-94,,Personal foul by Y. Ferrell (drawn by S. Ibaka)
5:08.0,,,86-94,,Personal foul by S. Mejri (drawn by J. Valanciunas)
5:08.0,J. Valanciunas misses free throw 1 of 2,,86-94,,
5:08.0,Offensive rebound by Team,,86-94,,
5:08.0,,,86-94,,J. Barea enters the game for Y. Ferrell
5:08.0,J. Valanciunas makes free throw 2 of 2,1,87-94,,
4:51.0,,,87-94,,W. Matthews misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by S. Ibaka,,87-94,,
4:44.0,K. Lowry misses 3-pt shot from 26 ft,,87-94,,
4:41.0,,,87-94,,Defensive rebound by S. Mejri
4:28.0,,,87-94,,J. Barea misses 2-pt shot from 13 ft
4:25.0,Defensive rebound by D. DeRozan,,87-94,,
4:17.0,K. Lowry misses 2-pt shot from 5 ft (block by S. Mejri),,87-94,,
4:14.0,Offensive rebound by S. Ibaka,,87-94,,
4:11.0,K. Lowry misses 2-pt shot from 13 ft,,87-94,,
4:07.0,,,87-94,,Defensive rebound by J. Barea
3:55.0,,,87-94,,D. Smith misses 2-pt shot from 2 ft
3:55.0,,,87-94,,Offensive rebound by S. Mejri
3:53.0,,,87-94,,S. Mejri misses 2-pt shot from 1 ft
3:50.0,Defensive rebound by K. Lowry,,87-94,,
3:40.0,Shooting foul by S. Mejri (drawn by J. Valanciunas),,87-94,,
3:40.0,J. Valanciunas makes free throw 1 of 2,1,88-94,,
3:40.0,J. Valanciunas makes free throw 2 of 2,1,89-94,,
3:17.0,,,89-94,,D. Smith misses 2-pt shot from 11 ft
3:16.0,,,89-94,,Offensive rebound by Team
3:16.0,,,89-94,,Turnover by Team (shot clock)
3:16.0,,,89-94,,Dallas full timeout
2:56.0,F. VanVleet misses 3-pt shot from 23 ft,,89-94,,
2:54.0,,,89-94,,Defensive rebound by W. Matthews
2:44.0,,,89-94,,H. Barnes misses 2-pt shot from 6 ft
2:42.0,,,89-94,,Offensive rebound by H. Barnes
2:31.0,,,89-96,2,J. Barea makes 2-pt shot from 19 ft
2:14.0,D. DeRozan makes 2-pt shot from 4 ft,2,91-96,,
2:14.0,,,91-96,,Violation by S. Mejri (def goaltending)
1:50.0,,,91-96,,D. Smith misses 2-pt shot from 3 ft (block by S. Ibaka)
1:48.0,Defensive rebound by K. Lowry,,91-96,,
1:38.0,S. Ibaka makes 2-pt shot from 8 ft,2,93-96,,
1:38.0,,,93-96,,Dallas full timeout
1:38.0,,,93-96,,D. Nowitzki enters the game for S. Mejri
1:38.0,D. Wright enters the game for J. Valanciunas,,93-96,,
1:20.0,,,93-96,,Turnover by H. Barnes (lost ball; steal by D. DeRozan)
1:11.0,S. Ibaka misses 3-pt shot from 25 ft,,93-96,,
1:08.0,,,93-96,,Defensive rebound by H. Barnes
0:47.0,,,93-96,,W. Matthews misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by S. Ibaka,,93-96,,
0:35.0,S. Ibaka misses 2-pt shot from 8 ft,,93-96,,
0:31.0,,,93-96,,Defensive rebound by J. Barea
0:10.0,,,93-98,2,J. Barea makes 2-pt shot at rim
0:10.0,Toronto full timeout,,93-98,,
0:10.0,,,93-98,,D. Harris enters the game for J. Barea
0:10.0,,,93-98,,M. Kleber enters the game for D. Nowitzki
0:10.0,C. Miles enters the game for D. Wright,,93-98,,
0:07.0,D. DeRozan misses 3-pt shot from 24 ft,,93-98,,
0:02.0,,,93-98,,Defensive rebound by D. Harris
