time,Chicago,pts.away,score,pts.home,Oklahoma City
4:05.0,,,68-90,3,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook)
3:50.0,L. Markkanen makes 3-pt shot from 23 ft (assist by C. Felicio),3,71-90,,
3:37.0,,,71-90,,Turnover by J. Grant (traveling)
3:37.0,,,71-90,,T. Ferguson enters the game for R. Westbrook
3:37.0,,,71-90,,D. Hamilton enters the game for C. Anthony
3:37.0,,,71-90,,J. Huestis enters the game for P. George
3:23.0,C. Felicio makes 2-pt shot from 1 ft (assist by L. Markkanen),2,73-90,,
3:00.0,,,73-90,,J. Huestis misses 2-pt shot from 15 ft
2:59.0,Defensive rebound by P. Zipser,,73-90,,
2:45.0,A. Blakeney makes 3-pt shot from 23 ft (assist by K. Dunn),3,76-90,,
2:44.0,,,76-90,,Oklahoma City full timeout
2:22.0,,,76-90,,J. Huestis misses 3-pt shot from 23 ft
2:21.0,,,76-90,,Offensive rebound by J. Grant
2:06.0,,,76-90,,J. Huestis misses 3-pt shot from 23 ft
2:01.0,Defensive rebound by P. Zipser,,76-90,,
1:50.0,A. Blakeney misses 3-pt shot from 24 ft,,76-90,,
1:47.0,,,76-90,,Defensive rebound by J. Grant
1:28.0,,,76-90,,D. Hamilton misses 2-pt shot from 18 ft
1:27.0,Defensive rebound by K. Dunn,,76-90,,
1:23.0,Shooting foul by J. Huestis (drawn by A. Blakeney),,76-90,,
1:23.0,A. Blakeney misses free throw 1 of 2,,76-90,,
1:23.0,Offensive rebound by Team,,76-90,,
1:23.0,A. Blakeney makes free throw 2 of 2,1,77-90,,
1:02.0,,,77-92,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Felton)
0:52.0,P. Zipser makes 2-pt shot at rim (assist by C. Felicio),2,79-92,,
0:30.0,,,79-92,,R. Felton misses 3-pt shot from 25 ft
0:25.0,,,79-92,,Offensive rebound by J. Huestis
0:03.0,,,79-92,,Turnover by Team (shot clock)
