time,Phoenix,pts.away,score,pts.home,Milwaukee
3:02.0,I. Canaan enters the game for D. Bender,,92-98,,
3:02.0,,,92-99,1,E. Bledsoe makes free throw 1 of 1
2:46.0,T. Daniels makes 3-pt shot from 26 ft (assist by D. Booker),3,95-99,,
2:27.0,,,95-99,,M. Brogdon misses 2-pt shot from 13 ft
2:24.0,,,95-99,,Offensive rebound by J. Henson
2:24.0,,,95-99,,J. Henson misses 2-pt shot at rim
2:24.0,Defensive rebound by T. Daniels,,95-99,,
2:20.0,T. Warren makes 2-pt shot from 1 ft (assist by D. Booker),2,97-99,,
2:02.0,Personal foul by D. Booker (drawn by M. Brogdon),,97-99,,
2:02.0,,,97-100,1,M. Brogdon makes free throw 1 of 2
2:02.0,,,97-101,1,M. Brogdon makes free throw 2 of 2
1:49.0,D. Booker misses 2-pt shot from 8 ft,,97-101,,
1:49.0,Offensive rebound by G. Monroe,,97-101,,
1:49.0,G. Monroe makes 2-pt shot from 1 ft,2,99-101,,
1:49.0,Shooting foul by M. Dellavedova (drawn by G. Monroe),,99-101,,
1:49.0,G. Monroe makes free throw 1 of 1,1,100-101,,
1:27.0,,,100-101,,Turnover by J. Henson (bad pass; steal by I. Canaan)
1:22.0,T. Daniels misses 3-pt shot from 26 ft,,100-101,,
1:18.0,Offensive rebound by T. Warren,,100-101,,
1:15.0,I. Canaan misses 3-pt shot from 26 ft,,100-101,,
1:15.0,,,100-101,,Defensive rebound by K. Middleton
0:54.0,,,100-103,2,K. Middleton makes 2-pt shot from 11 ft (assist by E. Bledsoe)
0:54.0,Phoenix full timeout,,100-103,,
0:41.0,Turnover by D. Booker (bad pass; steal by M. Brogdon),,100-103,,
0:24.0,,,100-105,2,K. Middleton makes 2-pt shot from 11 ft
0:24.0,Phoenix full timeout,,100-105,,
0:24.0,D. Bender enters the game for I. Canaan,,100-105,,
0:19.0,T. Daniels makes 3-pt shot from 26 ft (assist by D. Bender),3,103-105,,
0:18.0,Personal take foul by T. Warren (drawn by K. Middleton),,103-105,,
0:18.0,,,103-106,1,K. Middleton makes free throw 1 of 2
0:18.0,I. Canaan enters the game for D. Bender,,103-106,,
0:18.0,,,103-107,1,K. Middleton makes free throw 2 of 2
0:11.0,,,103-107,,Personal foul by M. Dellavedova (drawn by I. Canaan)
0:11.0,I. Canaan makes free throw 1 of 2,1,104-107,,
0:11.0,I. Canaan makes free throw 2 of 2,1,105-107,,
0:10.0,Personal take foul by I. Canaan (drawn by M. Brogdon),,105-107,,
0:10.0,,,105-108,1,M. Brogdon makes free throw 1 of 2
0:10.0,,,105-109,1,M. Brogdon makes free throw 2 of 2
0:04.0,D. Booker misses 3-pt shot from 26 ft,,105-109,,
0:02.0,Offensive rebound by I. Canaan,,105-109,,
0:00.0,T. Daniels misses 3-pt shot from 27 ft (block by E. Bledsoe),,105-109,,
0:00.0,,,105-109,,Defensive rebound by J. Henson
