time,Denver,pts.away,score,pts.home,Washington
0:41.0,J. Murray makes free throw 1 of 2,1,103-97,,
0:41.0,T. Craig enters the game for N. Jokic,,103-97,,
0:41.0,J. Murray makes free throw 2 of 2,1,104-97,,
0:38.0,Personal foul by D. Harris (drawn by T. Satoransky),,104-97,,
0:33.0,,,104-100,3,B. Beal makes 3-pt shot from 27 ft (assist by T. Satoransky)
0:32.0,Turnover by D. Harris (turnover),,104-100,,
0:30.0,,,104-100,,B. Beal misses 2-pt shot from 22 ft
0:26.0,Defensive rebound by W. Barton,,104-100,,
0:26.0,,,104-100,,Personal foul by O. Porter (drawn by W. Barton)
0:26.0,W. Barton makes free throw 1 of 2,1,105-100,,
0:26.0,W. Barton makes free throw 2 of 2,1,106-100,,
0:18.0,,,106-100,,Turnover by M. Morris (bad pass; steal by W. Chandler)
0:11.0,,,106-100,,Personal foul by O. Porter (drawn by W. Barton)
0:11.0,W. Barton makes free throw 1 of 2,1,107-100,,
0:11.0,W. Barton makes free throw 2 of 2,1,108-100,,
0:05.0,,,108-100,,O. Porter misses 3-pt shot from 30 ft
0:00.0,Defensive rebound by W. Chandler,,108-100,,
