time,Cleveland,pts.away,score,pts.home,Philadelphia
4:38.0,Personal take foul by J. Calderon (drawn by T. McConnell),,104-81,,
4:38.0,A. Zizic enters the game for K. Love,,104-81,,
4:38.0,,,104-81,,F. Korkmaz enters the game for D. Saric
4:21.0,,,104-81,,Turnover by T. Luwawu-Cabarrot (bad pass; steal by J. Calderon)
4:17.0,J. Holland makes 3-pt shot from 25 ft (assist by J. Calderon),3,107-81,,
4:05.0,,,107-81,,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft
4:02.0,Defensive rebound by C. Osman,,107-81,,
3:55.0,J. Green misses 2-pt shot from 2 ft,,107-81,,
3:50.0,Offensive rebound by J. Green,,107-81,,
3:50.0,J. Green makes 2-pt shot at rim,2,109-81,,
3:37.0,,,109-81,,R. Holmes misses 3-pt shot from 24 ft
3:33.0,Defensive rebound by C. Osman,,109-81,,
3:15.0,Turnover by A. Zizic (lost ball; steal by R. Holmes),,109-81,,
3:13.0,Personal foul by C. Osman (drawn by T. Luwawu-Cabarrot),,109-81,,
3:13.0,,,109-81,,T. Luwawu-Cabarrot misses free throw 1 of 2
3:13.0,,,109-81,,Offensive rebound by Team
3:13.0,,,109-82,1,T. Luwawu-Cabarrot makes free throw 2 of 2
2:58.0,C. Osman makes 2-pt shot from 18 ft,2,111-82,,
2:47.0,,,111-84,2,T. McConnell makes 2-pt shot at rim
2:23.0,A. Zizic makes 2-pt shot at rim (assist by J. Green),2,113-84,,
2:13.0,,,113-84,,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft
2:12.0,,,113-84,,Offensive rebound by T. Luwawu-Cabarrot
2:12.0,,,113-84,,Shooting foul by A. Zizic (drawn by T. Luwawu-Cabarrot)
2:12.0,,,113-85,1,T. Luwawu-Cabarrot makes free throw 1 of 2
2:12.0,,,113-86,1,T. Luwawu-Cabarrot makes free throw 2 of 2
2:00.0,J. Holland misses 2-pt shot from 18 ft,,113-86,,
1:56.0,,,113-86,,Defensive rebound by T. Luwawu-Cabarrot
1:49.0,,,113-89,3,T. Luwawu-Cabarrot makes 3-pt shot from 27 ft (assist by T. McConnell)
1:37.0,Turnover by J. Green (out of bounds lost ball),,113-89,,
1:25.0,,,113-89,,F. Korkmaz misses 3-pt shot from 27 ft
1:23.0,Defensive rebound by C. Osman,,113-89,,
1:16.0,C. Osman misses 2-pt shot from 20 ft,,113-89,,
1:13.0,,,113-89,,Defensive rebound by R. Holmes
1:05.0,,,113-89,,R. Holmes misses 2-pt shot from 1 ft
1:03.0,Defensive rebound by C. Osman,,113-89,,
0:41.0,J. Green misses 3-pt shot from 29 ft,,113-89,,
0:38.0,,,113-89,,Defensive rebound by J. Bayless
0:32.0,,,113-91,2,T. Luwawu-Cabarrot makes 2-pt shot at rim (assist by T. McConnell)
0:14.0,Turnover by Team (shot clock),,113-91,,
0:03.0,,,113-91,,F. Korkmaz misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by C. Osman,,113-91,,
