time,LA Clippers,pts.away,score,pts.home,Charlotte
4:06.0,W. Johnson enters the game for S. Thornwell,,84-89,,
4:06.0,,,84-90,1,N. Batum makes free throw 3 of 3
3:48.0,Turnover by L. Williams (lost ball; steal by M. Williams),,84-90,,
3:41.0,,,84-90,,K. Walker misses 3-pt shot from 25 ft
3:33.0,,,84-90,,Offensive rebound by D. Howard
3:33.0,,,84-90,,D. Howard misses 2-pt shot at rim
3:32.0,Defensive rebound by B. Griffin,,84-90,,
3:30.0,A. Rivers misses 2-pt shot from 2 ft (block by M. Williams),,84-90,,
3:27.0,,,84-90,,K. Walker misses 2-pt shot from 1 ft (block by W. Johnson)
3:27.0,Defensive rebound by Team,,84-90,,
3:26.0,,,84-90,,Defensive rebound by K. Walker
3:14.0,A. Rivers misses 2-pt shot from 9 ft,,84-90,,
3:14.0,Offensive rebound by D. Jordan,,84-90,,
3:07.0,D. Jordan misses 2-pt shot at rim,,84-90,,
3:05.0,,,84-90,,Defensive rebound by M. Kidd-Gilchrist
3:04.0,,,84-90,,N. Batum misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by L. Williams,,84-90,,
2:59.0,Shooting foul by M. Kidd-Gilchrist (drawn by L. Williams),,84-90,,
2:59.0,LA Clippers full timeout,,84-90,,
2:59.0,S. Thornwell enters the game for A. Rivers,,84-90,,
2:59.0,L. Williams misses free throw 1 of 2,,84-90,,
2:59.0,Offensive rebound by Team,,84-90,,
2:59.0,L. Williams makes free throw 2 of 2,1,85-90,,
2:49.0,,,85-93,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
2:26.0,W. Johnson misses 2-pt shot from 18 ft,,85-93,,
2:23.0,,,85-93,,Defensive rebound by M. Williams
2:05.0,,,85-93,,M. Williams misses 3-pt shot from 23 ft
2:01.0,Defensive rebound by D. Jordan,,85-93,,
1:54.0,L. Williams misses 2-pt shot from 10 ft,,85-93,,
1:51.0,,,85-93,,Defensive rebound by D. Howard
1:51.0,Personal foul by L. Williams (drawn by K. Walker),,85-93,,
1:51.0,,,85-94,1,K. Walker makes free throw 1 of 2
1:51.0,A. Rivers enters the game for S. Thornwell,,85-94,,
1:51.0,,,85-95,1,K. Walker makes free throw 2 of 2
1:51.0,LA Clippers full timeout,,85-95,,
1:36.0,B. Griffin misses 3-pt shot from 25 ft,,85-95,,
1:30.0,,,85-95,,Defensive rebound by N. Batum
1:21.0,Personal foul by B. Griffin (drawn by K. Walker),,85-95,,
1:21.0,,,85-96,1,K. Walker makes free throw 1 of 2
1:21.0,,,85-97,1,K. Walker makes free throw 2 of 2
1:15.0,Turnover by B. Griffin (bad pass),,85-97,,
0:58.0,,,85-100,3,K. Walker makes 3-pt shot from 25 ft (assist by M. Williams)
0:49.0,L. Williams makes 2-pt shot from 18 ft,2,87-100,,
0:26.0,,,87-100,,K. Walker misses 3-pt shot from 25 ft
0:26.0,,,87-100,,Offensive rebound by Team
0:26.0,Loose ball foul by B. Griffin (drawn by D. Howard),,87-100,,
0:26.0,,,87-101,1,D. Howard makes free throw 1 of 2
0:26.0,S. Dekker enters the game for D. Jordan,,87-101,,
0:26.0,C. Williams enters the game for L. Williams,,87-101,,
0:26.0,M. Harrell enters the game for B. Griffin,,87-101,,
0:26.0,J. Evans enters the game for W. Johnson,,87-101,,
0:26.0,S. Thornwell enters the game for A. Rivers,,87-101,,
0:26.0,,,87-102,1,D. Howard makes free throw 2 of 2
0:14.0,C. Williams misses 3-pt shot from 25 ft,,87-102,,
0:09.0,,,87-102,,Defensive rebound by D. Howard
