time,New Orleans,pts.away,score,pts.home,Utah
0:45.0,Jump ball: D. Mitchell vs. J. Holiday (J. Ingles gains possession),,,,Jump ball: D. Mitchell vs. J. Holiday (J. Ingles gains possession)
0:43.0,,,103-93,,J. Ingles misses 3-pt shot from 24 ft
0:39.0,Defensive rebound by A. Davis,,103-93,,
0:19.0,E. Moore makes 3-pt shot from 23 ft (assist by A. Davis),3,106-93,,
0:14.0,,,106-95,2,D. Mitchell makes 2-pt shot from 11 ft
0:12.0,Turnover by A. Davis (lost ball; steal by D. Mitchell),,106-95,,
0:07.0,,,106-98,3,D. Mitchell makes 3-pt shot from 23 ft (assist by J. Johnson)
0:05.0,,,106-98,,Personal foul by J. Johnson (drawn by J. Holiday)
0:05.0,J. Holiday makes free throw 1 of 2,1,107-98,,
0:05.0,J. Holiday makes free throw 2 of 2,1,108-98,,
0:00.0,,,108-98,,D. Mitchell misses 3-pt shot from 36 ft
0:00.0,,,108-98,,Offensive rebound by Team
